reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,unit,hunt_code,hunt_name,ram_harvest,harvest_total,permits,hunters_afield,average_days,percent_success,raw_line,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,15,DS6600,Henry Mtns,2,2,2,2,12.5,100.0,15 DS6600 Henry Mtns 2 2 2 12.5 100.0,True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,15,DS1001,Henry Mtns (conservation),1,1,1,1,3.0,100.0,15 DS1001 Henry Mtns (conservation) 1 1 1 3.0 100.0,True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,26,DS6601,"Kaiparowits, East",9,9,9,9,15.0,100.0,"26 DS6601 Kaiparowits, East 9 9 9 15.0 100.0",True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,26,DS6602,"Kaiparowits, Escalante",7,7,8,8,10.3,87.5,"26 DS6602 Kaiparowits, Escalante 7 8 8 10.3 87.5",True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,26,DS1003,"Kaiparowits, Escalante (conservation)",1,1,1,1,7.0,100.0,"26 DS1003 Kaiparowits, Escalante (conservation) 1 1 1 7.0 100.0",True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,26,DS6603,"Kaiparowits, West",6,6,6,6,4.0,100.0,"26 DS6603 Kaiparowits, West 6 6 6 4.0 100.0",True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,26,DS1006,"Kaiparowits, West (conservation)",1,1,1,1,1.0,100.0,"26 DS1006 Kaiparowits, West (conservation) 1 1 1 1.0 100.0",True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,13,DS6604,"La Sal, Potash/South Cisco",7,7,7,7,9.3,100.0,"13 DS6604 La Sal, Potash/South Cisco 7 7 7 9.3 100.0",True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,22,DS6625,Mineral Mtns,2,2,2,2,2.0,100.0,22 DS6625 Mineral Mtns 2 2 2 2.0 100.0,True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,30,DS6621,"Pine Valley, Beaver Dam",6,6,6,6,7.7,100.0,"30 DS6621 Pine Valley, Beaver Dam 6 6 6 7.7 100.0",True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,30,DS6620,"Pine Valley, Virgin River",2,2,2,2,8.5,100.0,"30 DS6620 Pine Valley, Virgin River 2 2 2 8.5 100.0",True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,14,DS6606,"San Juan, Lockhart",2,2,2,2,8.5,100.0,"14 DS6606 San Juan, Lockhart 2 2 2 8.5 100.0",True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,14,DS6622,"San Juan, North",3,3,3,3,5.3,100.0,"14 DS6622 San Juan, North 3 3 3 5.3 100.0",True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,14,DS6623,"San Juan, San Juan River",0,0,1,1,19.0,0.0,"14 DS6623 San Juan, San Juan River 0 1 1 19.0 0.0",True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,14,DS6607,"San Juan, South",1,1,2,2,13.0,50.0,"14 DS6607 San Juan, South 1 2 2 13.0 50.0",True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,12,DS6608,"San Rafael, Dirty Devil",6,6,7,7,11.9,85.7,"12 DS6608 San Rafael, Dirty Devil* 6 7 7 11.9 85.7",True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,12,DS6624,"San Rafael, Dirty Devil (archery)",1,1,2,2,4.5,50.0,"12 DS6624 San Rafael, Dirty Devil (archery) 1 2 2 4.5 50.0",True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,12,DS6609,"San Rafael, North",4,4,4,4,14.3,100.0,"12 DS6609 San Rafael, North 4 4 4 14.3 100.0",True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,12,DS1005,"San Rafael, North (conservation)",1,1,1,1,9.0,100.0,"12 DS1005 San Rafael, North (conservation) 1 1 1 9.0 100.0",True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,12,DS6610,"San Rafael, South",9,9,12,11,8.3,81.8,"12 DS6610 San Rafael, South** 9 12 11 8.3 81.8",True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,12,DS1007,"San Rafael, South (conservation)",1,1,1,1,12.0,100.0,"12 DS1007 San Rafael, South (conservation) 1 1 1 12.0 100.0",True,True,True
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,29,DS6611,Zion,2,2,2,2,5.0,100.0,29 DS6611 Zion 2 2 2 5.0 100.0,True,True,True
