reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,unit,unit_name,metric_name,metric_value,raw_line,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible
2015,2016,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,15,Henry Mtns,ram_harvest,2.0,15 Henry Mtns 2 1 4 3 4 4 3 4 2 3,True,True,True
2016,2017,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,15,Henry Mtns,ram_harvest,1.0,15 Henry Mtns 2 1 4 3 4 4 3 4 2 3,True,True,True
2017,2018,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,15,Henry Mtns,ram_harvest,4.0,15 Henry Mtns 2 1 4 3 4 4 3 4 2 3,True,True,True
2018,2019,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,15,Henry Mtns,ram_harvest,3.0,15 Henry Mtns 2 1 4 3 4 4 3 4 2 3,True,True,True
2019,2020,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,15,Henry Mtns,ram_harvest,4.0,15 Henry Mtns 2 1 4 3 4 4 3 4 2 3,True,True,True
2020,2021,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,15,Henry Mtns,ram_harvest,4.0,15 Henry Mtns 2 1 4 3 4 4 3 4 2 3,True,True,True
2021,2022,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,15,Henry Mtns,ram_harvest,3.0,15 Henry Mtns 2 1 4 3 4 4 3 4 2 3,True,True,True
2022,2023,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,15,Henry Mtns,ram_harvest,4.0,15 Henry Mtns 2 1 4 3 4 4 3 4 2 3,True,True,True
2023,2024,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,15,Henry Mtns,ram_harvest,2.0,15 Henry Mtns 2 1 4 3 4 4 3 4 2 3,True,True,True
2024,2025,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,15,Henry Mtns,ram_harvest,3.0,15 Henry Mtns 2 1 4 3 4 4 3 4 2 3,True,True,True
2015,2016,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, East",ram_harvest,2.0,"26 Kaiparowits, East 2 4 8 8 10 8 7 10 11 9",True,True,True
2016,2017,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, East",ram_harvest,4.0,"26 Kaiparowits, East 2 4 8 8 10 8 7 10 11 9",True,True,True
2017,2018,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, East",ram_harvest,8.0,"26 Kaiparowits, East 2 4 8 8 10 8 7 10 11 9",True,True,True
2018,2019,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, East",ram_harvest,8.0,"26 Kaiparowits, East 2 4 8 8 10 8 7 10 11 9",True,True,True
2019,2020,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, East",ram_harvest,10.0,"26 Kaiparowits, East 2 4 8 8 10 8 7 10 11 9",True,True,True
2020,2021,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, East",ram_harvest,8.0,"26 Kaiparowits, East 2 4 8 8 10 8 7 10 11 9",True,True,True
2021,2022,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, East",ram_harvest,7.0,"26 Kaiparowits, East 2 4 8 8 10 8 7 10 11 9",True,True,True
2022,2023,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, East",ram_harvest,10.0,"26 Kaiparowits, East 2 4 8 8 10 8 7 10 11 9",True,True,True
2023,2024,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, East",ram_harvest,11.0,"26 Kaiparowits, East 2 4 8 8 10 8 7 10 11 9",True,True,True
2024,2025,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, East",ram_harvest,9.0,"26 Kaiparowits, East 2 4 8 8 10 8 7 10 11 9",True,True,True
2015,2016,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, Escalante",ram_harvest,1.0,"26 Kaiparowits, Escalante 1 2 2 4 4 5 8 8 8 8",True,True,True
2016,2017,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, Escalante",ram_harvest,2.0,"26 Kaiparowits, Escalante 1 2 2 4 4 5 8 8 8 8",True,True,True
2017,2018,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, Escalante",ram_harvest,2.0,"26 Kaiparowits, Escalante 1 2 2 4 4 5 8 8 8 8",True,True,True
2018,2019,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, Escalante",ram_harvest,4.0,"26 Kaiparowits, Escalante 1 2 2 4 4 5 8 8 8 8",True,True,True
2019,2020,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, Escalante",ram_harvest,4.0,"26 Kaiparowits, Escalante 1 2 2 4 4 5 8 8 8 8",True,True,True
2020,2021,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, Escalante",ram_harvest,5.0,"26 Kaiparowits, Escalante 1 2 2 4 4 5 8 8 8 8",True,True,True
2021,2022,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, Escalante",ram_harvest,8.0,"26 Kaiparowits, Escalante 1 2 2 4 4 5 8 8 8 8",True,True,True
2022,2023,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, Escalante",ram_harvest,8.0,"26 Kaiparowits, Escalante 1 2 2 4 4 5 8 8 8 8",True,True,True
2023,2024,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, Escalante",ram_harvest,8.0,"26 Kaiparowits, Escalante 1 2 2 4 4 5 8 8 8 8",True,True,True
2024,2025,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, Escalante",ram_harvest,8.0,"26 Kaiparowits, Escalante 1 2 2 4 4 5 8 8 8 8",True,True,True
2015,2016,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, West",ram_harvest,8.0,"26 Kaiparowits, West 8 7 8 7 13 14 14 6 7 7",True,True,True
2016,2017,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, West",ram_harvest,7.0,"26 Kaiparowits, West 8 7 8 7 13 14 14 6 7 7",True,True,True
2017,2018,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, West",ram_harvest,8.0,"26 Kaiparowits, West 8 7 8 7 13 14 14 6 7 7",True,True,True
2018,2019,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, West",ram_harvest,7.0,"26 Kaiparowits, West 8 7 8 7 13 14 14 6 7 7",True,True,True
2019,2020,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, West",ram_harvest,13.0,"26 Kaiparowits, West 8 7 8 7 13 14 14 6 7 7",True,True,True
2020,2021,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, West",ram_harvest,14.0,"26 Kaiparowits, West 8 7 8 7 13 14 14 6 7 7",True,True,True
2021,2022,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, West",ram_harvest,14.0,"26 Kaiparowits, West 8 7 8 7 13 14 14 6 7 7",True,True,True
2022,2023,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, West",ram_harvest,6.0,"26 Kaiparowits, West 8 7 8 7 13 14 14 6 7 7",True,True,True
2023,2024,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, West",ram_harvest,7.0,"26 Kaiparowits, West 8 7 8 7 13 14 14 6 7 7",True,True,True
2024,2025,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,26,"Kaiparowits, West",ram_harvest,7.0,"26 Kaiparowits, West 8 7 8 7 13 14 14 6 7 7",True,True,True
2015,2016,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,13,"La Sal, Potash/South Cisco",ram_harvest,3.0,"13 La Sal, Potash/South Cisco 3 3 2 4 5 5 4 4 3 7",True,True,True
2016,2017,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,13,"La Sal, Potash/South Cisco",ram_harvest,3.0,"13 La Sal, Potash/South Cisco 3 3 2 4 5 5 4 4 3 7",True,True,True
2017,2018,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,13,"La Sal, Potash/South Cisco",ram_harvest,2.0,"13 La Sal, Potash/South Cisco 3 3 2 4 5 5 4 4 3 7",True,True,True
2018,2019,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,13,"La Sal, Potash/South Cisco",ram_harvest,4.0,"13 La Sal, Potash/South Cisco 3 3 2 4 5 5 4 4 3 7",True,True,True
2019,2020,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,13,"La Sal, Potash/South Cisco",ram_harvest,5.0,"13 La Sal, Potash/South Cisco 3 3 2 4 5 5 4 4 3 7",True,True,True
2020,2021,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,13,"La Sal, Potash/South Cisco",ram_harvest,5.0,"13 La Sal, Potash/South Cisco 3 3 2 4 5 5 4 4 3 7",True,True,True
2021,2022,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,13,"La Sal, Potash/South Cisco",ram_harvest,4.0,"13 La Sal, Potash/South Cisco 3 3 2 4 5 5 4 4 3 7",True,True,True
2022,2023,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,13,"La Sal, Potash/South Cisco",ram_harvest,4.0,"13 La Sal, Potash/South Cisco 3 3 2 4 5 5 4 4 3 7",True,True,True
2023,2024,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,13,"La Sal, Potash/South Cisco",ram_harvest,3.0,"13 La Sal, Potash/South Cisco 3 3 2 4 5 5 4 4 3 7",True,True,True
2024,2025,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,13,"La Sal, Potash/South Cisco",ram_harvest,7.0,"13 La Sal, Potash/South Cisco 3 3 2 4 5 5 4 4 3 7",True,True,True
2015,2016,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,22,Mineral Mtns,ram_harvest,,22 Mineral Mtns — — — — — — — — — 2,True,True,True
2016,2017,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,22,Mineral Mtns,ram_harvest,,22 Mineral Mtns — — — — — — — — — 2,True,True,True
2017,2018,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,22,Mineral Mtns,ram_harvest,,22 Mineral Mtns — — — — — — — — — 2,True,True,True
2018,2019,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,22,Mineral Mtns,ram_harvest,,22 Mineral Mtns — — — — — — — — — 2,True,True,True
2019,2020,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,22,Mineral Mtns,ram_harvest,,22 Mineral Mtns — — — — — — — — — 2,True,True,True
2020,2021,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,22,Mineral Mtns,ram_harvest,,22 Mineral Mtns — — — — — — — — — 2,True,True,True
2021,2022,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,22,Mineral Mtns,ram_harvest,,22 Mineral Mtns — — — — — — — — — 2,True,True,True
2022,2023,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,22,Mineral Mtns,ram_harvest,,22 Mineral Mtns — — — — — — — — — 2,True,True,True
2023,2024,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,22,Mineral Mtns,ram_harvest,,22 Mineral Mtns — — — — — — — — — 2,True,True,True
2024,2025,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,22,Mineral Mtns,ram_harvest,2.0,22 Mineral Mtns — — — — — — — — — 2,True,True,True
2015,2016,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Beaver Dam",ram_harvest,,"30 Pine Valley, Beaver Dam — — — — — 3 3 5 5 6",True,True,True
2016,2017,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Beaver Dam",ram_harvest,,"30 Pine Valley, Beaver Dam — — — — — 3 3 5 5 6",True,True,True
2017,2018,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Beaver Dam",ram_harvest,,"30 Pine Valley, Beaver Dam — — — — — 3 3 5 5 6",True,True,True
2018,2019,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Beaver Dam",ram_harvest,,"30 Pine Valley, Beaver Dam — — — — — 3 3 5 5 6",True,True,True
2019,2020,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Beaver Dam",ram_harvest,,"30 Pine Valley, Beaver Dam — — — — — 3 3 5 5 6",True,True,True
2020,2021,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Beaver Dam",ram_harvest,3.0,"30 Pine Valley, Beaver Dam — — — — — 3 3 5 5 6",True,True,True
2021,2022,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Beaver Dam",ram_harvest,3.0,"30 Pine Valley, Beaver Dam — — — — — 3 3 5 5 6",True,True,True
2022,2023,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Beaver Dam",ram_harvest,5.0,"30 Pine Valley, Beaver Dam — — — — — 3 3 5 5 6",True,True,True
2023,2024,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Beaver Dam",ram_harvest,5.0,"30 Pine Valley, Beaver Dam — — — — — 3 3 5 5 6",True,True,True
2024,2025,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Beaver Dam",ram_harvest,6.0,"30 Pine Valley, Beaver Dam — — — — — 3 3 5 5 6",True,True,True
2015,2016,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Virgin River",ram_harvest,2.0,"30 Pine Valley, Virgin River 2 2 4 3 4 2 2 2 2 3",True,True,True
2016,2017,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Virgin River",ram_harvest,2.0,"30 Pine Valley, Virgin River 2 2 4 3 4 2 2 2 2 3",True,True,True
2017,2018,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Virgin River",ram_harvest,4.0,"30 Pine Valley, Virgin River 2 2 4 3 4 2 2 2 2 3",True,True,True
2018,2019,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Virgin River",ram_harvest,3.0,"30 Pine Valley, Virgin River 2 2 4 3 4 2 2 2 2 3",True,True,True
2019,2020,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Virgin River",ram_harvest,4.0,"30 Pine Valley, Virgin River 2 2 4 3 4 2 2 2 2 3",True,True,True
2020,2021,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Virgin River",ram_harvest,2.0,"30 Pine Valley, Virgin River 2 2 4 3 4 2 2 2 2 3",True,True,True
2021,2022,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Virgin River",ram_harvest,2.0,"30 Pine Valley, Virgin River 2 2 4 3 4 2 2 2 2 3",True,True,True
2022,2023,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Virgin River",ram_harvest,2.0,"30 Pine Valley, Virgin River 2 2 4 3 4 2 2 2 2 3",True,True,True
2023,2024,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Virgin River",ram_harvest,2.0,"30 Pine Valley, Virgin River 2 2 4 3 4 2 2 2 2 3",True,True,True
2024,2025,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,30,"Pine Valley, Virgin River",ram_harvest,3.0,"30 Pine Valley, Virgin River 2 2 4 3 4 2 2 2 2 3",True,True,True
2015,2016,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, Lockhart",ram_harvest,1.0,"14 San Juan, Lockhart 1 1 2 2 2 2 3 3 2 2",True,True,True
2016,2017,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, Lockhart",ram_harvest,1.0,"14 San Juan, Lockhart 1 1 2 2 2 2 3 3 2 2",True,True,True
2017,2018,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, Lockhart",ram_harvest,2.0,"14 San Juan, Lockhart 1 1 2 2 2 2 3 3 2 2",True,True,True
2018,2019,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, Lockhart",ram_harvest,2.0,"14 San Juan, Lockhart 1 1 2 2 2 2 3 3 2 2",True,True,True
2019,2020,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,14,"San Juan, Lockhart",ram_harvest,2.0,"14 San Juan, Lockhart 1 1 2 2 2 2 3 3 2 2",True,True,True
