reported_hunt_year,model_target_year,unit,unit_name,species,metric_name,metric_value,source_file,source_page,source_family,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,raw_line
2015,2016,22,Beaver,Mountain Goat,billy_harvest,14.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 14 11 13 9 18 14 11 13 10 15
2016,2017,22,Beaver,Mountain Goat,billy_harvest,11.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 14 11 13 9 18 14 11 13 10 15
2017,2018,22,Beaver,Mountain Goat,billy_harvest,13.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 14 11 13 9 18 14 11 13 10 15
2018,2019,22,Beaver,Mountain Goat,billy_harvest,9.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 14 11 13 9 18 14 11 13 10 15
2019,2020,22,Beaver,Mountain Goat,billy_harvest,18.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 14 11 13 9 18 14 11 13 10 15
2020,2021,22,Beaver,Mountain Goat,billy_harvest,14.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 14 11 13 9 18 14 11 13 10 15
2021,2022,22,Beaver,Mountain Goat,billy_harvest,11.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 14 11 13 9 18 14 11 13 10 15
2022,2023,22,Beaver,Mountain Goat,billy_harvest,13.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 14 11 13 9 18 14 11 13 10 15
2023,2024,22,Beaver,Mountain Goat,billy_harvest,10.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 14 11 13 9 18 14 11 13 10 15
2024,2025,22,Beaver,Mountain Goat,billy_harvest,15.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 14 11 13 9 18 14 11 13 10 15
2015,2016,8/9,High Uintas Central,Mountain Goat,billy_harvest,9.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Central 9 7 5 9 8 8 13 2 7 4
2016,2017,8/9,High Uintas Central,Mountain Goat,billy_harvest,7.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Central 9 7 5 9 8 8 13 2 7 4
2017,2018,8/9,High Uintas Central,Mountain Goat,billy_harvest,5.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Central 9 7 5 9 8 8 13 2 7 4
2018,2019,8/9,High Uintas Central,Mountain Goat,billy_harvest,9.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Central 9 7 5 9 8 8 13 2 7 4
2019,2020,8/9,High Uintas Central,Mountain Goat,billy_harvest,8.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Central 9 7 5 9 8 8 13 2 7 4
2020,2021,8/9,High Uintas Central,Mountain Goat,billy_harvest,8.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Central 9 7 5 9 8 8 13 2 7 4
2021,2022,8/9,High Uintas Central,Mountain Goat,billy_harvest,13.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Central 9 7 5 9 8 8 13 2 7 4
2022,2023,8/9,High Uintas Central,Mountain Goat,billy_harvest,2.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Central 9 7 5 9 8 8 13 2 7 4
2023,2024,8/9,High Uintas Central,Mountain Goat,billy_harvest,7.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Central 9 7 5 9 8 8 13 2 7 4
2024,2025,8/9,High Uintas Central,Mountain Goat,billy_harvest,4.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Central 9 7 5 9 8 8 13 2 7 4
2015,2016,8/9,High Uintas East,Mountain Goat,billy_harvest,4.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas East 4 2 3 2 2 2 3 4 2 2
2016,2017,8/9,High Uintas East,Mountain Goat,billy_harvest,2.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas East 4 2 3 2 2 2 3 4 2 2
2017,2018,8/9,High Uintas East,Mountain Goat,billy_harvest,3.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas East 4 2 3 2 2 2 3 4 2 2
2018,2019,8/9,High Uintas East,Mountain Goat,billy_harvest,2.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas East 4 2 3 2 2 2 3 4 2 2
2019,2020,8/9,High Uintas East,Mountain Goat,billy_harvest,2.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas East 4 2 3 2 2 2 3 4 2 2
2020,2021,8/9,High Uintas East,Mountain Goat,billy_harvest,2.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas East 4 2 3 2 2 2 3 4 2 2
2021,2022,8/9,High Uintas East,Mountain Goat,billy_harvest,3.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas East 4 2 3 2 2 2 3 4 2 2
2022,2023,8/9,High Uintas East,Mountain Goat,billy_harvest,4.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas East 4 2 3 2 2 2 3 4 2 2
2023,2024,8/9,High Uintas East,Mountain Goat,billy_harvest,2.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas East 4 2 3 2 2 2 3 4 2 2
