"hunt_code","species","hunt_name","hunt_type","weapon","sex_type","permits_total","hunters","harvest","percent_success","avg_days","satisfaction","year","prediction_year","source_file"
"EA1069","Elk","Panguitch Lake","Antlerless","Any Legal Weapon","Female Only","34","33.0","21.0","63.6","2.8","3.9","2025","2026","harvest_2025.csv"
"EA1073","Elk","","","","","11","6.0","3.0","27.0","30.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1073","Elk","Paunsaugunt","Antlerless","Any Legal Weapon","Female Only","16","13.0","1.0","7.7","10.4","2.4","2025","2026","harvest_2025.csv"
"EA1075","Elk","Boulder East","Antlerless","Any Legal Weapon","Female Only","46","39.0","20.0","51.3","5.9","3.6","2025","2026","harvest_2025.csv"
"EA1076","Elk","Boulder West","Antlerless","Any Legal Weapon","Female Only","49","47.0","38.0","80.9","3.3","4.2","2025","2026","harvest_2025.csv"
"EA1077","Elk","","","","","19","4.6","14.0","1.0","76.5","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1077","Elk","Boulder-Circle Cliffs","Antlerless","Any Legal Weapon","Female Only","30","22.0","14.0","63.6","5.7","3.8","2025","2026","harvest_2025.csv"
"EA1078","Elk","Fishlake/Thousand Lakes","Antlerless","Any Legal Weapon","Female Only","264","247.0","91.0","36.8","5.1","3.5","2025","2026","harvest_2025.csv"
"EA1079","Elk","Fishlake/Thousand Lakes East","Antlerless","Any Legal Weapon","Female Only","64","60.0","56.0","93.3","2.5","4.6","2025","2026","harvest_2025.csv"
"EA1080","Elk","Fishlake/Thousand Lakes West","Antlerless","Any Legal Weapon","Female Only","59","58.0","45.0","77.6","4.1","4.0","2025","2026","harvest_2025.csv"
"EA1080","Elk","","","","","27","3.9","23.0","7.0","84.6","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1081","Elk","San Juan","Antlerless","Any Legal Weapon","Female Only","122","115.0","45.0","39.1","5.0","3.3","2025","2026","harvest_2025.csv"
"EA1081","Elk","","","","","112","4.8","30.0","14.0","27.1","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1082","Elk","","","","","106","6.8","46.0","12.0","43.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1082","Elk","San Juan","Antlerless","Any Legal Weapon","Female Only","121","107.0","55.0","51.4","5.6","3.5","2025","2026","harvest_2025.csv"
"EA1084","Elk","","","","","2","11.5","0.0","20.0","0.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1084","Elk","San Rafael, North","Antlerless","Any Legal Weapon","Female Only","5","1.0","0.0","0.0","2.0","3.0","2025","2026","harvest_2025.csv"
