"hunt_code","species","hunt_name","hunt_type","weapon","sex_type","permits_total","hunters","harvest","percent_success","avg_days","satisfaction","year","prediction_year","source_file"
"LP5025","Pronghorn","Beaver","Limited Entry Landowner","Any Legal Weapon","Male Only","1","1.0","1.0","100.0","1.0","4.0","2025","2026","harvest_2025.csv"
"LP5031","Pronghorn","Box Elder, West","Limited Entry Landowner","Any Legal Weapon","Male Only","1","1.0","1.0","100.0","1.0","5.0","2025","2026","harvest_2025.csv"
"LP5033","Pronghorn","Fillmore, Oak Creek South","Limited Entry Landowner","Any Legal Weapon","Male Only","1","1.0","1.0","100.0","1.0","5.0","2025","2026","harvest_2025.csv"
"LP5046","Pronghorn","San Rafael, North","Limited Entry Landowner","Any Legal Weapon","Male Only","1","1.0","1.0","100.0","1.0","4.0","2025","2026","harvest_2025.csv"
"LP5049","Pronghorn","Southwest Desert","Limited Entry Landowner","Any Legal Weapon","Male Only","1","1.0","1.0","100.0","3.0","3.0","2025","2026","harvest_2025.csv"
"LP5051","Pronghorn","West Desert, Rush Valley","Limited Entry Landowner","Any Legal Weapon","Male Only","1","0.0","0.0","","","","2025","2026","harvest_2025.csv"
"PB5000","Pronghorn","","","","","9","6.3","7.0","10.0","77.8","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5000","Pronghorn","Beaver","Limited Entry","Archery","Male Only","11","9.0","6.0","66.7","4.2","4.1","2025","2026","harvest_2025.csv"
"PB5001","Pronghorn","Book Cliffs, Bitter Creek","Limited Entry","Archery","Male Only","14","14.0","12.0","85.7","2.5","4.2","2025","2026","harvest_2025.csv"
"PB5001","Pronghorn","","","","","12","1.4","11.0","10.0","91.7","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5002","Pronghorn","","","","","8","4.0","4.0","1.0","50.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5002","Pronghorn","Book Cliffs, South","Limited Entry","Archery","Male Only","9","8.0","7.0","87.5","5.9","4.3","2025","2026","harvest_2025.csv"
"PB5003","Pronghorn","","","","","4","4.0","0.0","1.0","0.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5003","Pronghorn","Box Elder, Promontory","Limited Entry","Archery","Male Only","4","2.0","0.0","0.0","11.5","2.0","2025","2026","harvest_2025.csv"
"PB5004","Pronghorn","","","","","4","2.0","4.0","1.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5004","Pronghorn","Box Elder, Puddle Valley","Limited Entry","Archery","Male Only","4","3.0","3.0","100.0","2.3","4.7","2025","2026","harvest_2025.csv"
"PB5005","Pronghorn","Box Elder, Snowville","Limited Entry","Archery","Male Only","8","8.0","5.0","62.5","5.8","4.8","2025","2026","harvest_2025.csv"
"PB5005","Pronghorn","","","","","7","5.1","3.0","1.0","42.9","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5006","Pronghorn","Box Elder, West","Limited Entry","Archery","Male Only","10","10.0","1.0","10.0","5.8","3.2","2025","2026","harvest_2025.csv"
"PB5006","Pronghorn","","","","","8","3.9","6.0","2.0","71.4","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5008","Pronghorn","","","","","12","7.1","10.0","13.0","83.3","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5008","Pronghorn","Fillmore, Oak Creek South","Limited Entry","Archery","Male Only","15","15.0","13.0","86.7","3.9","4.8","2025","2026","harvest_2025.csv"
"PB5009","Pronghorn","La Sal, Potash/South Cisco","Limited Entry","Archery","Male Only","6","6.0","4.0","66.7","7.3","4.8","2025","2026","harvest_2025.csv"
"PB5011","Pronghorn","Nine Mile, Anthro-Myton Bench","Limited Entry","Archery","Male Only","32","31.0","29.0","93.5","3.3","4.2","2025","2026","harvest_2025.csv"
"PB5011","Pronghorn","","","","","28","4.3","25.0","11.0","89.3","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5012","Pronghorn","North Slope, Three Corners/West Daggett","Limited Entry","Archery","Male Only","13","13.0","9.0","69.2","6.2","3.5","2025","2026","harvest_2025.csv"
"PB5013","Pronghorn","Pine Valley","Limited Entry","Archery","Male Only","8","8.0","5.0","62.5","9.5","4.0","2025","2026","harvest_2025.csv"
"PB5013","Pronghorn","","","","","7","6.4","5.0","12.0","71.4","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5015","Pronghorn","","","","","20","6.3","13.0","20.0","65.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5015","Pronghorn","San Rafael, North","Limited Entry","Archery","Male Only","21","20.0","15.0","75.0","7.2","4.1","2025","2026","harvest_2025.csv"
"PB5016","Pronghorn","Diamond Mtn/Bonanza","Limited Entry","Archery","Male Only","19","18.0","14.0","77.8","3.1","4.0","2025","2026","harvest_2025.csv"
"PB5016","Pronghorn","","","","","18","4.0","17.0","21.0","94.4","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5017","Pronghorn","Vernal","Limited Entry","Archery","Male Only","20","19.0","7.0","36.8","7.1","2.5","2025","2026","harvest_2025.csv"
"PB5017","Pronghorn","","","","","19","6.9","13.0","19.0","68.4","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5018","Pronghorn","Southwest Desert","Limited Entry","Archery","Male Only","35","31.0","28.0","90.3","5.0","4.3","2025","2026","harvest_2025.csv"
"PB5019","Pronghorn","","","","","15","3.2","15.0","19.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5019","Pronghorn","West Desert, Riverbed","Limited Entry","Archery","Male Only","18","18.0","17.0","94.4","2.6","4.5","2025","2026","harvest_2025.csv"
"PB5020","Pronghorn","West Desert, Rush Valley","Limited Entry","Archery","Male Only","9","9.0","8.0","88.9","5.6","4.4","2025","2026","harvest_2025.csv"
"PB5020","Pronghorn","","","","","8","8.0","2.0","19.0","25.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5021","Pronghorn","West Desert, Snake Valley","Limited Entry","Archery","Male Only","23","23.0","14.0","60.9","3.2","3.7","2025","2026","harvest_2025.csv"
"PB5021","Pronghorn","","","","","19","4.9","12.0","130.0","61.1","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5024","Pronghorn","Southwest Desert","Limited Entry","Muzzleloader","Male Only","35","35.0","25.0","71.4","3.4","4.0","2025","2026","harvest_2025.csv"
"PB5025","Pronghorn","Beaver","Limited Entry","Any Legal Weapon","Male Only","46","44.0","40.0","90.9","1.5","4.2","2025","2026","harvest_2025.csv"
"PB5026","Pronghorn","Book Cliffs, Bitter Creek","Limited Entry","Any Legal Weapon","Male Only","58","56.0","48.0","85.7","1.9","3.9","2025","2026","harvest_2025.csv"
"PB5026","Pronghorn","","","","","50","1.6","45.0","10.0","91.1","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5027","Pronghorn","Book Cliffs, South","Limited Entry","Any Legal Weapon","Male Only","36","36.0","36.0","100.0","1.5","4.4","2025","2026","harvest_2025.csv"
"PB5027","Pronghorn","","","","","30","1.4","29.0","1.0","96.6","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5028","Pronghorn","","","","","15","2.3","9.0","1.0","57.1","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5028","Pronghorn","Box Elder, Promontory","Limited Entry","Any Legal Weapon","Male Only","17","17.0","12.0","70.6","2.1","3.8","2025","2026","harvest_2025.csv"
"PB5029","Pronghorn","Box Elder, Puddle Valley","Limited Entry","Any Legal Weapon","Male Only","17","16.0","14.0","87.5","2.2","4.1","2025","2026","harvest_2025.csv"
"PB5029","Pronghorn","","","","","38","2.2","36.0","1.0","94.7","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5030","Pronghorn","Box Elder, Snowville","Limited Entry","Any Legal Weapon","Male Only","32","32.0","24.0","75.0","2.0","4.1","2025","2026","harvest_2025.csv"
"PB5031","Pronghorn","","","","","40","3.0","32.0","2.0","80.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5031","Pronghorn","Box Elder, West","Limited Entry","Any Legal Weapon","Male Only","32","32.0","26.0","81.3","2.2","3.9","2025","2026","harvest_2025.csv"
"PB5033","Pronghorn","","","","","37","2.0","37.0","26.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5033","Pronghorn","Fillmore, Oak Creek South","Limited Entry","Any Legal Weapon","Male Only","48","47.0","46.0","97.9","2.1","4.3","2025","2026","harvest_2025.csv"
"PB5034","Pronghorn","Kaiparowits","Limited Entry","Any Legal Weapon","Male Only","2","2.0","1.0","50.0","3.5","3.0","2025","2026","harvest_2025.csv"
"PB5035","Pronghorn","La Sal, Potash/South Cisco","Limited Entry","Any Legal Weapon","Male Only","23","23.0","23.0","100.0","1.7","4.5","2025","2026","harvest_2025.csv"
"PB5037","Pronghorn","","","","","87","1.8","85.0","11.0","97.5","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB5037","Pronghorn","Nine Mile, Anthro-Myton Bench","Limited Entry","Any Legal Weapon","Male Only","104","100.0","83.0","83.0","2.1","3.7","2025","2026","harvest_2025.csv"
