"hunt_code","species","hunt_name","hunt_type","weapon","sex_type","permits_total","hunters","harvest","percent_success","avg_days","satisfaction","year","prediction_year","source_file"
"RE1000","Rocky Mountain Bighorn Sheep","","","","","5","1.4","4.0","21.0","80.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"RE1000","Rocky Mountain Bighorn Sheep","Box Elder, Newfoundland Mtn","Antlerless","Any Legal Weapon","Female Only","5","5.0","4.0","80.0","2.0","4.0","2025","2026","harvest_2025.csv"
"RS0001","Rocky Mountain Bighorn Sheep","Rocky Mountain Bighorn Sheep - Statewide Permit","Sportsman","Any Legal Weapon","Male Only","2","2.0","2.0","100.0","1.0","5.0","2025","2026","harvest_2025.csv"
"RS1000","Rocky Mountain Bighorn Sheep","Antelope Island","Conservation","Any Legal Weapon","Male Only","1","1.0","1.0","100.0","2.0","5.0","2025","2026","harvest_2025.csv"
"RS1001","Rocky Mountain Bighorn Sheep","","","","","1","5.0","1.0","1.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"RS1001","Rocky Mountain Bighorn Sheep","Book Cliffs, South","Conservation","Any Legal Weapon","Male Only","1","1.0","1.0","100.0","20.0","2.0","2025","2026","harvest_2025.csv"
"RS1003","Rocky Mountain Bighorn Sheep","","","","","1","1.0","1.0","1.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"RS1003","Rocky Mountain Bighorn Sheep","Box Elder, Newfoundland Mtn","Conservation","Any Legal Weapon","Male Only","1","1.0","1.0","100.0","2.0","5.0","2025","2026","harvest_2025.csv"
"RS1006","Rocky Mountain Bighorn Sheep","Nine Mile, Gray Canyon","Conservation","Any Legal Weapon","Male Only","1","1.0","1.0","100.0","15.0","5.0","2025","2026","harvest_2025.csv"
"RS1006","Rocky Mountain Bighorn Sheep","","","","","1","20.0","1.0","11.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"RS6700","Rocky Mountain Bighorn Sheep","Antelope Island","OIAL","Any Legal Weapon","Male Only","1","1.0","1.0","100.0","1.0","5.0","2025","2026","harvest_2025.csv"
"RS6701","Rocky Mountain Bighorn Sheep","Book Cliffs, South","OIAL","Any Legal Weapon","Male Only","6","6.0","6.0","100.0","8.3","4.2","2025","2026","harvest_2025.csv"
"RS6701","Rocky Mountain Bighorn Sheep","","","","","6","9.3","6.0","10.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"RS6703","Rocky Mountain Bighorn Sheep","","","","","6","4.3","6.0","1.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"RS6703","Rocky Mountain Bighorn Sheep","Box Elder, Newfoundland Mtn","OIAL","Any Legal Weapon","Male Only","5","5.0","5.0","100.0","7.8","4.6","2025","2026","harvest_2025.csv"
