"species","rows","file"
"Bison","33","processed_data\harvest_by_species\HARVEST_2025_BISON.csv"
"Deer","605","processed_data\harvest_by_species\HARVEST_2025_DEER.csv"
"Desert Bighorn Sheep","42","processed_data\harvest_by_species\HARVEST_2025_DESERT_BIGHORN_SHEEP.csv"
"Elk","693","processed_data\harvest_by_species\HARVEST_2025_ELK.csv"
"Moose","65","processed_data\harvest_by_species\HARVEST_2025_MOOSE.csv"
"Mountain Goat","28","processed_data\harvest_by_species\HARVEST_2025_MOUNTAIN_GOAT.csv"
"Pronghorn","189","processed_data\harvest_by_species\HARVEST_2025_PRONGHORN.csv"
"Rocky Mountain Bighorn Sheep","39","processed_data\harvest_by_species\HARVEST_2025_ROCKY_MOUNTAIN_BIGHORN_SHEEP.csv"
"UNKNOWN","70","processed_data\harvest_by_species\HARVEST_2025_UNKNOWN.csv"
