hunt_code,hunt_name,species,residency,draw_family,hunt_class,weapon,hunt_type,draw_pool,unit_name,boundary_id,current_points_context_available,modeled_draw_probability,guaranteed_line_points,point_creep_1yr,harvest_success_pct,average_days_hunted,average_harvest_age,current_age_3yr_average,percent_5plus,management_objective_type,management_objective_range,management_objective_status,management_objective_note,permits_2026_res,permits_2026_nr,permits_2026_total,decision_label,persona_tags,sleeper_score,sleeper_reasons,recommended_action,data_confidence,source_badges,model_version,rule_version,availability_status,harvest_source_file,harvest_source_page,age_source_file,age_source_page,age_source_table_title,age_review_status
BI6529,"Book Cliffs, Little Creek/South",Bison,Nonresident,BONUS_OIL_BIG_GAME,Antlerless,Any Legal Weapon,Once-in-a-lifetime,standard,"Book Cliffs, Little Creek/South",889,true,0,0,0,80,1.8,,,,,,,,8,0,8,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output,mixed_predictive_v1.0.0,utah_draw_model_v1.0.0,FULL_SPLIT,2026-03-06-2025-preliminary-bg-harvest.pdf,1,,,,
BI6529,"Book Cliffs, Little Creek/South",Bison,Resident,BONUS_OIL_BIG_GAME,Antlerless,Any Legal Weapon,Once-in-a-lifetime,standard,"Book Cliffs, Little Creek/South",889,true,0.7,13,-4,80,1.8,,,,,,,,8,0,8,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output,mixed_predictive_v1.0.0,utah_draw_model_v1.0.0,FULL_SPLIT,2026-03-06-2025-preliminary-bg-harvest.pdf,1,,,,
BI6530,"Book Cliffs, Little Creek/South",Bison,Nonresident,BONUS_OIL_BIG_GAME,,Any Legal Weapon,Once-in-a-lifetime,,"Book Cliffs, Little Creek/South",889,true,,,,5,5,,,,,,,,,,,INSUFFICIENT DATA,HARD_DRIVER|TROPHY_DREAMER|DATA_LIMITED_DO_NOT_OVERSELL,0,,Objective or opportunity data is incomplete. Treat this as a limited-confidence research lead.,MEDIUM,Official DWR Source|Review / Limited Data,,,NO_2026_TOTAL,24_bg_report.pdf,159,,,,
BI6530,"Book Cliffs, Little Creek/South",Bison,Resident,BONUS_OIL_BIG_GAME,,Any Legal Weapon,Once-in-a-lifetime,,"Book Cliffs, Little Creek/South",889,true,,,,5,5,,,,,,,,,,,INSUFFICIENT DATA,HARD_DRIVER|TROPHY_DREAMER|DATA_LIMITED_DO_NOT_OVERSELL,0,,Objective or opportunity data is incomplete. Treat this as a limited-confidence research lead.,MEDIUM,Official DWR Source|Review / Limited Data,,,NO_2026_TOTAL,24_bg_report.pdf,159,,,,
BI6531,"Book Cliffs, Little Creek/South",Bison,Nonresident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,Once-in-a-lifetime,standard,"Book Cliffs, Little Creek/South",889,true,0,0,0,85.7,3.7,,,,,,,,10,0,10,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,2,permit count at or above peer median; point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output,mixed_predictive_v1.0.0,utah_draw_model_v1.0.0,FULL_SPLIT,2026-03-06-2025-preliminary-bg-harvest.pdf,1,,,,
BI6531,"Book Cliffs, Little Creek/South",Bison,Resident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,Once-in-a-lifetime,standard,"Book Cliffs, Little Creek/South",889,true,0.5,26,0,85.7,3.7,,,,,,,,10,0,10,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,2,permit count at or above peer median; point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output,mixed_predictive_v1.0.0,utah_draw_model_v1.0.0,FULL_SPLIT,2026-03-06-2025-preliminary-bg-harvest.pdf,1,,,,
BI6532,"Book Cliffs, Bitter Creek",Bison,Nonresident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Archery,Once-in-a-lifetime,standard,"Book Cliffs, Bitter Creek",667,true,0,0,0,100,2,,,,,,,,5,0,5,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output,mixed_predictive_v1.0.0,utah_draw_model_v1.0.0,FULL_SPLIT,2026-03-06-2025-preliminary-bg-harvest.pdf,1,,,,
BI6532,"Book Cliffs, Bitter Creek",Bison,Resident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Archery,Once-in-a-lifetime,standard,"Book Cliffs, Bitter Creek",667,true,0.4,19,-2,100,2,,,,,,,,5,0,5,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,1,point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output,mixed_predictive_v1.0.0,utah_draw_model_v1.0.0,FULL_SPLIT,2026-03-06-2025-preliminary-bg-harvest.pdf,1,,,,
BI6534,"Book Cliffs, Bitter Creek",Bison,Nonresident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,Once-in-a-lifetime,standard,"Book Cliffs, Bitter Creek",667,true,0,0,0,100,2.5,,,,,,,,10,0,10,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,2,permit count at or above peer median; point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output,mixed_predictive_v1.0.0,utah_draw_model_v1.0.0,FULL_SPLIT,2026-03-06-2025-preliminary-bg-harvest.pdf,1,,,,
BI6534,"Book Cliffs, Bitter Creek",Bison,Resident,BONUS_OIL_BIG_GAME,Once-in-a-lifetime,Any Legal Weapon,Once-in-a-lifetime,standard,"Book Cliffs, Bitter Creek",667,true,0.3,28,0,100,2.5,,,,,,,,10,0,10,QUALITY LONG SHOT,FREEZER_FILLER|HARD_DRIVER|TROPHY_DREAMER|POINT_SAVER,2,permit count at or above peer median; point creep not worse than peer median,"High-quality hunt, but consider saving points unless it fits your long-term plan.",MEDIUM,Official DWR Source|U.O.G.A. Modeled Output,mixed_predictive_v1.0.0,utah_draw_model_v1.0.0,FULL_SPLIT,2026-03-06-2025-preliminary-bg-harvest.pdf,1,,,,
