species,reported_hunt_year,model_target_year,hunt_code_count,harvest_success_avg,harvest_total_sum,average_days_avg
Antlerless Deer,2021,2022,27,60.346,1776,3.131
Antlerless Deer,2022,2023,20,58.875,1890,3.635
Antlerless Deer,2023,2024,17,48.265,561,4.323
Antlerless Deer,2024,2025,21,16.857,5200,22.571
Antlerless Deer Antlerless Deer,2023,2024,2,39.75,66,3.7
Antlerless Elk,2021,2022,186,45.476,18900,5.468
Antlerless Elk,2022,2023,104,43.784,17952,5.468
Antlerless Elk,2023,2024,116,32.644,9542,5.367
Antlerless Elk,2024,2025,184,65.209,240628,43.982
Antlerless Elk Control,2023,2024,1,7.7,92,5.3
Antlerless Moose,2022,2023,3,85.933,90,4.333
Antlerless Moose,2023,2024,3,80.127,32,6.345
Big Game OIL,2024,2025,80,0,382,0
Bighorn Sheep,2023,2024,3,0,0,0
Bison,2021,2022,13,65.4,440,5.862
Bison,2023,2024,18,69.439,861,5.317
Bison,2024,2025,17,29.239,1344,6.247
Bison,2025,2026,18,86.389,1269,3.506
Black Bear,2021,2022,91,41.374,1552,4.264
Black Bear,2022,2023,87,42.851,2172,0
Black Bear,2023,2024,87,34.448,882,0
Black Bear,2024,2025,87,40.023,7458,0
CWMU Antlerless,2023,2024,4,69.1,14,3.1
CWMU Antlerless Deer,2022,2023,3,98.033,246,1.633
CWMU Antlerless Deer,2023,2024,4,85.062,148,1.569
CWMU Antlerless Elk,2022,2023,57,63.016,4764,2.663
CWMU Antlerless Elk,2023,2024,60,63.05,3093,2.622
CWMU Doe Pronghorn,2022,2023,9,87.967,318,1.922
CWMU Doe Pronghorn,2023,2024,8,90.625,56,2.038
Deer,2021,2022,306,56.565,97396,4.61
Deer,2023,2024,328,58.603,64456,5.253
Deer,2025,2026,418,59.491,252846,5.312
Desert Bighorn Sheep,2021,2022,21,85.595,296,10.215
Desert Bighorn Sheep,2023,2024,24,88.7,962,7.5
Desert Bighorn Sheep,2024,2025,22,91.641,1776,8.364
Desert Bighorn Sheep,2025,2026,25,87.688,783,9.164
Doe Pronghorn,2022,2023,16,68.556,1002,1.975
Doe Pronghorn,2023,2024,12,65.836,436,2.26
Elk,2021,2022,172,74.544,10584,6.48
Elk,2023,2024,211,66.492,19054,6.841
Elk,2024,2025,333,68.424,141968,6.563
Elk,2025,2026,455,57.855,136863,5.976
Ewe Bighorn Sheep,2022,2023,1,80,24,1.4
Limited Entry Buck Deer,2022,2023,195,75.403,14376,4.721
Limited Entry Buck Pronghorn,2022,2023,88,79.854,7230,3.086
Limited Entry Bull Elk,2022,2023,193,73.693,17490,6.994
Limited Entry Bull Moose,2022,2023,40,92.207,1038,5.982
Moose,2021,2022,38,96.571,700,5.203
Moose,2023,2024,36,96.434,1134,5.321
Moose,2024,2025,37,95.181,2864,5.203
Moose,2025,2026,44,92.814,1710,4.757
Mountain Goat,2021,2022,17,93.188,432,5.182
Mountain Goat,2023,2024,17,83.794,595,4.294
Mountain Goat,2024,2025,17,31.575,1856,5.704
Mountain Goat,2025,2026,18,89.683,882,4.683
Mule Deer,2024,2025,334,56.03,594438,5.49
Once-in-a-Lifetime Bison,2022,2023,19,79.306,984,4.989
Once-in-a-Lifetime Desert Bighorn Sheep,2022,2023,24,92.883,450,11.217
Once-in-a-Lifetime Mountain Goat,2022,2023,18,87.894,576,6.194
Once-in-a-Lifetime Rocky Mountain Bighorn Sheep,2022,2023,22,98.864,384,6.036
Private Lands Only Antlerless Elk,2023,2024,26,36.723,1418,8.058
Private-Lands Only Antlerless Elk,2022,2023,25,42.672,9108,8
Pronghorn,2021,2022,85,78.591,4440,3.147
Pronghorn,2023,2024,88,78.197,8624,2.98
Pronghorn,2024,2025,87,78.597,36530,3.29
Pronghorn,2025,2026,121,78.358,16965,2.863
Rocky Mountain Bighorn Sheep,2021,2022,18,94.578,264,5.094
Rocky Mountain Bighorn Sheep,2023,2024,22,100,769,6.386
Rocky Mountain Bighorn Sheep,2024,2025,20,99.165,992,7.275
Rocky Mountain Bighorn Sheep,2025,2026,21,97.462,558,7.333
Turkey,2024,2025,7,49.757,5715,2.92
Wild Turkey,2025,2026,7,52.671,5796,0
