hunt_code,species,hunt_name,active_2026,harvest_quality_index,demand_pressure_signal,demand_pressure_category,point_creep_quality_adjustment,harvest_success_recent,harvest_success_3yr_avg,harvest_success_delta_1yr,harvest_success_trend_direction,hunter_satisfaction_recent,hunter_satisfaction_3yr_avg,hunter_effort_days_recent,hunter_effort_days_3yr_avg,harvest_recent,harvest_3yr_avg,hunters_afield_recent,hunters_afield_3yr_avg,average_age_recent,average_age_3yr_avg,percent_female_recent,percent_adult_male_recent,population_signal_recent,pursuit_pressure_recent,harvest_feature_source_years,harvest_feature_match_method,harvest_feature_data_quality_grade,harvest_feature_reason_codes
DB1011,Deer,Book Cliffs,YES,84.297,69.316,HIGH_DEMAND_SIGNAL,0.1,88,83.567,4.2,INCREASING,4.6,4.55,6.6,5.333,44,36.667,50,43.667,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1025,Deer,Book Cliffs,YES,83.086,78.511,HIGH_DEMAND_SIGNAL,0.25,86,83.267,12.2,INCREASING,4.2,4.1,3.8,3.8,43,37.667,50,45.333,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1044,Deer,Book Cliffs,YES,81.333,65.333,HIGH_DEMAND_SIGNAL,0.1,100,100,0,FLAT,4,4,15.3,16.033,9,7.333,9,7.333,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1056,Deer,Book Cliffs (North & South),YES,60,52.941,MODERATE_DEMAND_SIGNAL,0,50,83.333,-50,DECREASING,5,4.25,3,4.833,1,2.333,2,2.667,,,,,,,2022|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1075,Deer,Book Cliffs (North & South),YES,49.778,34.873,LOW_DEMAND_SIGNAL,0,50,75,-50,DECREASING,3.5,3.5,5,4.75,2,2,3,2.5,,,,,,,2021|2022|2024,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED|SPARSE_HISTORY
DB1076,Deer,Book Cliffs (North & South),YES,87.778,62.302,MODERATE_DEMAND_SIGNAL,0,0,25,-50,DECREASING,4.5,4.5,2,3.75,0,0.5,2,2,,,,,,,2021|2022|2024,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED|SPARSE_HISTORY
DA1030,Deer,"Nine Mile, Price River Valley",YES,40.601,38.283,MODERATE_DEMAND_SIGNAL,0,14.3,24.1,-3.7,DECREASING,2.8,4.35,3.8,11.933,2,5.667,14,11.667,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DA1046,Deer,"Nine Mile, Price River Valley",YES,52.489,64.583,MODERATE_DEMAND_SIGNAL,0,50,37,29,INCREASING,3,3.6,5.2,10.9,10,8.667,20,12,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
BR7102,Black Bear,Book Cliffs Little Creek Roadless,YES,50,33.333,LOW_DEMAND_SIGNAL,0,50,75,-25,DECREASING,,,,,2,3,,,,,0,100,,,2022|2023|2024,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|NO_AVERAGE_DAYS|NO_HUNTERS_AFIELD|NO_HUNTER_SATISFACTION|QUALITY_INDEX_COMPONENT_REWEIGHTED
BR7224,Black Bear,Book Cliffs Little Creek Roadless,YES,,0,LOW_DEMAND_SIGNAL,-0.1,0,16.667,-30,DECREASING,,,,,0,1.667,,,,,,,,,2022|2023|2024,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|NO_AVERAGE_AGE|NO_AVERAGE_DAYS|NO_HUNTERS_AFIELD|NO_HUNTER_SATISFACTION|NO_USABLE_QUALITY_COMPONENTS|QUALITY_INDEX_COMPONENT_REWEIGHTED
BR7225,Black Bear,Book Cliffs Little Creek Roadless,YES,,50,MODERATE_DEMAND_SIGNAL,0,0,0,0,FLAT,,,,,0,0,,,,,,,,,2022|2023|2024,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|NO_AVERAGE_AGE|NO_AVERAGE_DAYS|NO_HUNTERS_AFIELD|NO_HUNTER_SATISFACTION|NO_USABLE_QUALITY_COMPONENTS|QUALITY_INDEX_COMPONENT_REWEIGHTED
BR7301,Black Bear,Book Cliffs Little Creek Roadless,YES,,0,LOW_DEMAND_SIGNAL,-0.1,0,33.333,-67,DECREASING,,,,,0,1,,,,,,,,,2022|2023|2024,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|NO_AVERAGE_AGE|NO_AVERAGE_DAYS|NO_HUNTERS_AFIELD|NO_HUNTER_SATISFACTION|NO_USABLE_QUALITY_COMPONENTS|QUALITY_INDEX_COMPONENT_REWEIGHTED
