hunt_code,hunt_name,species,sex_type,hunt_type,season,permits_2025_res,permits_2026_res,delta_res,permits_2025_nr,permits_2026_nr,delta_nr,permits_2025_total,permits_2026_total,delta_total,pct_change_total,change_status
DB1533,Manti/San Rafael,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,1,,,0,,,1,5400,5399,539900.0%,CHANGED
EB3199,Wasatch Mtns,Elk,Bull,Limited Entry,Nov 28 2026 - Dec 13 2026,,9,,,1,,4740,10,-4730,-99.8%,CHANGED
DB1556,"Wasatch Mtns, West",Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,19,,,0,,,19,4740,4721,24847.4%,CHANGED
DB1555,"Wasatch Mtns, East",Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,2,,,0,,,2,3900,3898,194900.0%,CHANGED
EB3127,Wasatch Mtns,Elk,Bull,Limited Entry,Oct 03 2026 - Oct 15 2026,,155,,,17,,3900,172,-3728,-95.6%,CHANGED
DB1627,Cache,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,1,,,0,,,1,3480,3479,347900.0%,CHANGED
MB6007,"North Slope, Three Corners/West Daggett",Moose,Bull,Once-in-a-lifetime,Sept 12 2026 - Oct 31 2026,,6,,,2,,3480,8,-3472,-99.8%,CHANGED
DB1534,Nebo,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,23,,,3,,,26,3180,3154,12130.8%,CHANGED
EB3503,Bear Springs CWMU,Elk,Bull,CWMU,Contact operator for 2026 season dates,,1,,,0,,2000,1,-1999,-100.0%,CHANGED
MB6251,Hardscrabble CWMU,Moose,Bull,CWMU,Contact Operator for 2026 season dates,,1,,,0,,2000,1,-1999,-100.0%,CHANGED
DB0008,Extended Archery Deer,Deer,Hunters Choice,Extended Archery,"Sept 12-Oct 15, 2026 -OR- Sept 12-Nov 30, 2026 | See guidebook for units & dates",5,,,1,,,6,2000,1994,33233.3%,CHANGED
DB1012,"Fillmore, Oak Creek LE",Deer,Buck,Limited Entry,Aug 15 2026 - Sept 11 2026,,12,,,1,,2000,13,-1987,-99.4%,CHANGED
DB1531,Box Elder,Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,148,,,17,,,165,2080,1915,1160.6%,CHANGED
EA2006,Yellowstone,Elk,Antlerless,Private Lands Only,Aug 01 2025 - Jan 31 2026,78,,,9,,,87,2000,1913,2198.9%,CHANGED
DB1563,Manti/San Rafael,Deer,Buck,General Season,Sept 23 2026 - Oct 01 2026,1,,,0,,,1,1800,1799,179900.0%,CHANGED
DB1503,Manti/San Rafael,Deer,Buck,General Season,Aug 15 2026 - Sept 11 2026,2,,,0,,,2,1800,1798,89900.0%,CHANGED
PD1052,Heist CWMU,Pronghorn,Doe,CWMU,Contact operator for 2025 season dates,,6,,,0,,1800,6,-1794,-99.7%,CHANGED
EL3073,Wasatch Mtns,Elk,Bull,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,,,,,,,1800,16,-1784,-99.1%,CHANGED
DB1551,"San Juan, Abajo Mtns",Deer,Buck,General Season,Oct 17 2026 - Oct 25 2026,46,,,5,,,51,1680,1629,3194.1%,CHANGED
