reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,hunt_code,hunt_name,unit_context,permits,quota,hunters_afield,harvest_total,harvest_male,harvest_female,harvest_young,average_days,percent_success,hunter_satisfaction,metric_count,metric_raw,parse_notes,raw_line,source_sha256,source_path,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11
2024,2025,24_bg_report.pdf,182,Big Game,number harvest harvest harvest afield hunted rate (%),Mountain Goat,GO6800,Beaver,22,2,,10.0,8,,,,10.0,10.0,,7,8|2|10|10|10|3.8|100.0,,22 GO6800 Beaver 8 2 10 10 10 3.8 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,8,2,10.0,10.0,10.0,3.8,100.0,,,,
2024,2025,24_bg_report.pdf,182,Big Game,number harvest harvest harvest afield hunted rate (%),Mountain Goat,GO6801,Beaver,22,3,,9.0,6,,,,10.0,10.0,,7,6|3|9|10|10|2.8|88.9,,22 GO6801 Beaver 6 3 9 10 10 2.8 88.9,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,6,3,9.0,10.0,10.0,2.8,88.9,,,,
2024,2025,24_bg_report.pdf,182,Big Game,number harvest harvest harvest afield hunted rate (%),Mountain Goat,GO6822,Beaver (archery),22,1,,2.0,1,,,,2.0,2.0,,7,1|1|2|2|2|3.0|100.0,,22 GO6822 Beaver (archery) 1 1 2 2 2 3.0 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,1,1,2.0,2.0,2.0,3.0,100.0,,,,
2024,2025,24_bg_report.pdf,182,Big Game,number harvest harvest harvest afield hunted rate (%),Mountain Goat,GO6805,Hig.h Uintas Central,8/9,1,,5.0,4,,,,5.0,5.0,,7,4|1|5|5|5|4.0|100.0,,8/9 GO6805 Hig.h Uintas Central 4 1 5 5 5 4.0 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,4,1,5.0,5.0,5.0,4.0,100.0,,,,
2024,2025,24_bg_report.pdf,182,Big Game,number harvest harvest harvest afield hunted rate (%),Mountain Goat,GO6806,High Uintas East,8/9,0,,2.0,2,,,,2.0,2.0,,7,2|0|2|2|2|9.5|100.0,,8/9 GO6806 High Uintas East 2 0 2 2 2 9.5 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,2,0,2.0,2.0,2.0,9.5,100.0,,,,
2024,2025,24_bg_report.pdf,182,Big Game,number harvest harvest harvest afield hunted rate (%),Mountain Goat,GO6804,High Uintas Kamas,6/7,0,,2.0,2,,,,2.0,2.0,,7,2|0|2|2|2|8.5|100.0,,6/7 GO6804 High Uintas Kamas 2 0 2 2 2 8.5 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,2,0,2.0,2.0,2.0,8.5,100.0,,,,
2024,2025,24_bg_report.pdf,182,Big Game,number harvest harvest harvest afield hunted rate (%),Mountain Goat,GO6807,High Uintas Leidy Peak,8/9,0,,1.0,1,,,,1.0,1.0,,7,1|0|1|1|1|2.0|100.0,,8/9 GO6807 High Uintas Leidy Peak 1 0 1 1 1 2.0 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,1,0,1.0,1.0,1.0,2.0,100.0,,,,
2024,2025,24_bg_report.pdf,182,Big Game,number harvest harvest harvest afield hunted rate (%),Mountain Goat,GO6808,High Uintas West,8/9,2,,9.0,7,,,,10.0,9.0,,7,7|2|9|10|9|4.9|100.0,,8/9 GO6808 High Uintas West 7 2 9 10 9 4.9 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,7,2,9.0,10.0,9.0,4.9,100.0,,,,
2024,2025,24_bg_report.pdf,182,Big Game,number harvest harvest harvest afield hunted rate (%),Mountain Goat,GO6817,"La Sal, La Sal Mtns",13,2,,10.0,8,,,,11.0,11.0,,7,8|2|10|11|11|5.2|90.9,,"13 GO6817 La Sal, La Sal Mtns 8 2 10 11 11 5.2 90.9",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,8,2,10.0,11.0,11.0,5.2,90.9,,,,
2024,2025,24_bg_report.pdf,182,Big Game,,Mountain Goat,GO6814,Mt Dutton,24,0,,1.0,1,,,,2.0,2.0,,7,1|0|1|2|2|2.5|50.0,,24 GO6814 Mt Dutton 1 0 1 2 2 2.5 50.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,1,0,1.0,2.0,2.0,2.5,50.0,,,,
