reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,hunt_code,hunt_name,unit_context,permits,quota,hunters_afield,harvest_total,harvest_male,harvest_female,harvest_young,average_days,percent_success,hunter_satisfaction,metric_count,metric_raw,parse_notes,raw_line,source_sha256,source_path,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11
2024,2025,24_bg_report.pdf,21,Big Game,number harvest harvest harvest afield hunted rate (%),Antlerless Deer,DA1001,"Box Elder, West Bear River Any legal weapon",1,4,,0.0,4,,,,30.0,12.0,4.5,7,4|0|4|30|12|4.5|30.0,,"1 DA1001 Box Elder, West Bear River Any legal weapon 4 0 4 30 12 4.5 30.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,4,0,4.0,30.0,12.0,4.5,30.0,,,,
2024,2025,24_bg_report.pdf,21,Big Game,number harvest harvest harvest afield hunted rate (%),Antlerless Deer,DA1002,"Box Elder, West Bear River Any legal weapon",1,8,,2.0,10,,,,28.0,18.0,3.5,7,8|2|10|28|18|3.5|55.6,,"1 DA1002 Box Elder, West Bear River Any legal weapon 8 2 10 28 18 3.5 55.6",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,8,2,10.0,28.0,18.0,3.5,55.6,,,,
2024,2025,24_bg_report.pdf,21,Big Game,number harvest harvest harvest afield hunted rate (%),Antlerless Deer,DA1027,"East Canyon, Davis-North Salt Lake Any legal weapon",5,14,,0.0,14,,,,30.0,29.0,3.4,7,14|0|14|30|29|3.4|48.3,,"5 DA1027 East Canyon, Davis-North Salt Lake Any legal weapon 14 0 14 30 29 3.4 48.3",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,14,0,14.0,30.0,29.0,3.4,48.3,,,,
2024,2025,24_bg_report.pdf,21,Big Game,number harvest harvest harvest afield hunted rate (%),Antlerless Deer,DA1048,Fillmore City Archery,21,8,,0.0,8,,,,15.0,13.0,4.1,7,8|0|8|15|13|4.1|60.0,,21 DA1048 Fillmore City Archery 8 0 8 15 13 4.1 60.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,8,0,8.0,15.0,13.0,4.1,60.0,,,,
2024,2025,24_bg_report.pdf,21,Big Game,number harvest harvest harvest afield hunted rate (%),Antlerless Deer,DA1045,"Fillmore, Oak City Archery",21,6,,1.0,7,,,,14.0,13.0,3.7,7,6|1|7|14|13|3.7|54.5,,"21 DA1045 Fillmore, Oak City Archery 6 1 7 14 13 3.7 54.5",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,6,1,7.0,14.0,13.0,3.7,54.5,,,,
2024,2025,24_bg_report.pdf,21,Big Game,number harvest harvest harvest afield hunted rate (%),Antlerless Deer,DA1003,"Monroe/Plateau, Sevier Valley Archery, muzzleloader, shotgun",23,3,,0.0,3,,,,15.0,12.0,3.6,7,3|0|3|15|12|3.6|25.0,,"23 DA1003 Monroe/Plateau, Sevier Valley Archery, muzzleloader, shotgun 3 0 3 15 12 3.6 25.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,3,0,3.0,15.0,12.0,3.6,25.0,,,,
2024,2025,24_bg_report.pdf,21,Big Game,number harvest harvest harvest afield hunted rate (%),Antlerless Deer,DA1044,Myton Any legal weapon,9A,28,,0.0,28,,,,47.0,28.0,3.8,7,28|0|28|47|28|3.8|70.8,,9A DA1044 Myton Any legal weapon 28 0 28 47 28 3.8 70.8,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,28,0,28.0,47.0,28.0,3.8,70.8,,,,
2024,2025,24_bg_report.pdf,21,Big Game,number harvest harvest harvest afield hunted rate (%),Antlerless Deer,DA1041,"Nine Mile, Green River Valley Any legal weapon",11,3,,0.0,3,,,,14.0,9.0,1.5,7,3|0|3|14|9|1.5|37.5,,"11 DA1041 Nine Mile, Green River Valley Any legal weapon 3 0 3 14 9 1.5 37.5",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,3,0,3.0,14.0,9.0,1.5,37.5,,,,
2024,2025,24_bg_report.pdf,21,Big Game,number harvest harvest harvest afield hunted rate (%),Antlerless Deer,DA1030,"Nine Mile, Price River Valley Archery",11,7,,0.0,7,,,,25.0,18.0,5.9,7,7|0|7|25|18|5.9|38.9,,"11 DA1030 Nine Mile, Price River Valley Archery 7 0 7 25 18 5.9 38.9",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,7,0,7.0,25.0,18.0,5.9,38.9,,,,
2024,2025,24_bg_report.pdf,21,Big Game,,Antlerless Deer,DA1046,"Nine Mile, Price River Valley Archery, muzzleloader, shotgun",11,9,,0.0,9,,,,24.0,21.0,4.2,7,9|0|9|24|21|4.2|42.1,,"11 DA1046 Nine Mile, Price River Valley Archery, muzzleloader, shotgun 9 0 9 24 21 4.2 42.1",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,9,0,9.0,24.0,21.0,4.2,42.1,,,,
2024,2025,24_bg_report.pdf,21,Big Game,,Antlerless Deer,DA1031,"Oquirrh-Stansbury, Settlement Cyn Archery",18,12,,0.0,12,,,,20.0,17.0,3.2,7,12|0|12|20|17|3.2|68.8,,"18 DA1031 Oquirrh-Stansbury, Settlement Cyn Archery 12 0 12 20 17 3.2 68.8",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,12,0,12.0,20.0,17.0,3.2,68.8,,,,
