Year,Bull harvest,Cow harvest,Calf harvest,Antlerless harvest,Unknown harvest,Total harvest,Hunters afield,source_page
1931,99,,,,26,125,256,1
1932,140,,,,49,189,246,1
1933,162,2,,,71,235,346,1
1934,179,44,,,96,292,418,1
1935,146,37,,,22,205,352,1
1936,92,49,,,12,153,217,1
1937,119,69,,,,188,248,1
1938,186,195,,,49,430,508,1
1939,261,380,,,,641,726,1
1940,455,383,,,,838,916,1
1941,390,391,,,,781,860,1
1942,374,385,,,,759,954,1
1943,303,261,,,,564,821,1
1944,172,90,,,170,432,572,1
1945,312,250,,,,562,691,1
1946,483,362,,,,845,1031,1
1947,502,563,,,,1065,1208,1
1948,307,481,,,,788,902,1
1949,374,343,,,,717,914,1
1950,754,649,,,,1403,1669,1
1951,803,704,,,,1507,1807,1
1952,641,682,,,,1323,1750,1
1953,471,496,,,,967,1491,1
1954,423,425,,,,848,1332,1
1955,413,345,92,,,850,1461,1
1956,434,298,85,,,817,1407,1
1957,487,356,89,,,932,1768,1
1958,563,416,96,,,1075,2019,1
1959,638,462,120,,,1220,2176,1
1960,649,423,101,,,1173,2253,1
1961,643,393,82,,,1118,2526,1
1962,697,383,93,,,1173,2478,1
1963,647,338,60,,,1045,2519,1
1964,632,334,67,,,1033,2418,1
1965,678,271,48,,,997,2480,1
1966,657,226,27,,,910,2302,1
1967,964,52,13,,,1029,4278,1
1968,1286,49,17,,,1352,6036,1
1969,1173,149,19,,,1341,5215,1
1970,1762,203,30,,,1995,10008,1
1971,1443,,,,,1443,9371,2
1972,1896,,,,,1896,15929,2
1973,1919,,,,,1919,23895,2
1974,1675,,,,,1675,17652,2
1975,1747,,,,,1747,18904,2
1976,1750,,,4,,1754,19021,2
1977,2426,,,16,,2442,29573,2
1978,3091,,,17,,3108,33544,2
1979,2610,,,20,,2630,38069,2
1980,2051,,,25,,2076,19621,2
1981,2725,,,22,,2747,21425,2
1982,3069,,,24,,3093,22342,2
1983,3537,,,24,,3561,21659,2
1984,4115,,,34,,4149,29008,2
1985,4785,,,42,,4827,29287,2
1986,4001,,,31,,4032,29483,2
1987,4629,,,20,,4649,31758,2
1988,6434,,,45,,6479,37930,2
1989,6422,,,22,,6444,38861,2
1990,6405,,,31,,6436,43263,2
1991,6199,,,71,,6270,47082,2
1992,7341,,,104,,7445,47924,2
1993,6066,,,192,,6258,48372,2
1994,5902,,,101,,6003,50976,2
1995,5325,,,4475,,9800,43598,2
1996,5376,,,4677,,10053,41074,2
1997,6480,,,7485,,13965,47370,2
1998,5255,,,8068,,13323,46861,2
1999,6200,,,6988,,13188,52637,2
2000,6572,,,7915,,14487,49905,2
2001,5008,,,7033,,12041,45176,2
2002,4389,,,5384,,9773,43164,2
2003,5035,,,6157,,11192,46098,2
2004,5406,,,5333,,10739,44251,2
2005,5035,,,4208,,9243,40615,2
2006,6238,,,4100,,10338,41975,2
2007,6549,,,5618,,12167,46442,2
2008,6217,,,6229,,12446,49742,2
2009,7565,,,8003,,15568,53872,3
2010,7702,,,7878,,15580,53288,3
2011,6923,,,6024,,12947,57241,3
2012,7683,,,8649,,16332,59157,3
2013,8131,,,8748,,16879,66374,3
2014,7659,,,9474,,17133,69503,3
2015,8090,,,11204,,19294,71175,3
2016,8084,,,10908,,18992,68896,3
2017,7338,,,6402,,13740,64277,3
2018,7758,,,8524,,16282,60732,3
2019,6788,,,7300,,14088,59068,3
2020,6882,,,6718,,13600,62368,3
2021,7817,,,6784,,14601,60566,3
2022,7660,,,7787,,15447,61043,3
2023,7561,,,5815,,13376,66136,3
2024,7837,,,6657,,14494,66470,3
