reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,hunt_code,hunt_name,unit_context,permits,quota,hunters_afield,harvest_total,harvest_male,harvest_female,harvest_young,average_days,percent_success,hunter_satisfaction,metric_count,metric_raw,parse_notes,raw_line,source_sha256,source_path,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11
2024,2025,24_bg_report.pdf,151,Big Game,number harvest afield hunted rate (%),Moose,MB6200,Bear Springs,3,2,,2.0,2,,,,10.0,100.0,,5,2|2|2|10.0|100.0,,3 MB6200 Bear Springs 2 2 2 10.0 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,2,2,2.0,10.0,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,number harvest afield hunted rate (%),Moose,MB6202,Causey Spring,4,3,,3.0,3,,,,2.0,100.0,,5,3|3|3|2.0|100.0,,4 MB6202 Causey Spring 3 3 3 2.0 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,3,3,3.0,2.0,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,number harvest afield hunted rate (%),Moose,MB6240,Chimney Rock,4,2,,2.0,2,,,,3.0,100.0,,5,2|2|2|3.0|100.0,,4 MB6240 Chimney Rock 2 2 2 3.0 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,2,2,2.0,3.0,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,number harvest afield hunted rate (%),Moose,MB6206,Deseret,4,4,,4.0,4,,,,3.8,100.0,,5,4|4|4|3.8|100.0,,4 MB6206 Deseret 4 4 4 3.8 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,4,4,4.0,3.8,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,number harvest afield hunted rate (%),Moose,MB6207,Durst Mountain,4,2,,2.0,2,,,,3.0,100.0,,5,2|2|2|3.0|100.0,,4 MB6207 Durst Mountain 2 2 2 3.0 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,2,2,2.0,3.0,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,number harvest afield hunted rate (%),Moose,MB6208,East Fork Chalk Creek,6,5,,5.0,4,,,,4.0,75.0,,5,4|5|5|4.0|75.0,,6 MB6208 East Fork Chalk Creek 4 5 5 4.0 75.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,4,5,5.0,4.0,75.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,number harvest afield hunted rate (%),Moose,MB6209,Ensign Ranches,6,2,,2.0,2,,,,2.5,100.0,,5,2|2|2|2.5|100.0,,6 MB6209 Ensign Ranches 2 2 2 2.5 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,2,2,2.0,2.5,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,number harvest afield hunted rate (%),Moose,MB6211,Grass Valley/Clark Canyon,6,9,,9.0,9,,,,1.7,100.0,,5,9|9|9|1.7|100.0,,6 MB6211 Grass Valley/Clark Canyon 9 9 9 1.7 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,9,9,9.0,1.7,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,number harvest afield hunted rate (%),Moose,MB6251,Hardscrabble,5,2,,2.0,2,,,,2.5,100.0,,5,2|2|2|2.5|100.0,,5 MB6251 Hardscrabble 2 2 2 2.5 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,2,2,2.0,2.5,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,,Moose,MB6258,Jacob's Creek,5,3,,3.0,3,,,,3.3,100.0,,5,3|3|3|3.3|100.0,,5 MB6258 Jacob's Creek 3 3 3 3.3 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,3,3,3.0,3.3,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,,Moose,MB6262,Junction Valley,1,2,,2.0,2,,,,2.0,100.0,,5,2|2|2|2.0|100.0,,1 MB6262 Junction Valley 2 2 2 2.0 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,2,2,2.0,2.0,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,,Moose,MB6265,Little Pole Canyon,17,1,,1.0,1,,,,1.0,100.0,,5,1|1|1|1.0|100.0,,17 MB6265 Little Pole Canyon 1 1 1 1.0 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,1,1,1.0,1.0,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,,Moose,MB6263,Moon Ranch,17,1,,1.0,1,,,,3.0,100.0,,5,1|1|1|3.0|100.0,,17 MB6263 Moon Ranch 1 1 1 3.0 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,1,1,1.0,3.0,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,,Moose,MB6259,Royal Ivory Outfitters,8A,3,,3.0,2,,,,2.5,50.0,,5,2|3|3|2.5|50.0,,8A MB6259 Royal Ivory Outfitters 2 3 3 2.5 50.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,2,3,3.0,2.5,50.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,,Moose,MB6264,Sand Creek,17,1,,1.0,1,,,,1.0,100.0,,5,1|1|1|1.0|100.0,,17 MB6264 Sand Creek 1 1 1 1.0 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,1,1,1.0,1.0,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,,Moose,MB6217,Sharp Mountain,3,2,,2.0,2,,,,3.5,100.0,,5,2|2|2|3.5|100.0,,3 MB6217 Sharp Mountain 2 2 2 3.5 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,2,2,2.0,3.5,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,,Moose,MB6254,SJ Ranch,2,2,,2.0,2,,,,4.5,100.0,,5,2|2|2|4.5|100.0,,2 MB6254 SJ Ranch 2 2 2 4.5 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,2,2,2.0,4.5,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,,Moose,MB6219,Skull Crack,4,6,,6.0,6,,,,2.8,100.0,,5,6|6|6|2.8|100.0,,4 MB6219 Skull Crack 6 6 6 2.8 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,6,6,6.0,2.8,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,,Moose,MB6220,South Canyon,3,2,,2.0,1,,,,4.5,50.0,,5,1|2|2|4.5|50.0,,3 MB6220 South Canyon 1 2 2 4.5 50.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,1,2,2.0,4.5,50.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,,Moose,MB6222,Strawberry Ridge,2,3,,3.0,3,,,,4.0,100.0,,5,3|3|3|4.0|100.0,,2 MB6222 Strawberry Ridge 3 3 3 4.0 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,3,3,3.0,4.0,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,,Moose,MB6223,Three C,17,2,,2.0,2,,,,5.5,100.0,,5,2|2|2|5.5|100.0,,17 MB6223 Three C 2 2 2 5.5 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,2,2,2.0,5.5,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,,Moose,MB6224,Two Bear,6,2,,1.0,1,,,,3.0,100.0,,5,1|2|1|3.0|100.0,,6 MB6224 Two Bear 1 2 1 3.0 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,1,2,1.0,3.0,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,,Moose,MB6225,Wallsburg,17,1,,1.0,1,,,,4.0,100.0,,5,1|1|1|4.0|100.0,,17 MB6225 Wallsburg 1 1 1 4.0 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,1,1,1.0,4.0,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,,Moose,MB6266,Weber Florence Creek/Stillman Creek,6,9,,9.0,9,,,,3.9,100.0,,5,9|9|9|3.9|100.0,,6 MB6266 Weber Florence Creek/Stillman Creek 9 9 9 3.9 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,9,9,9.0,3.9,100.0,,,,,,
2024,2025,24_bg_report.pdf,151,Big Game,,Moose,MB6256,Woodruff Creek South,4,3,,3.0,3,,,,5.3,100.0,,5,3|3|3|5.3|100.0,,4 MB6256 Woodruff Creek South 3 3 3 5.3 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,3,3,3.0,5.3,100.0,,,,,,
