reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,hunt_code,hunt_name,unit_context,permits,quota,hunters_afield,harvest_total,harvest_male,harvest_female,harvest_young,average_days,percent_success,hunter_satisfaction,metric_count,metric_raw,parse_notes,raw_line,source_sha256,source_path,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11
2024,2025,24_bg_report.pdf,120,Big Game,,Pronghorn,PB5332,Mt Dutton/Paunsaugunt,24/27,8,,8.0,0,,,,9.0,0.0,,5,0|8|8|9.0|0.0,,24/27 PB5332 Mt Dutton/Paunsaugunt 0 8 8 9.0 0.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,0,8,8.0,9.0,0.0,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,,Pronghorn,PB5011,"Nine Mile, Anthro-Myton Bench",11,29,,28.0,25,,,,4.3,89.3,,5,25|29|28|4.3|89.3,,"11 PB5011 Nine Mile, Anthro-Myton Bench 25 29 28 4.3 89.3",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,25,29,28.0,4.3,89.3,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,,Pronghorn,PB5053,"Nine Mile, Range Creek",11,3,,3.0,2,,,,6.0,50.0,,5,2|3|3|6.0|50.0,,"11 PB5053 Nine Mile, Range Creek 2 3 3 6.0 50.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,2,3,3.0,6.0,50.0,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,,Pronghorn,PB5012,"North Slope, Three Corners/West Daggett",8,12,,11.0,8,,,,5.0,70.0,,5,8|12|11|5.0|70.0,,"8 PB5012 North Slope, Three Corners/West Daggett 8 12 11 5.0 70.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,8,12,11.0,5.0,70.0,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,,Pronghorn,PB5054,"Panguitch Lake/Zion, North",28/29,8,,8.0,6,,,,6.4,71.4,,5,6|8|8|6.4|71.4,,"28/29 PB5054 Panguitch Lake/Zion, North 6 8 8 6.4 71.4",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,6,8,8.0,6.4,71.4,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,,Pronghorn,PB5077,Parker Mtn,25C,14,,14.0,6,,,,7.1,46.2,,5,6|14|14|7.1|46.2,,25C PB5077 Parker Mtn 6 14 14 7.1 46.2,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,6,14,14.0,7.1,46.2,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,,Pronghorn,PB5013,Pine Valley,30,7,,7.0,5,,,,6.4,71.4,,5,5|7|7|6.4|71.4,,30 PB5013 Pine Valley 5 7 7 6.4 71.4,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,5,7,7.0,6.4,71.4,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,,Pronghorn,PB5055,"San Rafael, Desert",12,1,,1.0,1,,,,13.0,100.0,,5,1|1|1|13.0|100.0,,"12 PB5055 San Rafael, Desert 1 1 1 13.0 100.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,1,1,1.0,13.0,100.0,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,,Pronghorn,PB5015,"San Rafael, North",12,21,,20.0,13,,,,6.3,65.0,,5,13|21|20|6.3|65.0,,"12 PB5015 San Rafael, North 13 21 20 6.3 65.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,13,21,20.0,6.3,65.0,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,,Pronghorn,PB5018,Southwest Desert,20,31,,31.0,23,,,,5.5,74.1,,5,23|31|31|5.5|74.1,,20 PB5018 Southwest Desert 23 31 31 5.5 74.1,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,23,31,31.0,5.5,74.1,,,,,,
