reported_hunt_year,model_target_year,source_file,source_page,source_family,species,unit_context,permits_or_quota,harvest_male,harvest_female,harvest_unknown,harvest_total,percent_permits_or_quota_filled,percent_female,percent_adult_male,depredation_mortality,raw_line,source_sha256
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,Beaver,34,11,8,0,19,56,42,17,0,Beaver 34 11 8 0 19 56 42 17 0,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,"Book Cliffs, Bitter Creek/South",91,24,1,0,25,27,4,48,0,"Book Cliffs, Bitter Creek/South 91 24 1 0 25 27 4 48 0",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,"Book Cliffs, Little Creek Roadless",24,2,0,0,2,8,0,50,0,"Book Cliffs, Little Creek Roadless 24 2 0 0 2 8 0 50 0",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,Boulder/Kaiparowits,80,11,8,0,19,24,42,18,0,Boulder/Kaiparowits 80 11 8 0 19 24 42 18 0,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,Cache/Ogden,9,2,4,0,6,67,67,33,9,Cache/Ogden 9 2 4 0 6 67 67 33 9,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,23,7,3,0,10,43,30,10,6,Chalk Creek/East Canyon/Morgan-South Rich 23 7 3 0 10 43 30 10 6,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,Diamond Mtn/Vernal/Bonanza,41,6,5,0,11,27,45,0,7,Diamond Mtn/Vernal/Bonanza 41 6 5 0 11 27 45 0 7,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,"Fillmore, Pahvant",3,1,0,0,1,33,0,0,0,"Fillmore, Pahvant 3 1 0 0 1 33 0 0 0",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,Fishlake/Thousand Lakes,20,8,4,0,12,60,33,18,0,Fishlake/Thousand Lakes 20 8 4 0 12 60 33 18 0,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,"Kamas/North Slope, Summit",22,4,3,0,7,32,43,14,1,"Kamas/North Slope, Summit 22 4 3 0 7 32 43 14 1",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,La Sal,104,35,23,0,58,56,40,18,0,La Sal 104 35 23 0 58 56 40 18 0,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,"Manti, North",69,17,9,0,26,38,35,8,6,"Manti, North 69 17 9 0 26 38 35 8 6",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,"Manti, South/San Rafael, North",70,24,12,0,36,51,38,12,6,"Manti, South/San Rafael, North 70 24 12 0 36 51 38 12 6",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,Monroe,2,1,0,0,1,50,0,0,0,Monroe 2 1 0 0 1 50 0 0 0,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,Mt Dutton,10,3,0,0,3,30,0,50,0,Mt Dutton 10 3 0 0 3 30 0 50 0,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,Nebo,32,10,10,0,20,63,50,0,2,Nebo 32 10 10 0 20 63 50 0 2,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,Nine Mile,90,16,7,0,23,26,30,43,3,Nine Mile 90 16 7 0 23 26 30 43 3,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,"North Slope, Three Corners/West Daggett",8,1,2,0,3,38,67,33,3,"North Slope, Three Corners/West Daggett 8 1 2 0 3 38 67 33 3",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,Panguitch Lake/Zion,29,9,1,0,10,34,10,22,2,Panguitch Lake/Zion 29 9 1 0 10 34 10 22 2,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,Paunsaugunt,11,1,0,0,1,9,0,0,0,Paunsaugunt 11 1 0 0 1 9 0 0 0,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,San Juan,104,34,13,0,47,45,28,31,3,San Juan 104 34 13 0 47 45 28 31 3,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,"Wasatch Mtns, Avintaquin/Currant Creek",40,14,7,0,21,53,33,19,2,"Wasatch Mtns, Avintaquin/Currant Creek 40 14 7 0 21 53 33 19 2",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,"Wasatch Mtns, West-Central",100,28,7,0,35,35,20,24,11,"Wasatch Mtns, West-Central 100 28 7 0 35 35 20 24 11",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,3,black_bear_unit_harvest_2024,Black Bear,Yellowstone,22,9,2,0,11,50,18,55,0,Yellowstone 22 9 2 0 11 50 18 55 0,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
