reported_hunt_year,model_target_year,source_file,source_page,source_family,species,pursuit_type,unit_context,sample_n,pursuers_afield,pursuit_days_afield,bears_treed_male,bears_treed_female,bears_treed_cubs,bears_treed_unknown,bears_treed_total,bears_per_pursuit_day,bears_per_pursuer,raw_line,source_sha256
2024,2025,24_black_bear_report.pdf,11,black_bear_pursuit_by_unit_2024,Black Bear,general_spring,Beaver,9,17,111.0,2.0,14.0,10.0,0.0,26.0,0.2,1.5,Beaver 9 17 111 2 14 10 0 26 0.2 1.5,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,11,black_bear_pursuit_by_unit_2024,Black Bear,general_spring,"Book Cliffs, Bitter Creek/South",21,41,542.0,17.0,107.0,0.0,2.0,126.0,0.2,3.1,"Book Cliffs, Bitter Creek/South 21 41 542 17 107 0 2 126 0.2 3.1",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,11,black_bear_pursuit_by_unit_2024,Black Bear,general_spring,"Book Cliffs, Little Creek Roadless",4,8,60.0,8.0,8.0,0.0,0.0,16.0,0.3,2.0,"Book Cliffs, Little Creek Roadless 4 8 60 8 8 0 0 16 0.3 2.0",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,11,black_bear_pursuit_by_unit_2024,Black Bear,general_spring,Boulder/Kaiparowits,4,8,68.0,8.0,10.0,0.0,0.0,18.0,0.3,2.3,Boulder/Kaiparowits 4 8 68 8 10 0 0 18 0.3 2.3,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,11,black_bear_pursuit_by_unit_2024,Black Bear,general_spring,Cache/Ogden,2,4,43.0,2.0,0.0,2.0,0.0,4.0,0.1,1.0,Cache/Ogden 2 4 43 2 0 2 0 4 0.1 1.0,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,11,black_bear_pursuit_by_unit_2024,Black Bear,general_spring,Chalk Creek/East Canyon/Morgan-South Rich,3,6,95.0,2.0,2.0,0.0,0.0,4.0,0.0,0.7,Chalk Creek/East Canyon/Morgan-South Rich 3 6 95 2 2 0 0 4 0.0 0.7,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,11,black_bear_pursuit_by_unit_2024,Black Bear,general_spring,Diamond Mtn/Vernal/Bonanza,3,6,52.0,0.0,4.0,0.0,0.0,4.0,0.1,0.7,Diamond Mtn/Vernal/Bonanza 3 6 52 0 4 0 0 4 0.1 0.7,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,11,black_bear_pursuit_by_unit_2024,Black Bear,general_spring,"Fillmore, Pahvant",0,0,,,,,,,,,"Fillmore, Pahvant 0 0 — — — — — — — —",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,11,black_bear_pursuit_by_unit_2024,Black Bear,general_spring,Fishlake/Thousand Lakes,10,19,289.0,19.0,41.0,8.0,0.0,68.0,0.2,3.6,Fishlake/Thousand Lakes 10 19 289 19 41 8 0 68 0.2 3.6,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,11,black_bear_pursuit_by_unit_2024,Black Bear,general_spring,"Kamas/North Slope, Summit",19,37,437.0,29.0,39.0,6.0,19.0,93.0,0.2,2.5,"Kamas/North Slope, Summit 19 37 437 29 39 6 19 93 0.2 2.5",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
