reported_hunt_year,model_target_year,source_file,source_page,source_family,species,hunt_name,unit_context,season,hunt_type,quota,harvest_male,harvest_female,harvest_total,percent_quota_filled,raw_line,source_sha256
2024,2025,24_black_bear_report.pdf,7,black_bear_harvest_objective_2024,Black Bear,Beaver,Beaver,fall,harvest_objective,3,0,0,0,0,Beaver Fall 3 0 0 0 0,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,7,black_bear_harvest_objective_2024,Black Bear,"Book Cliffs, Bitter Creek/South","Book Cliffs, Bitter Creek/South",fall,harvest_objective,10,1,1,2,20,"Book Cliffs, Bitter Creek/South Fall 10 1 1 2 20",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,7,black_bear_harvest_objective_2024,Black Bear,Boulder/Kaiparowits,Boulder/Kaiparowits,fall,harvest_objective,4,0,0,0,0,Boulder/Kaiparowits Fall 4 0 0 0 0,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,7,black_bear_harvest_objective_2024,Black Bear,Cache/Ogden,Cache/Ogden,fall,harvest_objective,3,1,2,3,100,Cache/Ogden Fall 3 1 2 3 100,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,7,black_bear_harvest_objective_2024,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,Chalk Creek/East Canyon/Morgan-South Rich,fall,harvest_objective,11,6,1,7,64,Chalk Creek/East Canyon/Morgan-South Rich Fall 11 6 1 7 64,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,7,black_bear_harvest_objective_2024,Black Bear,Diamond Mtn/Vernal/Bonanza,Diamond Mtn/Vernal/Bonanza,fall,harvest_objective,3,1,1,2,67,Diamond Mtn/Vernal/Bonanza Fall 3 1 1 2 67,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,7,black_bear_harvest_objective_2024,Black Bear,"Kamas/North Slope, Summit","Kamas/North Slope, Summit",fall,harvest_objective,2,0,0,0,0,"Kamas/North Slope, Summit Fall 2 0 0 0 0",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,7,black_bear_harvest_objective_2024,Black Bear,La Sal,La Sal,fall,harvest_objective,12,8,5,13,108,La Sal Fall 12 8 5 13 108,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,7,black_bear_harvest_objective_2024,Black Bear,"Manti, North","Manti, North",fall,harvest_objective,12,1,0,1,8,"Manti, North Fall 12 1 0 1 8",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,7,black_bear_harvest_objective_2024,Black Bear,"Manti, South/San Rafael, North","Manti, South/San Rafael, North",fall,harvest_objective,12,0,1,0,8,"Manti, South/San Rafael, North Fall 12 0 1 0 8",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,7,black_bear_harvest_objective_2024,Black Bear,Nebo,Nebo,fall,harvest_objective,3,0,3,3,100,Nebo Fall 3 0 3 3 100,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,7,black_bear_harvest_objective_2024,Black Bear,Nine Mile,Nine Mile,spring,harvest_objective,22,3,4,7,32,Nine Mile Spring 22 3 4 7 32,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,7,black_bear_harvest_objective_2024,Black Bear,Nine Mile,Nine Mile,fall,harvest_objective,10,1,2,3,30,Nine Mile Fall 10 1 2 3 30,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,7,black_bear_harvest_objective_2024,Black Bear,"North Slope, Three Corners/West Daggett","North Slope, Three Corners/West Daggett",spring,harvest_objective,3,1,1,2,67,"North Slope, Three Corners/West Daggett Spring 3 1 1 2 67",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
