snapshot_utc,source_url,endpoint_species,endpoint_gender,hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,live_res,live_nr,live_total
2026-05-26T21:55:39+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,Bison,Hunters Choice,BI1000,Bison - Statewide Permit,Bison,Hunters Choice,Any Legal Weapon,Statewide,"Aug 1, 2026 - Jan 31, 2027",0,0,0
2026-05-26T21:55:39+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,Bison,Hunters Choice,BI6500,Antelope Island,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Dec 07 2026 - Dec 09 2026,2,0,2
2026-05-26T21:55:39+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,Bison,Hunters Choice,BI6503,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Oct 28 2026 - Nov 8 2026,4,2,6
2026-05-26T21:55:39+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,Bison,Hunters Choice,BI6504,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Nov 11 2026 - Nov 22 2026,5,2,7
2026-05-26T21:55:39+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,Bison,Hunters Choice,BI6509,Henry Mtns,Bison,Hunters Choice,Archery,Once-in-a-lifetime,"Jan 18 - 31, 2027",5,0,5
2026-05-26T21:55:39+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,Bison,Hunters Choice,BI6516,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Nov 25 2026 - Dec 6 2026,6,0,6
2026-05-26T21:55:39+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,Bison,Hunters Choice,BI6527,Nine Mile,Bison,Hunters Choice,Any Legal Weapon,General Season,"Aug 1, 2025 - Jan 31, 2026",0,0,0
2026-05-26T21:55:39+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,Bison,Hunters Choice,BI6528,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Archery,Once-in-a-lifetime,Aug 15 2026 - Sept 11 2026,6,0,6
2026-05-26T21:55:39+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,Bison,Hunters Choice,BI6531,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Sept 21 2026 - Oct 02 2026,10,0,10
2026-05-26T21:55:39+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,Bison,Hunters Choice,BI6532,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Archery,Once-in-a-lifetime,Aug 15 2026 - Sept 11 2026,6,0,6
