snapshot_utc,source_url,hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,quota_res,quota_nres,quota_total
2026-05-26T18:42:45+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,EA1010,"Cache, Rich",Elk,Antlerless,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,18,2,20
2026-05-26T18:42:45+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,EA1011,"Cache, Richards Hollow",Elk,Antlerless,Any Legal Weapon,General Season,Nov 15 2025 - Dec 31 2025,9,1,10
2026-05-26T18:42:45+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,EA1012,"Cache, Richmond Hyde Park",Elk,Antlerless,Any Legal Weapon,General Season,Aug 01 2025 - Dec 01 2025,4,1,5
2026-05-26T18:42:45+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,EA1013,"Manti, Central",Elk,Antlerless,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,63,7,70
2026-05-26T18:42:45+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,EA1015,"Manti, Ferron Canyon",Elk,Antlerless,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,63,7,70
2026-05-26T18:42:45+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,EA1017,"Manti, Gordon Creek-Price Canyon",Elk,Antlerless,Any Legal Weapon,General Season,Nov 27 2025 - Jan 31 2026,90,10,100
2026-05-26T18:42:45+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,EA1018,"Manti, Horn Mtn",Elk,Antlerless,Any Legal Weapon,General Season,Nov 19 2025 - Dec 31 2025,54,6,60
2026-05-26T18:42:45+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,EA1020,"Manti, Mohrland-Stump Flat",Elk,Antlerless,Any Legal Weapon,General Season,Nov 27 2025 - Jan 31 2026,108,12,120
2026-05-26T18:42:45+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,EA1021,Nebo,Elk,Antlerless,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,207,23,230
2026-05-26T18:42:45+00:00,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless,EA1022,"Manti, North",Elk,Antlerless,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,270,30,300
