reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,unit,hunt_code,hunt_name,billy_harvest,nanny_harvest,harvest_total,permits,hunters_afield,average_days,percent_success,raw_line,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible
2024,2025,"Total mountain goat harvest by hunt, Utah 2024.pdf",1,Mountain Goat Extra,"Total mountain goat harvest by hunt, Utah 2024",Mountain Goat,22,GO6800,Beaver,8,2,10,10,10,3.8,100.0,22 GO6800 Beaver 8 2 10 10 10 3.8 100.0,True,True,True
2024,2025,"Total mountain goat harvest by hunt, Utah 2024.pdf",1,Mountain Goat Extra,"Total mountain goat harvest by hunt, Utah 2024",Mountain Goat,22,GO6801,Beaver,6,3,9,10,10,2.8,88.9,22 GO6801 Beaver 6 3 9 10 10 2.8 88.9,True,True,True
2024,2025,"Total mountain goat harvest by hunt, Utah 2024.pdf",1,Mountain Goat Extra,"Total mountain goat harvest by hunt, Utah 2024",Mountain Goat,22,GO6822,Beaver (archery),1,1,2,2,2,3.0,100.0,22 GO6822 Beaver (archery) 1 1 2 2 2 3.0 100.0,True,True,True
2024,2025,"Total mountain goat harvest by hunt, Utah 2024.pdf",1,Mountain Goat Extra,"Total mountain goat harvest by hunt, Utah 2024",Mountain Goat,8/9,GO6805,High Uintas Central,4,1,5,5,5,4.0,100.0,8/9 GO6805 High Uintas Central 4 1 5 5 5 4.0 100.0,True,True,True
2024,2025,"Total mountain goat harvest by hunt, Utah 2024.pdf",1,Mountain Goat Extra,"Total mountain goat harvest by hunt, Utah 2024",Mountain Goat,8/9,GO6806,High Uintas East,2,0,2,2,2,9.5,100.0,8/9 GO6806 High Uintas East 2 0 2 2 2 9.5 100.0,True,True,True
2024,2025,"Total mountain goat harvest by hunt, Utah 2024.pdf",1,Mountain Goat Extra,"Total mountain goat harvest by hunt, Utah 2024",Mountain Goat,6/7,GO6804,High Uintas Kamas,2,0,2,2,2,8.5,100.0,6/7 GO6804 High Uintas Kamas 2 0 2 2 2 8.5 100.0,True,True,True
2024,2025,"Total mountain goat harvest by hunt, Utah 2024.pdf",1,Mountain Goat Extra,"Total mountain goat harvest by hunt, Utah 2024",Mountain Goat,8/9,GO6807,High Uintas Leidy Peak,1,0,1,1,1,2.0,100.0,8/9 GO6807 High Uintas Leidy Peak 1 0 1 1 1 2.0 100.0,True,True,True
2024,2025,"Total mountain goat harvest by hunt, Utah 2024.pdf",1,Mountain Goat Extra,"Total mountain goat harvest by hunt, Utah 2024",Mountain Goat,8/9,GO6808,High Uintas West,7,2,9,10,9,4.9,100.0,8/9 GO6808 High Uintas West 7 2 9 10 9 4.9 100.0,True,True,True
2024,2025,"Total mountain goat harvest by hunt, Utah 2024.pdf",1,Mountain Goat Extra,"Total mountain goat harvest by hunt, Utah 2024",Mountain Goat,13,GO6817,"La Sal, La Sal Mtns",8,2,10,11,11,5.2,90.9,"13 GO6817 La Sal, La Sal Mtns 8 2 10 11 11 5.2 90.9",True,True,True
2024,2025,"Total mountain goat harvest by hunt, Utah 2024.pdf",1,Mountain Goat Extra,"Total mountain goat harvest by hunt, Utah 2024",Mountain Goat,24,GO6814,Mt Dutton,1,0,1,2,2,2.5,50.0,24 GO6814 Mt Dutton 1 0 1 2 2 2.5 50.0,True,True,True
2024,2025,"Total mountain goat harvest by hunt, Utah 2024.pdf",1,Mountain Goat Extra,"Total mountain goat harvest by hunt, Utah 2024",Mountain Goat,16A,GO6803,Nebo,10,2,12,14,14,3.7,84.6,16A GO6803 Nebo 10 2 12 14 14 3.7 84.6,True,True,True
2024,2025,"Total mountain goat harvest by hunt, Utah 2024.pdf",1,Mountain Goat Extra,"Total mountain goat harvest by hunt, Utah 2024",Mountain Goat,16A,GO6821,Nebo (archery),7,2,9,11,11,2.4,80.0,16A GO6821 Nebo (archery) 7 2 9 11 11 2.4 80.0,True,True,True
2024,2025,"Total mountain goat harvest by hunt, Utah 2024.pdf",1,Mountain Goat Extra,"Total mountain goat harvest by hunt, Utah 2024",Mountain Goat,3,GO6810,"Ogden, Willard Peak",0,0,0,1,1,10.0,0.0,"3 GO6810 Ogden, Willard Peak 0 0 0 1 1 10.0 0.0",True,True,True
2024,2025,"Total mountain goat harvest by hunt, Utah 2024.pdf",1,Mountain Goat Extra,"Total mountain goat harvest by hunt, Utah 2024",Mountain Goat,17,GO6818,"Wasatch Mtns, Box Elder Peak",2,1,3,3,3,7.5,100.0,"17 GO6818 Wasatch Mtns, Box Elder Peak 2 1 3 3 3 7.5 100.0",True,True,True
2024,2025,"Total mountain goat harvest by hunt, Utah 2024.pdf",1,Mountain Goat Extra,"Total mountain goat harvest by hunt, Utah 2024",Mountain Goat,17,GO6819,"Wasatch Mtns, Lone Peak",1,0,1,2,2,8.5,50.0,"17 GO6819 Wasatch Mtns, Lone Peak 1 0 1 2 2 8.5 50.0",True,True,True
2024,2025,"Total mountain goat harvest by hunt, Utah 2024.pdf",1,Mountain Goat Extra,"Total mountain goat harvest by hunt, Utah 2024",Mountain Goat,17,GO6813,"Wasatch Mtns, Provo Peak",3,1,4,5,5,6.3,75.0,"17 GO6813 Wasatch Mtns, Provo Peak 3 1 4 5 5 6.3 75.0",True,True,True
2024,2025,"Total mountain goat harvest by hunt, Utah 2024.pdf",1,Mountain Goat Extra,"Total mountain goat harvest by hunt, Utah 2024",Mountain Goat,17,GO6820,"Wasatch Mtns, Timpanogos",8,2,10,11,11,2.3,88.9,"17 GO6820 Wasatch Mtns, Timpanogos 8 2 10 11 11 2.3 88.9",True,True,True
