reported_hunt_year,model_target_year,group_type,group_value,rows,unique_hunt_codes,total_permits,total_hunters_afield,total_harvest,avg_success_pct
2025,2026,species,Bison,18,18,176.0,170.0,141.0,86.39
2025,2026,species,Deer,418,418,82544.0,72200.0,28094.0,59.49
2025,2026,species,Desert Bighorn Sheep,25,25,99.0,99.0,87.0,87.69
2025,2026,species,Elk,455,455,70843.0,62292.0,15207.0,57.35
2025,2026,species,Moose,44,44,206.0,204.0,190.0,92.81
2025,2026,species,Mountain Goat,18,18,111.0,109.0,98.0,89.68
2025,2026,species,Pronghorn,121,121,2492.0,2359.0,1885.0,77.71
2025,2026,species,Rocky Mountain Bighorn Sheep,21,21,66.0,64.0,62.0,97.46
2025,2026,hunt_type,Antlerless,146,146,10656.0,8950.0,3074.0,40.17
2025,2026,hunt_type,Antlerless Elk Control,1,1,1434.0,1151.0,77.0,6.7
2025,2026,hunt_type,CWMU,224,224,2799.0,2763.0,2300.0,83.39
2025,2026,hunt_type,CWMU Antlerless,78,78,1778.0,1695.0,1068.0,66.31
2025,2026,hunt_type,CWMU Cactus,1,1,5.0,5.0,5.0,100.0
2025,2026,hunt_type,CWMU Management,1,1,5.0,5.0,5.0,100.0
2025,2026,hunt_type,Cactus Buck,1,1,28.0,27.0,10.0,37.0
2025,2026,hunt_type,Conservation,18,18,31.0,28.0,24.0,86.11
2025,2026,hunt_type,General Season,140,140,94587.0,82667.0,27125.0,34.49
2025,2026,hunt_type,General Season Any Bull,4,4,17187.0,14894.0,2392.0,25.02
2025,2026,hunt_type,General Season Landowner,49,49,288.0,275.0,153.0,53.9
2025,2026,hunt_type,General Season Spike Bull,3,3,14885.0,13327.0,2415.0,18.03
2025,2026,hunt_type,General Season Youth Any Bull,1,1,735.0,670.0,283.0,42.2
2025,2026,hunt_type,Limited Entry,247,247,6302.0,6169.0,4391.0,70.49
2025,2026,hunt_type,Limited Entry Landowner,45,45,125.0,122.0,99.0,64.01
2025,2026,hunt_type,Limited Entry on General Season,31,31,390.0,381.0,259.0,67.64
2025,2026,hunt_type,Management Buck,4,4,58.0,57.0,50.0,84.35
2025,2026,hunt_type,OIAL,81,81,543.0,532.0,472.0,89.19
2025,2026,hunt_type,Premium Limited Entry,10,10,210.0,207.0,180.0,92.08
2025,2026,hunt_type,Private Lands Only,27,27,4475.0,3556.0,1366.0,37.3
2025,2026,hunt_type,Sportsman,8,8,16.0,16.0,16.0,100.0
