reported_hunt_year,model_target_year,unit,unit_name,species,metric_name,metric_value,source_file,source_page,source_family,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,raw_line
2015,2016,22,Beaver,Mountain Goat,nanny_harvest,11.0,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 11 3 1 4 2 5 6 5 9 6
2016,2017,22,Beaver,Mountain Goat,nanny_harvest,3.0,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 11 3 1 4 2 5 6 5 9 6
2017,2018,22,Beaver,Mountain Goat,nanny_harvest,1.0,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 11 3 1 4 2 5 6 5 9 6
2018,2019,22,Beaver,Mountain Goat,nanny_harvest,4.0,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 11 3 1 4 2 5 6 5 9 6
2019,2020,22,Beaver,Mountain Goat,nanny_harvest,2.0,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 11 3 1 4 2 5 6 5 9 6
2020,2021,22,Beaver,Mountain Goat,nanny_harvest,5.0,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 11 3 1 4 2 5 6 5 9 6
2021,2022,22,Beaver,Mountain Goat,nanny_harvest,6.0,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 11 3 1 4 2 5 6 5 9 6
2022,2023,22,Beaver,Mountain Goat,nanny_harvest,5.0,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 11 3 1 4 2 5 6 5 9 6
2023,2024,22,Beaver,Mountain Goat,nanny_harvest,9.0,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 11 3 1 4 2 5 6 5 9 6
2024,2025,22,Beaver,Mountain Goat,nanny_harvest,6.0,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,True,True,True,22 Beaver 11 3 1 4 2 5 6 5 9 6
2015,2016,8/9,High Uintas Central,Mountain Goat,nanny_harvest,1.0,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Central 1 4 3 3 4 3 1 6 1 1
2016,2017,8/9,High Uintas Central,Mountain Goat,nanny_harvest,4.0,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Central 1 4 3 3 4 3 1 6 1 1
2017,2018,8/9,High Uintas Central,Mountain Goat,nanny_harvest,3.0,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Central 1 4 3 3 4 3 1 6 1 1
2018,2019,8/9,High Uintas Central,Mountain Goat,nanny_harvest,3.0,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Central 1 4 3 3 4 3 1 6 1 1
2019,2020,8/9,High Uintas Central,Mountain Goat,nanny_harvest,4.0,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Central 1 4 3 3 4 3 1 6 1 1
2020,2021,8/9,High Uintas Central,Mountain Goat,nanny_harvest,3.0,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Central 1 4 3 3 4 3 1 6 1 1
2021,2022,8/9,High Uintas Central,Mountain Goat,nanny_harvest,1.0,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Central 1 4 3 3 4 3 1 6 1 1
