reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,unit_name,survey_n,lambs_per_100_ewes,rams_per_100_ewes,population_estimate,raw_line,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible
2015,2016,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Henry Mtns,,,,,2015 — — — —,True,True,True
2016,2017,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Henry Mtns,92.0,30.0,70.0,153.0,2016 92 30 70 153,True,True,True
2017,2018,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Henry Mtns,,,,,2017 — — — —,True,True,True
2018,2019,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Henry Mtns,,,,,2018 — — — —,True,True,True
2019,2020,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Henry Mtns,90.0,31.0,69.0,150.0,2019 90 31 69 150,True,True,True
2020,2021,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Henry Mtns,,,,,2020 — — — —,True,True,True
2021,2022,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Henry Mtns,,,,,2021 — — — —,True,True,True
2022,2023,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Henry Mtns,52.0,50.0,50.0,87.0,2022 52 50 50 87,True,True,True
2023,2024,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Henry Mtns,,,,,2023 — — — —,True,True,True
2024,2025,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,Henry Mtns,,,,,2024 — — — —,True,True,True
2015,2016,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, East",355.0,35.0,44.0,592.0,2015 355* 35 44 592,True,True,True
2016,2017,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, East",,,,,2016 — — — —,True,True,True
2017,2018,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, East",,,,,2017 — — — —,True,True,True
2018,2019,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, East",484.0,37.0,65.0,807.0,2018 484* 37 65 807,True,True,True
2019,2020,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, East",,,,,2019 — — — —,True,True,True
2020,2021,Desert Sheep.pdf,5,Desert Bighorn Sheep Extra,"Desert bighorn sheep trend count data by management unit, Utah 2015-2024",Desert Bighorn Sheep,"Kaiparowits, East",,,,,2020 — — — —,True,True,True
