hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_row_number
Rocky Mountain Bighorn Sheep - Statewide Permit,RS0001,5135,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS0001,5135,Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Statewide,"Sept 1 - Dec 31, 2026",,,,NO_PUBLISHED_NUMERIC_PERMIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,1
Antelope Island Conservation,RS1000,1,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS1000,1,Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Nov 9 2026 - Nov 16 2026,,,,NO_PUBLISHED_NUMERIC_PERMIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,2
"Book Cliffs, South",RS1001,15,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS1001,15,Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Conservation,"Nov 1 - Dec 31, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,3
"Box Elder, Newfoundland Mtn",RS1003,20,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS1003,20,Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Conservation,"Oct 25 - Dec 31, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,4
"Nine Mile, Gray Canyon",RS1006,821,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS1006,821,Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Conservation,"Nov 1 - Dec 31, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,5
Antelope Island,RS6700,1,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6700,1,Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,"Nov 11, 2026 - Nov 18, 2026",2,0,2,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,6
"Book Cliffs, South",RS6701,15,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6701,15,Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Oct 31 2026 - Nov 30 2026,5,1,6,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,7
"Box Elder, Newfoundland Mtn",RS6703,20,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6703,20,Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Oct 03 2026 - Oct 23 2026,4,0,4,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,8
"Box Elder, Newfoundland Mtn",RS6704,20,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6704,20,Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Oct 24 2026 - Nov 13 2026,3,1,4,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,9
"North Slope, Three Corners",RS6708,140,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6708,140,Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 14 2026 - Nov 30 2026,2,0,2,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,10
"North Slope, Summit/West Daggett",RS6709,143,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6709,143,Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 14 2026 - Nov 30 2026,3,0,3,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,11
"Nine Mile, Gray Canyon",RS6712,821,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6712,821,Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Oct 31 2026 - Nov 30 2026,4,2,6,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,12
"Nine Mile, Jack Creek",RS6713,820,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6713,820,Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Oct 31 2026 - Nov 30 2026,4,0,4,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,13
"Fillmore, Oak Creek",RS6720,668,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6720,668,Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Oct 03 2026 - Oct 23 2026,4,0,4,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,14
"Oquirrh-Stansbury, West",RS6721,75,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6721,75,Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Oct 31 2026 - Nov 30 2026,3,0,3,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,15
"Box Elder, Newfoundland Mtn",RS6722,20,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6722,20,Male Only,Rocky Mountain Bighorn Sheep,Archery,Once-in-a-lifetime,Nov 14 2026 - Dec 06 2026,2,0,2,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,16
"Wasatch Mtns, West",RS6724,620,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6724,620,Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Oct 31 2026 - Nov 30 2026,3,0,3,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,17
Nebo,RS6725,616,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6725,616,Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Oct 31 2026 - Nov 30 2026,2,0,2,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,18
"Fillmore, Oak Creek",RS6726,668,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6726,668,Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Oct 24 2026 - Nov 13 2026,3,1,4,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,19
"Fillmore, Oak Creek",RS6727,668,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6727,668,Male Only,Rocky Mountain Bighorn Sheep,Archery,Once-in-a-lifetime,Nov 14 2026 - Dec 06 2026,2,0,2,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026,20
