hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_row_number
Southeastern Navajo Buck Deer,DB0001,866,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB0001,866,Buck,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 DEER BUCK DRAW.xlsx,2
Southeastern Navajo Buck Deer,DB0002,866,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB0002,866,Buck,Deer,Archery,Tribal,"Aug 16, 2025 - Sept 12, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 DEER BUCK DRAW.xlsx,3
Southeastern Navajo Buck Deer,DB0003,866,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB0003,866,Buck,Deer,Muzzleloader,Tribal,"Sept 24 - Oct 2, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 DEER BUCK DRAW.xlsx,4
Southern Navajo Buck Deer,DB0004,865,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB0004,865,Buck,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 DEER BUCK DRAW.xlsx,5
Southern Navajo Buck Deer,DB0005,865,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB0005,865,Buck,Deer,Archery,Tribal,"Aug 16, 2025 - Sept 12, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 DEER BUCK DRAW.xlsx,6
Southern Navajo Buck Deer,DB0006,865,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB0006,865,Buck,Deer,Muzzleloader,Tribal,"Sept 24 - Oct 2, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 DEER BUCK DRAW.xlsx,7
Buck Deer - Statewide Permit,DB0007,5108,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB0007,5108,Buck,Deer,Any Legal Weapon,Statewide,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",,,1,TOTAL_ONLY,2026 DEER BUCK DRAW.xlsx,8
Antelope Island - Conservation/Expo,DB0009,1,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB0009,1,Buck,Deer,Any Legal Weapon,Premium Limited Entry,"Nov 9, 2026 - Nov 16, 2026",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 DEER BUCK DRAW.xlsx,9
Southern Paiute Buck Deer (early),DB0010,865,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB0010,865,Buck,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 DEER BUCK DRAW.xlsx,10
Southern Paiute Buck Deer,DB0011,865,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB0011,865,Buck,Deer,Archery,Tribal,"Aug 16, 2025 - Sept 12, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 DEER BUCK DRAW.xlsx,11
Southern Paiute Buck Deer,DB0012,865,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB0012,865,Buck,Deer,Muzzleloader,Tribal,"Sept 24 - Oct 2, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 DEER BUCK DRAW.xlsx,12
Southern Paiute Buck Deer (late),DB0013,865,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB0013,865,Buck,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 DEER BUCK DRAW.xlsx,13
