reviewed_family,hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_row_number
BISON_HUNTERS_CHOICE,"Book Cliffs, Bitter Creek",BI6535,667,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6535,667,Hunters Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Oct 03 2026 - Oct 15 2026,8,0,8,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_BISON_BI_2026,12
BISON_HUNTERS_CHOICE,"Book Cliffs, Little Creek/South",BI6537,889,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6537,889,Hunters Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Nov 07 2026 - Jan 31 2027,8,7,15,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_BISON_BI_2026,13
BISON_HUNTERS_CHOICE,"Nine Mile, Private Lands Only",BI6538,615,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6538,615,Hunters Choice,Bison,Any Legal Weapon,General Season,"Aug 1, 2025 - Jan 31, 2026 | Harvest survey due by Feb 15, 2026 Visit: http://wildlife.utah.gov/harvest to submit your survey",,,,NO_PUBLISHED_NUMERIC_PERMIT,USER_PASTED_DWR_HUNT_PLANNER_BISON_BI_2026,14
BLACK_BEAR,Black Bear - Statewide Permit,BR1000,5001,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR1000,5001,Either Sex,Black Bear,Any Legal Weapon,Statewide,,,,1,TOTAL_ONLY,2026 BLACK BEAR DRAW.xlsx,2
BLACK_BEAR,Black Bear Harvest Objective Units,BR1001,5002,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR1001,5002,Either Sex,Black Bear,Any Legal Weapon,Harvest Objective,,,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 BLACK BEAR DRAW.xlsx,3
BLACK_BEAR,Black Bear Pursuit - Resident,BR1007,5003,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR1007,5003,Either Sex,Black Bear,Pursuit Only,Pursuit,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 BLACK BEAR DRAW.xlsx,4
BLACK_BEAR,Book Cliffs,BR1008,7,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR1008,7,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Summer,"July 5 - 16, 2026",26,2,28,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,5
BLACK_BEAR,La Sal,BR1009,684,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR1009,684,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Summer,"July 5 - 16, 2026",14,1,15,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,6
BLACK_BEAR,San Juan,BR1010,710,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR1010,710,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Summer,"July 5 - 16, 2026",14,1,15,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,7
BLACK_BEAR,Book Cliffs,BR1011,7,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR1011,7,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Late Summer,"July 18 - July 31, 2026",26,2,28,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,8
