hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_row_number
Elk - Statewide Permit,EB1000,5119,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EB1000,5119,Bull,Elk,Any Legal Weapon,Statewide,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",,,1,TOTAL_ONLY,2026 ELK BULL ALL HUNTS.xlsx,2
Any Bull Elk Units,EB1001,5120,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EB1001,5120,Bull,Elk,Any Legal Weapon,General Season - Any Bull,Oct 04 2025 - Oct 10 2025,,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 ELK BULL ALL HUNTS.xlsx,3
Any Bull Elk Units,EB1002,5121,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EB1002,5121,Bull,Elk,Muzzleloader,General Season - Any Bull,Oct 29 2025 - Nov 06 2025,,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 ELK BULL ALL HUNTS.xlsx,4
Spike Only Units,EB1003,5122,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EB1003,5122,Bull,Elk,Any Legal Weapon,General Season - Spike Bull,Oct 04 2025 - Oct 16 2025,,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 ELK BULL ALL HUNTS.xlsx,5
Spike Only Units,EB1004,5123,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EB1004,5123,Bull,Elk,Muzzleloader,General Season - Spike Bull,Oct 29 2025 - Nov 06 2025,,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 ELK BULL ALL HUNTS.xlsx,6
Archery Hunters Choice Elk,EB1005,5124,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EB1005,5124,Bull,Elk,Archery,General Season - Archery,"Any bull units: Aug 16 2025 - Sept 17 2025 | Spike only units: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery)",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 ELK BULL ALL HUNTS.xlsx,7
Draw-only Youth Any Bull/Hunters Choice Elk,EB1007,5125,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EB1007,5125,Bull,Elk,Any Legal Weapon,General Season - Any Bull,Sept 12 2026 - Sept 22 2026,,,750,TOTAL_ONLY,2026 ELK BULL ALL HUNTS.xlsx,8
Spike Only Elk Units - Multiseason,EB1009,5126,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EB1009,5126,Bull,Elk,Multiseason,General Season - Spike Bull,"Spike Archery: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery) Any Bull Archery: Aug 16-Sept 17, 2025 | ALW: Oct 4 - 16, 2025 | Muzz: Oct 29-Nov 6, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 ELK BULL ALL HUNTS.xlsx,9
Any Bull Elk Units,EB1010,5127,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EB1010,5127,Bull,Elk,Any Legal Weapon,General Season - Any Bull,Oct 11 2025 - Oct 17 2025,,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 ELK BULL ALL HUNTS.xlsx,10
Youth General Season Bull Elk,EB1011,5128,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EB1011,5128,Bull,Elk,Any Legal Weapon,General Season - Youth,ANY BULL: Arch: 08/16-09/17/2025|ALW: 10/4-10-17/2025|Muzz: 10/29-11/6/2025 SPIKE ONLY: Arch:8/16-09/05/2025|ALW: 10/4-10/16/2025|Muzz: 10/29-11/6/2025 |Uinta Basin Private Land only:08/01-11/15/2025,,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 ELK BULL ALL HUNTS.xlsx,11
