hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_row_number
"La Sal, La Sal Mtns",EA1039,617,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1039,617,Antlerless,Elk,Any Legal Weapon,General Season,Nov 17 2025 - Dec 31 2025,135,15,150,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,22
"Morgan-South Rich, South Rich",EA1044,122,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1044,122,Antlerless,Elk,Any Legal Weapon,General Season,Dec 01 2025 - Jan 31 2026,31,4,35,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,23
"Mt Dutton, Deep Creek",EA1049,438,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1049,438,Antlerless,Elk,Any Legal Weapon,General Season,Nov 22 2025 - Dec 07 2025,67,8,75,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,24
"Nine Mile, West Anthro",EA1054,132,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1054,132,Antlerless,Elk,Any Legal Weapon,General Season,Dec 13 2025 - Dec 30 2025,45,5,50,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,25
"North Slope, Greendale",EA1056,134,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1056,134,Antlerless,Elk,Any Legal Weapon,General Season,Nov 17 2025 - Nov 30 2025,4,1,5,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,26
"North Slope, Henry's Fork-Burnt Fork",EA1058,135,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1058,135,Antlerless,Elk,Any Legal Weapon,General Season,Nov 08 2025 - Jan 31 2026,90,10,100,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,27
"North Slope, West Daggett",EA1060,142,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1060,142,Antlerless,Elk,Muzzleloader,General Season,Oct 29 2025 - Nov 06 2025,18,2,20,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,28
"North Slope, West Daggett",EA1061,142,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1061,142,Antlerless,Elk,Muzzleloader,General Season,Sep 24 2025 - Oct 02 2025,18,2,20,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,29
Ogden,EA1063,609,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1063,609,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,67,8,75,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,30
Ogden,EA1064,609,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1064,609,Antlerless,Elk,Any Legal Weapon,General Season,Nov 08 2025 - Nov 30 2025,67,8,75,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,31
