hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_row_number
"Box Elder, West Bear River",DA1001,28,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DA1001,28,Antlerless,Deer,"Archery, Muzzleloader, Shotgun",General Season,Aug 18 2025 - Aug 30 2025,,,30,TOTAL_ONLY,USER_PASTED_DWR_HUNT_PLANNER_DEER_ANTLERLESS_DA_2026,1
"Box Elder, West Bear River",DA1002,28,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DA1002,28,Antlerless,Deer,"Archery, Muzzleloader, Shotgun",General Season,Nov 24 2025 - Nov 29 2025,,,30,TOTAL_ONLY,USER_PASTED_DWR_HUNT_PLANNER_DEER_ANTLERLESS_DA_2026,2
"Monroe/Plateau, Sevier Valley",DA1003,115,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DA1003,115,Antlerless,Deer,"Archery, Muzzleloader, Shotgun",General Season,Sep 01 2025 - Sep 30 2025,,,15,TOTAL_ONLY,USER_PASTED_DWR_HUNT_PLANNER_DEER_ANTLERLESS_DA_2026,3
"Pine Valley, Enterprise",DA1009,169,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DA1009,169,Antlerless,Deer,Any Legal Weapon,General Season,Aug 01 2025 - Aug 15 2025,,,25,TOTAL_ONLY,USER_PASTED_DWR_HUNT_PLANNER_DEER_ANTLERLESS_DA_2026,4
George Creek CWMU,DA1011,806,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DA1011,806,Antlerless,Deer,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,5,0,5,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_DEER_ANTLERLESS_DA_2026,5
Junction Valley CWMU,DA1012,589,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DA1012,589,Antlerless,Deer,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,15,0,15,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_DEER_ANTLERLESS_DA_2026,6
Mt Carmel CWMU,DA1013,533,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DA1013,533,Antlerless,Deer,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,5,0,5,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_DEER_ANTLERLESS_DA_2026,7
"Pine Valley, New Harmony",DA1018,840,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DA1018,840,Antlerless,Deer,"Archery, Muzzleloader, Shotgun",General Season,Aug 01 2025 - Aug 15 2025,,,20,TOTAL_ONLY,USER_PASTED_DWR_HUNT_PLANNER_DEER_ANTLERLESS_DA_2026,8
"East Canyon, Davis-North Salt Lake",DA1027,77,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DA1027,77,Antlerless,Deer,Any Legal Weapon,General Season,Aug 01 2025 - Sep 15 2025,,,30,TOTAL_ONLY,USER_PASTED_DWR_HUNT_PLANNER_DEER_ANTLERLESS_DA_2026,9
"Nine Mile, Price River Valley",DA1030,11,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DA1030,11,Antlerless,Deer,Archery,General Season,Aug 16 2025 - Sep 12 2025,,,25,TOTAL_ONLY,USER_PASTED_DWR_HUNT_PLANNER_DEER_ANTLERLESS_DA_2026,10
