hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_row_number
Desert Bighorn Sheep - Statewide Permit,DS1000,5110,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS1000,5110,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Statewide,"Sept 1 - Dec 31, 2026",,,1,TOTAL_ONLY,2026 DESERT BIGHORN SHEEP RAM O.I.L.xlsx,2
"Kaiparowits, East",DS1002,98,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS1002,98,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 DESERT BIGHORN SHEEP RAM O.I.L.xlsx,3
"Kaiparowits, Escalante East/West",DS1003,5141,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS1003,5141,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Conservation,"Sept 12 - Nov 10, 2026",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 DESERT BIGHORN SHEEP RAM O.I.L.xlsx,4
"San Rafael, Dirty Devil",DS1004,193,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS1004,193,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Conservation,"Sept 13 - Dec 31, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 DESERT BIGHORN SHEEP RAM O.I.L.xlsx,5
"Kaiparowits, West",DS1006,100,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS1006,100,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 DESERT BIGHORN SHEEP RAM O.I.L.xlsx,6
"San Rafael, South",DS1007,195,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS1007,195,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 DESERT BIGHORN SHEEP RAM O.I.L.xlsx,7
Henry Mtns,DS6600,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS6600,94,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,3,0,3,FULL_SPLIT,2026 DESERT BIGHORN SHEEP RAM O.I.L.xlsx,8
"Kaiparowits, East",DS6601,98,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS6601,98,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,10,3,13,FULL_SPLIT,2026 DESERT BIGHORN SHEEP RAM O.I.L.xlsx,9
"Kaiparowits, West",DS6603,100,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS6603,100,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,3,1,4,FULL_SPLIT,2026 DESERT BIGHORN SHEEP RAM O.I.L.xlsx,10
"La Sal, Potash/South Cisco",DS6604,688,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS6604,688,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,8,0,8,FULL_SPLIT,2026 DESERT BIGHORN SHEEP RAM O.I.L.xlsx,11
