removed_at_utc,effective_year,surface,hunt_code,removal_reason,removed_row_count,hunt_name,species,sex_type,weapon,hunt_class,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,source_status
2026-05-27T04:02:17+00:00,2026,draw_reality_engine_predictive_v2,CG0001,CURRENT_DWR_DATABASE_HAS_SINGLE_STATEWIDE_COUGAR_CODE_CG9999,2,Cougar - Statewide OTC (Harvest Reporting: Northwest Manti),Cougar,,Any Legal Weapon,Public,Statewide OTC,,,,,
2026-05-27T04:02:17+00:00,2026,draw_reality_engine_predictive_v2,CG0002,CURRENT_DWR_DATABASE_HAS_SINGLE_STATEWIDE_COUGAR_CODE_CG9999,2,Cougar - Statewide OTC (Harvest Reporting: Nebo),Cougar,,Any Legal Weapon,Public,Statewide OTC,,,,,
2026-05-27T04:02:17+00:00,2026,draw_reality_engine_predictive_v2,CG0006,CURRENT_DWR_DATABASE_HAS_SINGLE_STATEWIDE_COUGAR_CODE_CG9999,2,Cougar - Statewide OTC (Harvest Reporting: Southwest Manti),Cougar,,Any Legal Weapon,Public,Statewide OTC,,,,,
2026-05-27T04:02:17+00:00,2026,draw_reality_engine_predictive_v2,CG0009,CURRENT_DWR_DATABASE_HAS_SINGLE_STATEWIDE_COUGAR_CODE_CG9999,2,Cougar - Statewide OTC (Harvest Reporting: Morgan-South Rich),Cougar,,Any Legal Weapon,Public,Statewide OTC,,,,,
2026-05-27T04:02:17+00:00,2026,draw_reality_engine_predictive_v2,CG0015,CURRENT_DWR_DATABASE_HAS_SINGLE_STATEWIDE_COUGAR_CODE_CG9999,2,"Cougar - Statewide OTC (Harvest Reporting: Wasatch Mtns, Currant Creek-North)",Cougar,,Any Legal Weapon,Public,Statewide OTC,,,,,
2026-05-27T04:02:17+00:00,2026,draw_reality_engine_predictive_v2,CG0016,CURRENT_DWR_DATABASE_HAS_SINGLE_STATEWIDE_COUGAR_CODE_CG9999,2,"Cougar - Statewide OTC (Harvest Reporting: Wasatch Mtns, West-Strawberry)",Cougar,,Any Legal Weapon,Public,Statewide OTC,,,,,
2026-05-27T04:02:17+00:00,2026,draw_reality_engine_predictive_v2,CG1001,CURRENT_DWR_DATABASE_HAS_SINGLE_STATEWIDE_COUGAR_CODE_CG9999,2,"Cougar - Statewide OTC (Harvest Reporting: Book Cliffs, East)",Cougar,,Any Legal Weapon,Public,Statewide OTC,,,,,
2026-05-27T04:02:17+00:00,2026,draw_reality_engine_predictive_v2,CG1002,CURRENT_DWR_DATABASE_HAS_SINGLE_STATEWIDE_COUGAR_CODE_CG9999,2,"Cougar - Statewide OTC (Harvest Reporting: Book Cliffs, Rattlesnake Canyon/Nine Mile, South)",Cougar,,Any Legal Weapon,Public,Statewide OTC,,,,,
2026-05-27T04:02:17+00:00,2026,draw_reality_engine_predictive_v2,CG1003,CURRENT_DWR_DATABASE_HAS_SINGLE_STATEWIDE_COUGAR_CODE_CG9999,2,"Cougar - Statewide OTC (Harvest Reporting: Box Elder, Pilot Mtn)",Cougar,,Any Legal Weapon,Public,Statewide OTC,,,,,
2026-05-27T04:02:17+00:00,2026,draw_reality_engine_predictive_v2,CG1004,CURRENT_DWR_DATABASE_HAS_SINGLE_STATEWIDE_COUGAR_CODE_CG9999,2,Cougar - Statewide OTC (Harvest Reporting: Cache),Cougar,,Any Legal Weapon,Public,Statewide OTC,,,,,
