historical_2024_code,historical_2025_code,current_2026_code,mapping_status,mapping_confidence,hunt_name_2024,hunt_name_2025,hunt_name_2026,hunt_type_2026,weapon_2026,permits_2024_res,permits_2024_nr,permits_2024_total,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total,source_2024_page,source_2025_page,numeric_comparison_2024_to_2025,numeric_comparison_2025_to_2026,review_note
,,BR1000,CURRENT_ADMIN_OR_NON_DRAW_ROW,HIGH,,,Black Bear - Statewide Permit,Statewide,Any Legal Weapon,,,,,,,,,,,,NO_SOURCE_ON_EITHER_SIDE,NO_SOURCE_ON_EITHER_SIDE,Current 2026 row is present in the permit source but absent from public bonus-draw rows.
,,BR1001,CURRENT_ADMIN_OR_NON_DRAW_ROW,HIGH,,,Black Bear Harvest Objective Units,Harvest Objective,Any Legal Weapon,,,,,,,,,,,,NO_SOURCE_ON_EITHER_SIDE,NO_SOURCE_ON_EITHER_SIDE,Current 2026 row is present in the permit source but absent from public bonus-draw rows.
,,BR1007,CURRENT_ADMIN_OR_NON_DRAW_ROW,HIGH,,,Black Bear Pursuit - Resident,Pursuit,Pursuit Only,,,,,,,,,,,,NO_SOURCE_ON_EITHER_SIDE,NO_SOURCE_ON_EITHER_SIDE,Current 2026 row is present in the permit source but absent from public bonus-draw rows.
BR1008,BR1008,BR1008,EXACT_CODE_CURRENT,HIGH,Book Cliffs - Pursuit,Book Cliffs - Pursuit,Book Cliffs,Restricted Pursuit - Summer,Pursuit Only,26,2,28,26,2,28,26,2,28,3,3,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR1009,BR1009,BR1009,EXACT_CODE_CURRENT,HIGH,La Sal - Pursuit,La Sal - Pursuit,La Sal,Restricted Pursuit - Summer,Pursuit Only,14,1,15,14,1,15,14,1,15,4,4,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR1010,BR1010,BR1010,EXACT_CODE_CURRENT,HIGH,San Juan - Pursuit,San Juan - Pursuit,San Juan,Restricted Pursuit - Summer,Pursuit Only,14,1,15,14,1,15,14,1,15,5,5,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR1011,BR1011,BR1011,EXACT_CODE_CURRENT,HIGH,Book Cliffs - Pursuit,Book Cliffs - Pursuit,Book Cliffs,Restricted Pursuit - Late Summer,Pursuit Only,26,0,26,26,2,28,26,2,28,6,6,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR1012,BR1012,BR1012,EXACT_CODE_CURRENT,HIGH,La Sal - Pursuit,La Sal - Pursuit,La Sal,Restricted Pursuit - Late Summer,Pursuit Only,14,1,15,14,1,15,14,1,15,7,7,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR1013,BR1013,BR1013,EXACT_CODE_CURRENT,HIGH,San Juan - Pursuit,San Juan - Pursuit,San Juan,Restricted Pursuit - Late Summer,Pursuit Only,14,1,15,14,1,15,14,1,15,8,8,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR1015,BR1015,BR1015,EXACT_CODE_CURRENT,HIGH,Book Cliffs - Pursuit,Book Cliffs - Pursuit,Book Cliffs,Restricted Pursuit - Spring,Pursuit Only,0,2,2,0,2,2,0,2,2,9,9,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR1016,BR1016,BR1016,EXACT_CODE_CURRENT,HIGH,San Juan - Pursuit,San Juan - Pursuit,San Juan,Restricted Pursuit - Spring,Pursuit Only,0,2,2,0,2,2,0,2,2,10,10,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR1017,BR1017,BR1017,EXACT_CODE_CURRENT,HIGH,La Sal - Pursuit,La Sal - Pursuit,La Sal,Restricted Pursuit - Spring,Pursuit Only,0,2,2,0,2,2,0,2,2,11,11,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
,,BR1018,CURRENT_ADMIN_OR_NON_DRAW_ROW,HIGH,,,Black Bear Pursuit - Nonresident,Pursuit,Pursuit Only,,,,,,,,,,,,NO_SOURCE_ON_EITHER_SIDE,NO_SOURCE_ON_EITHER_SIDE,Current 2026 row is present in the permit source but absent from public bonus-draw rows.
BR7000,BR7000,BR7000,EXACT_CODE_CURRENT,HIGH,Beaver - Any Legal Weapon,Beaver -Any Legal Weapon,Beaver,Limited Entry - Spring,Any Legal Weapon,9,1,10,9,1,10,9,1,10,12,12,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7001,BR7001,BR7001,EXACT_CODE_CURRENT,HIGH,"Book Cliffs, Bitter Creek/south - Any Legal Weapon","Book Cliffs, Bitter Creek/south - Any Legal Weapon","Book Cliffs, Bitter Creek/South",Limited Entry - Spring,Any Legal Weapon,39,4,43,49,5,54,49,5,54,13,13,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7003,BR7003,BR7003,EXACT_CODE_CURRENT,HIGH,Manti North - Any Legal Weapon,Manti North - Any Legal Weapon,"Manti, North",Limited Entry - Spring,Any Legal Weapon,17,1,18,17,2,19,17,2,19,14,14,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7004,BR7004,BR7004,EXACT_CODE_CURRENT,HIGH,Manti South/san Rafael North - Any Legal Weapon,Manti South/san Rafael North - Any Legal Weapon,"Manti, South/San Rafael, North",Limited Entry - Spring,Any Legal Weapon,8,0,8,18,2,20,18,0,18,15,15,DIFFERS,DIFFERS,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7005,BR7005,BR7005,EXACT_CODE_CURRENT,HIGH,Nebo - Any Legal Weapon,Nebo - Any Legal Weapon,Nebo,Limited Entry - Spring,Any Legal Weapon,8,0,8,7,0,7,7,0,7,16,16,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7007,BR7007,BR7007,EXACT_CODE_CURRENT,HIGH,"Fillmore, Pahvant - Any Legal Weapon","Fillmore, Pahvant - Any Legal Weapon","Fillmore, Pahvant",Limited Entry - Spring,Any Legal Weapon,1,0,1,1,0,1,1,0,1,17,17,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7009,BR7009,BR7009,EXACT_CODE_CURRENT,HIGH,Mt Dutton - Any Legal Weapon,Mt Dutton - Any Legal Weapon,Mt Dutton,Limited Entry - Spring,Any Legal Weapon,3,0,3,4,0,4,4,0,4,19,19,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7010,BR7010,BR7010,EXACT_CODE_CURRENT,HIGH,Panguitch Lake/zion - Any Legal Weapon,Panguitch Lake/zion - Any Legal Weapon,Panguitch Lake/Zion,Limited Entry - Spring,Any Legal Weapon,9,0,9,9,0,9,9,0,9,20,20,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7011,BR7011,BR7011,EXACT_CODE_CURRENT,HIGH,Paunsaugunt - Any Legal Weapon,Paunsaugunt - Any Legal Weapon,Paunsaugunt,Limited Entry - Spring,Any Legal Weapon,4,0,4,4,0,4,4,0,4,21,21,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7012,BR7012,BR7012,EXACT_CODE_CURRENT,HIGH,Boulder/kaiparowits - Any Legal Weapon,Boulder/kaiparowits - Any Legal Weapon,Boulder/Kaiparowits,Limited Entry - Spring,Any Legal Weapon,27,2,29,20,2,22,20,2,22,22,22,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7013,BR7013,BR7013,EXACT_CODE_CURRENT,HIGH,Fishlake/thousand Lakes - Any Legal Weapon,Fishlake/thousand Lakes - Any Legal Weapon,Fishlake/Thousand Lakes,Limited Entry - Spring,Any Legal Weapon,7,0,7,7,0,7,7,0,7,23,23,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7014,BR7014,BR7014,EXACT_CODE_CURRENT,HIGH,San Juan - Any Legal Weapon,San Juan - Any Legal Weapon,San Juan,Limited Entry - Spring,Any Legal Weapon,40,3,43,35,3,38,35,3,38,24,24,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7015,BR7015,BR7015,EXACT_CODE_CURRENT,HIGH,Diamond Mtn/vernal/bonanza - Any Legal Weapon,Diamond Mtn/vernal/bonanza - Any Legal Weapon,Diamond Mtn/Vernal/Bonanza,Limited Entry - Spring,Any Legal Weapon,11,1,12,7,0,7,7,0,7,25,25,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7016,BR7016,BR7016,EXACT_CODE_CURRENT,HIGH,"Wasatch Mtns, West-central - Any Legal Weapon","Wasatch Mtns, West-central - Any Legal Weapon","Wasatch Mtns, West-Central",Limited Entry - Spring,Any Legal Weapon,40,4,44,36,4,40,36,4,40,26,26,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7017,BR7017,BR7017,EXACT_CODE_CURRENT,HIGH,Cache/ogden - Any Legal Weapon,Cache/ogden - Any Legal Weapon,Cache/Ogden,Limited Entry - Spring,Any Legal Weapon,2,0,2,2,0,2,2,0,2,27,27,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7018,BR7018,BR7018,EXACT_CODE_CURRENT,HIGH,"Kamas/north Slope, Summit - Any Legal Weapon","Kamas/north Slope, Summit - Any Legal Weapon","Kamas/North Slope, Summit",Limited Entry - Spring,Any Legal Weapon,5,0,5,5,0,5,5,0,5,28,28,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7020,BR7020,BR7020,EXACT_CODE_CURRENT,HIGH,Monroe - Any Legal Weapon,Monroe - Any Legal Weapon,Monroe,Limited Entry - Spring,Any Legal Weapon,1,0,1,1,0,1,1,0,1,30,29,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
,,BR7021,CURRENT_SPLIT_CHILD_NO_PRIOR_DRAW_ROW,HIGH,,,Dolores Triangle,Limited Entry - Spring,Any Legal Weapon,,,,,,,2,0,2,,,NO_SOURCE_ON_EITHER_SIDE,LEFT_SOURCE_MISSING,Dolores Triangle current row appears as a 2026 split/addition from the old La Sal family; keep as current-only evidence.
BR7008,BR7008,BR7022,HISTORICAL_CODE_RECODED_TO_CURRENT,HIGH,La Sal - Any Legal Weapon,La Sal - Any Legal Weapon,La Sal Mtns,Limited Entry - Spring,Any Legal Weapon,40,3,43,40,3,43,40,3,43,18,18,MATCH,MATCH,Old La Sal spring any-legal-weapon row now appears as La Sal Mtns spring.
BR7100,BR7100,BR7100,EXACT_CODE_CURRENT,HIGH,Beaver - Any Legal Weapon,Beaver -Any Legal Weapon,Beaver,Limited Entry - Summer,Any Legal Weapon,9,1,10,9,1,10,9,1,10,31,30,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7101,BR7101,BR7101,EXACT_CODE_CURRENT,HIGH,"Book Cliffs, Bitter Creek/south - Any Legal Weapon","Book Cliffs, Bitter Creek/south - Any Legal Weapon","Book Cliffs, Bitter Creek/South",Limited Entry - Summer,Any Legal Weapon,9,1,10,14,1,15,14,1,15,32,31,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7102,BR7102,BR7102,EXACT_CODE_CURRENT,HIGH,"Book Cliffs, Little Creek Roadless - Any Legal Weapon","Book Cliffs, Little Creek Roadless - Any Legal Weapon","Book Cliffs, Little Creek Roadless",Limited Entry - Summer,Any Legal Weapon,4,0,4,5,0,5,5,0,5,33,32,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7104,BR7104,BR7104,EXACT_CODE_CURRENT,HIGH,Manti North - Any Legal Weapon,Manti North - Any Legal Weapon,"Manti, North",Limited Entry - Summer,Any Legal Weapon,12,1,13,17,1,18,17,1,18,34,33,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7105,BR7105,BR7105,EXACT_CODE_CURRENT,HIGH,Manti South/san Rafael North - Any Legal Weapon,Manti South/san Rafael North - Any Legal Weapon,"Manti, South/San Rafael, North",Limited Entry - Summer,Any Legal Weapon,16,1,17,18,2,20,18,2,20,35,34,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7106,BR7106,BR7106,EXACT_CODE_CURRENT,HIGH,Nebo - Any Legal Weapon,Nebo - Any Legal Weapon,Nebo,Limited Entry - Summer,Any Legal Weapon,9,0,9,8,0,8,8,0,8,36,35,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7109,BR7109,BR7109,EXACT_CODE_CURRENT,HIGH,Mt Dutton - Any Legal Weapon,Mt Dutton - Any Legal Weapon,Mt Dutton,Limited Entry - Summer,Any Legal Weapon,3,0,3,3,0,3,3,0,3,38,37,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7110,BR7110,BR7110,EXACT_CODE_CURRENT,HIGH,Nine Mile - Any Legal Weapon,Nine Mile - Any Legal Weapon,Nine Mile,Limited Entry - Summer,Any Legal Weapon,15,1,16,18,2,20,18,2,20,39,38,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7111,BR7111,BR7111,EXACT_CODE_CURRENT,HIGH,"North Slope, Three Corners/west Daggett - Any Legal Weapon","North Slope, Three Corners/west Daggett - Any Legal Weapon","North Slope, Three Corners/West Daggett",Limited Entry - Summer,Any Legal Weapon,1,0,1,1,0,1,1,0,1,40,39,MATCH,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
BR7112,BR7112,BR7112,EXACT_CODE_CURRENT,HIGH,Panguitch Lake/zion - Any Legal Weapon,Panguitch Lake/zion - Any Legal Weapon,Panguitch Lake/Zion,Limited Entry - Summer,Any Legal Weapon,4,0,4,5,0,5,5,0,5,41,40,DIFFERS,MATCH,Code exists in 2024/2025 draw evidence and 2026 current permit evidence.
