Unit,hunt_code,hunt_name,Bull harvest,Hunters afield,Mean days hunted,Success rate (%),adobe_page,hunt_type,weapon,hunt_class,table_title
,EB1003,STATEWIDE TOTALS,1017,8867,5,11.5,1,General-season,any legal weapon,spike only,"GENERAL-SEASON ANY LEGAL WEAPON SPIKE-BULL ELK HARVEST BY MANAGEMENT UNIT, UTAH 2024."
1,EB1003,Box Elder,1,22,4.6,4.5,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
10,EB1003,Book Cliffs,87,454,4.8,19.2,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
12,EB1003,San Rafael,0,7,3.2,0,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
13A,EB1003,"La Sal, La Sal Mtns",38,434,4.7,8.8,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
13B,EB1003,"La Sal, Dolores Triangle",0,5,3.5,0,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
14,EB1003,San Juan,22,188,4.7,11.7,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
16A,EB1003,Nebo,74,587,4.1,12.6,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
16B,EB1003,Manti,274,2176,4.6,12.6,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
17,EB1003,Wasatch Mtns,157,1838,4.1,8.5,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
19,EB1003,West Desert,8,38,2.6,21.1,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
2,EB1003,Cache,20,553,4.8,3.6,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
20,EB1003,Southwest Desert,39,449,4.7,8.7,1,General-season,any legal weapon,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024."
