Unit,hunt_code,hunt_name,species,sex_type,Bull harvest,Hunters afield,Mean days hunted,Success rate (%),adobe_page,hunt_type,season,hunt_class,table_title,hunt_codes_2026_elk,hunt_code_count_2026,matched_hunt_names_2026,match_basis,mapping_status
,EB1003,STATEWIDE TOTALS,Elk,Bull,1017,8867,5,11.5,1,General-season,,spike only,"GENERAL-SEASON ANY LEGAL WEAPON SPIKE-BULL ELK HARVEST BY MANAGEMENT UNIT, UTAH 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
1,EB1003,Box Elder,Elk,Bull,1,22,4.6,4.5,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
10,EB1003,Book Cliffs,Elk,Bull,87,454,4.8,19.2,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
12,EB1003,San Rafael,Elk,Bull,0,7,3.2,0,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
13A,EB1003,"La Sal, La Sal Mtns",Elk,Bull,38,434,4.7,8.8,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
13B,EB1003,"La Sal, Dolores Triangle",Elk,Bull,0,5,3.5,0,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
14,EB1003,San Juan,Elk,Bull,22,188,4.7,11.7,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
16A,EB1003,Nebo,Elk,Bull,74,587,4.1,12.6,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
16B,EB1003,Manti,Elk,Bull,274,2176,4.6,12.6,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
17,EB1003,Wasatch Mtns,Elk,Bull,157,1838,4.1,8.5,1,General-season,,spike only,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",,,,2024_table_title_any_legal_spike,mapped_to_2024_codes
