data_year,record_type,dataset_family,hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,permits_reported,bull_harvest,cow_harvest,calf_harvest,antlerless_harvest,total_harvest,hunters_afield,mean_days_hunted,success_rate_percent,source_file,source_page,source_row,table_title
2024,harvest_results,elk_antlerless_general_season_2024_extract,EA1222,"Beaver, East",Elk,Antlerless,Any Legal Weapon,General Season,,29,,12,0,,12,26,3.9,45.8,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,1,2,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024."
2024,harvest_results,elk_antlerless_general_season_2024_extract,EA1223,"Beaver, East",Elk,Antlerless,Any Legal Weapon,General Season,,29,,15,0,,15,24,4.1,60.9,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,1,3,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024."
2024,harvest_results,elk_antlerless_general_season_2024_extract,EA1224,"Book Cliffs, Bitter Creek/South",Elk,Antlerless,Any Legal Weapon,General Season,,124,,56,3,,59,121,4.3,48.7,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,1,4,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024."
2024,harvest_results,elk_antlerless_general_season_2024_extract,EA1075,Boulder East,Elk,Antlerless,Any Legal Weapon,General Season,,15,,7,2,,9,12,3.3,75,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,1,5,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024."
2024,harvest_results,elk_antlerless_general_season_2024_extract,EA1076,Boulder West,Elk,Antlerless,Any Legal Weapon,General Season,,20,,9,1,,10,17,3.6,60,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,1,6,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024."
2024,harvest_results,elk_antlerless_general_season_2024_extract,EA1077,Boulder-Circle Cliffs,Elk,Antlerless,Any Legal Weapon,General Season,,20,,14,0,,14,19,4.6,76.5,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,1,7,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024."
2024,harvest_results,elk_antlerless_general_season_2024_extract,EA1266,"Box Elder, Hansel Mtn",Elk,Antlerless,Any Legal Weapon,General Season,,20,,3,0,,3,18,7.3,18.8,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,1,8,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024."
2024,harvest_results,elk_antlerless_general_season_2024_extract,EA1203,"Box Elder, Pilot Mtn",Elk,Antlerless,Any Legal Weapon,General Season,,5,,3,0,,3,5,4.5,50,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,1,9,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024."
2024,harvest_results,elk_antlerless_general_season_2024_extract,EA1204,"Box Elder, Pilot Mtn",Elk,Antlerless,Any Legal Weapon,General Season,,5,,0,0,,0,5,3.2,0,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,1,10,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024."
2024,harvest_results,elk_antlerless_general_season_2024_extract,EA1267,Cache,Elk,Antlerless,Any Legal Weapon,General Season,,120,,18,1,,19,112,6.1,17.3,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,1,11,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024."
