year,buck_harvest,antlerless_harvest,total_harvest,hunters_afield,hunters_afield_note,source_page,source_line
1925,1400,,1400,5650,,1,1925 1400 — 1400 5650
1926,2000,,2000,7000,,1,1926 2000 — 2000 7000
1927,3200,,3200,9100,,1,1927 3200 — 3200 9100
1928,4400,,4400,11300,,1,1928 4400 — 4400 11300
1929,5000,,5000,12800,,1,1929 5000 — 5000 12800
1930,6400,,6400,15600,,1,1930 6400 — 6400 15600
1931,7800,,7800,19500,,1,1931 7800 — 7800 19500
1932,7113,,7113,16600,,1,1932 7113 — 7113 16600
1933,8019,,8019,17700,,1,1933 8019 — 8019 17700
1934,11271,825,12096,22413,,1,1934 11271 825 12096 22413
1935,9640,2008,11648,25598,,1,1935 9640 2008 11648 25598
1936,13800,,13800,29500,,1,1936 13800 — 13800 29500
1937,21000,,21000,38900,,1,1937 21000 — 21000 38900
1938,25572,2428,28000,54500,,1,1938 25572 2428 28000 54500
1939,28552,9448,38000,70612,,1,1939 28552 9448 38000 70612
1940,32300,11700,44000,74437,,1,1940 32300 11700 44000 74437
1941,34460,15540,50000,81461,,1,1941 34460 15540 50000 81461
1942,36784,26825,63609,98884,,1,1942 36784 26825 63609 98884
1943,40140,15568,55708,96428,,1,1943 40140 15568 55708 96428
1944,40743,11034,51777,81067,,1,1944 40743 11034 51777 81067
1945,38966,10924,49890,88004,,1,1945 38966 10924 49890 88004
1946,43277,10094,53371,106356,,1,1946 43277 10094 53371 106356
1947,49557,12315,61872,105921,,1,1947 49557 12315 61872 105921
1948,55766,13129,68895,114416,,1,1948 55766 13129 68895 114416
1949,47932,12602,60534,106230,,1,1949 47932 12602 60534 106230
1950,54384,19033,73417,122087,,1,1950 54384 19033 73417 122087
1951,67329,34308,101637,121757,,1,1951 67329 34308 101637 121757
1952,56607,33554,90161,128674,,1,1952 56607 33554 90161 128674
1953,65214,30665,95879,132990,,1,1953 65214 30665 95879 132990
1954,67679,40394,108073,143152,,1,1954 67679 40394 108073 143152
1955,75319,36598,111917,154157,,1,1955 75319 36598 111917 154157
1956,78504,44081,122585,166217,,1,1956 78504 44081 122585 166217
1957,61475,44124,105599,173656,,1,1957 61475 44124 105599 173656
1958,71865,45376,117241,174657,,1,1958 71865 45376 117241 174657
1959,76481,49834,126315,188646,,1,1959 76481 49834 126315 188646
1960,78992,51953,130945,200266,,1,1960 78992 51953 130945 200266
1961,79007,53271,132278,202305,,1,1961 79007 53271 132278 202305
1962,75464,55092,130556,210779,,1,1962 75464 55092 130556 210779
1963,67392,42007,109399,199219,,1,1963 67392 42007 109399 199219
1964,73358,42242,115600,198768,,1,1964 73358 42242 115600 198768
1965,53686,34357,88043,198296,,2,1965 53686 34357 88043 198296
1966,60229,32711,92940,176943,,2,1966 60229 32711 92940 176943
1967,55798,34255,90053,172584,,2,1967 55798 34255 90053 172584
1968,62713,32448,95161,176645,,2,1968 62713 32448 95161 176645
1969,52287,29634,81921,179971,,2,1969 52287 29634 81921 179971
1970,70407,32582,102989,196633,,2,1970 70407 32582 102989 196633
1971,65394,33381,98775,205257,,2,1971 65394 33381 98775 205257
1972,71631,36787,108418,220611,,2,1972 71631 36787 108418 220611
1973,53983,32587,86570,225723,,2,1973 53983 32587 86570 225723
1974,46282,8351,54633,205032,,2,1974 46282 8351 54633 205032
1975,43734,1667,45401,200550,,2,1975 43734 1667 45401 200550
1976,56928,95,57023,187450,,2,1976 56928 95 57023 187450
1977,67664,751,68415,208761,,2,1977 67664 751 68415 208761
1978,65197,3085,68282,216951,,2,1978 65197 3085 68282 216951
1979,60876,5387,66263,222127,,2,1979 60876 5387 66263 222127
1980,65444,9796,75240,222542,,2,1980 65444 9796 75240 222542
1981,80627,10182,90809,225173,,2,1981 80627 10182 90809 225173
1982,75094,10890,85984,237836,,2,1982 75094 10890 85984 237836
1983,82552,13164,95716,245618,,2,1983 82552 13164 95716 245618
1984,63044,4233,67277,199428,,2,1984 63044 4233 67277 199428
1985,59082,5171,64253,217114,,2,1985 59082 5171 64253 217114
1986,60713,6371,67084,202549,,2,1986 60713 6371 67084 202549
1987,66515,7760,74275,210516,,2,1987 66515 7760 74275 210516
1988,68503,22235,90738,248685,,2,1988 68503 22235 90738 248685
1989,57731,20642,78373,235712,,2,1989 57731 20642 78373 235712
1990,58808,16975,75783,231432,,2,1990 58808 16975 75783 231432
1991,53342,13534,66876,222981,,2,1991 53342 13534 66876 222981
1992,56533,13132,69665,228747,,2,1992 56533 13132 69665 228747
1993,26024,4296,30320,146008,,2,1993 26024 4296 30320 146008
1994,29227,699,29926,89980,,2,1994 29227 699 29926 89980
1995,26412,1418,27830,103071,,2,1995 26412 1418 27830 103071
1996,34577,2582,37159,109394,,2,1996 34577 2582 37159 109394
1997,29800,3246,33046,112391,,2,1997 29800 3246 33046 112391
1998,32213,2875,35088,112389,,2,1998 32213 2875 35088 112389
1999,31463,2970,34433,99851,,2,1999 31463 2970 34433 99851
2000,33031,4520,37551,103336,,2,2000 33031 4520 37551 103336
2001,27512,4151,31663,96524,,2,2001 27512 4151 31663 96524
2002,24363,3145,27508,102718,footnote_star,2,2002 24363 3145 27508 102718*
2003,22525,2524,25049,90770,,2,2003 22525 2524 25049 90770
2004,27929,2239,30168,86505,,3,2004 27929 2239 30168 86505
2005,21520,1951,23471,85931,,3,2005 21520 1951 23471 85931
2006,30548,1856,32404,88452,,3,2006 30548 1856 32404 88452
2007,30211,2097,32308,82747,,3,2007 30211 2097 32308 82747
2008,22857,2145,25002,91750,,3,2008 22857 2145 25002 91750
2009,25415,2596,28011,86572,,3,2009 25415 2596 28011 86572
2010,21794,2845,24639,87725,,3,2010 21794 2845 24639 87725
2011,21291,1833,23124,80425,,3,2011 21291 1833 23124 80425
2012,27700,1711,29411,79066,,3,2012 27700 1711 29411 79066
2013,27538,1732,29270,83180,,3,2013 27538 1732 29270 83180
2014,28371,2418,30789,83007,,3,2014 28371 2418 30789 83007
2015,31969,2887,34856,86405,,3,2015 31969 2887 34856 86405
2016,34402,3402,37804,90675,,3,2016 34402 3402 37804 90675
2017,29926,3775,33701,84741,,3,2017 29926 3775 33701 84741
2018,32010,4050,36060,86788,,3,2018 32010 4050 36060 86788
2019,24314,3349,27663,84387,,3,2019 24314 3349 27663 84387
2020,22675,2753,25428,76962,,3,2020 22675 2753 25428 76962
2021,24628,2003,26631,68624,,3,2021 24628 2003 26631 68624
2022,25576,1960,27536,67653,,3,2022 25576 1960 27536 67653
2023,19051,1293,20344,59717,,3,2023 19051 1293 20344 59717
2024,23317,1404,24721,67587,,3,2024 23317 1404 24721 67587
