hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,hunt_name,raw_hunt_name,species,sex_type,weapon,reported_draw_year,model_target_year,source_file,source_sha256,pdf_page_number,source_report_page,resident_eligible_applicants,resident_bonus_permits,resident_regular_permits,resident_total_permits,nonresident_eligible_applicants,nonresident_bonus_permits,nonresident_regular_permits,nonresident_total_permits,total_public_draw_permits,source_classification
MB6219,578,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6219,578,Cwmu Bull Moose - Skull Crack,Cwmu Bull Moose - Skull Crack - Any Legal Weapon,Moose,Bull,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,22,485,421,1,1,2,0,0,0,0,2,MOOSE_OIL_BONUS_DRAW
MB6220,491,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6220,491,Cwmu Bull Moose - South Canyon,Cwmu Bull Moose - South Canyon - Any Legal Weapon,Moose,Bull,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,23,486,44,0,1,1,0,0,0,0,1,MOOSE_OIL_BONUS_DRAW
MB6222,562,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6222,562,Cwmu Bull Moose - Strawberry Ridge,Cwmu Bull Moose - Strawberry Ridge - Any Legal Weapon,Moose,Bull,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,24,487,109,1,1,2,0,0,0,0,2,MOOSE_OIL_BONUS_DRAW
MB6223,553,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6223,553,Cwmu Bull Moose - Three C,Cwmu Bull Moose - Three C - Any Legal Weapon,Moose,Bull,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,25,488,115,0,1,1,0,0,0,0,1,MOOSE_OIL_BONUS_DRAW
MB6224,521,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6224,521,Cwmu Bull Moose - Two Bear,Cwmu Bull Moose - Two Bear - Any Legal Weapon,Moose,Bull,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,26,489,81,0,1,1,0,0,0,0,1,MOOSE_OIL_BONUS_DRAW
MB6225,586,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6225,586,Cwmu Bull Moose - Wallsburg,Cwmu Bull Moose - Wallsburg - Any Legal Weapon,Moose,Bull,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,27,490,57,0,1,1,0,0,0,0,1,MOOSE_OIL_BONUS_DRAW
MB6240,732,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6240,732,Cwmu Bull Moose - Chimney Rock,Cwmu Bull Moose - Chimney Rock - Any Legal Weapon,Moose,Bull,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,28,491,66,0,1,1,0,0,0,0,1,MOOSE_OIL_BONUS_DRAW
MB6251,577,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6251,577,Cwmu Bull Moose - Hardscrabble,Cwmu Bull Moose - Hardscrabble - Any Legal Weapon,Moose,Bull,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,29,492,74,0,1,1,0,0,0,0,1,MOOSE_OIL_BONUS_DRAW
MB6254,576,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6254,576,Cwmu Bull Moose - Sj Ranch,Cwmu Bull Moose - Sj Ranch - Any Legal Weapon,Moose,Bull,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,30,493,63,0,1,1,0,0,0,0,1,MOOSE_OIL_BONUS_DRAW
MB6256,571,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6256,571,Cwmu Bull Moose - Woodruff Creek South,Cwmu Bull Moose - Woodruff Creek South - Any Legal Weapon,Moose,Bull,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,31,494,118,1,1,2,0,0,0,0,2,MOOSE_OIL_BONUS_DRAW
MB6257,493,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6257,493,Cwmu Bull Moose - Ingham Peak,Cwmu Bull Moose - Ingham Peak - Any Legal Weapon,Moose,Bull,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,32,495,64,0,1,1,0,0,0,0,1,MOOSE_OIL_BONUS_DRAW
MB6258,580,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6258,580,Cwmu Bull Moose - Jacob's Creek,Cwmu Bull Moose - Jacob's Creek - Any Legal Weapon,Moose,Bull,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,33,496,30,0,1,1,0,0,0,0,1,MOOSE_OIL_BONUS_DRAW
MB6259,828,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6259,828,Cwmu Bull Moose - Royal Ivory Outfitters,Cwmu Bull Moose - Royal Ivory Outfitters - Any Legal Weapon,Moose,Bull,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,34,497,43,0,1,1,0,0,0,0,1,MOOSE_OIL_BONUS_DRAW
MB6262,589,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6262,589,Cwmu Bull Moose - Junction Valley,Cwmu Bull Moose - Junction Valley - Any Legal Weapon,Moose,Bull,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,35,498,60,0,1,1,0,0,0,0,1,MOOSE_OIL_BONUS_DRAW
MB6266,524,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,MB6266,524,Cwmu Bull Moose - Weber Florence Creek/stillman Creek,Cwmu Bull Moose - Weber Florence Creek/stillman Creek - Any Legal Weapon,Moose,Bull,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,36,499,188,2,1,3,0,0,0,0,3,MOOSE_OIL_BONUS_DRAW
BI6500,1,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6500,1,Antelope Island,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,Bison,Hunters Choice,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,37,1,3249,1,1,2,0,0,0,0,2,BISON_OIL_BONUS_DRAW
BI6503,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6503,94,Henry Mtns,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,Bison,Hunters Choice,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,38,2,4964,2,2,4,3798,1,1,2,6,BISON_OIL_BONUS_DRAW
BI6504,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6504,94,Henry Mtns,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,Bison,Hunters Choice,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,39,3,1761,3,2,5,1720,1,1,2,7,BISON_OIL_BONUS_DRAW
BI6505,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6505,94,Bison (cow Only) - Henry Mtns,Bison (cow Only) - Henry Mtns - Any Legal Weapon,Bison,Hunters Choice,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,40,4,343,13,12,25,417,2,1,3,28,BISON_OIL_BONUS_DRAW
BI6506,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6506,94,Bison (cow Only) - Henry Mtns,Bison (cow Only) - Henry Mtns - Any Legal Weapon,Bison,Hunters Choice,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,41,5,384,15,15,30,0,0,0,0,30,BISON_OIL_BONUS_DRAW
BI6509,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6509,94,Bison Archery (hunter’s Choice) - Henry Mtns,Bison Archery (hunter’s Choice) - Henry Mtns - Archery,Bison,Hunters Choice,Archery,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,42,6,369,2,2,4,0,0,0,0,4,BISON_OIL_BONUS_DRAW
BI6516,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6516,94,Henry Mtns,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,Bison,Hunters Choice,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,0bbc66fe743968bdb896a905ebb6dcc32cc685522fc9b2f70cf5f76332926fbe,43,7,1101,3,2,5,0,0,0,0,5,BISON_OIL_BONUS_DRAW
