hunt_code,candidate_hunt_code,boundary_id,candidate_boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,database_hunt_code_status,source_datasets,source_files,record_kinds,source_record_count,reported_draw_year,model_target_year,hunt_name,species,sex_type,hunt_type,weapon,hunt_class,season,resident_point_rows,nonresident_point_rows,resident_eligible_applicants_sum,nonresident_eligible_applicants_sum,resident_total_permits_sum,nonresident_total_permits_sum,total_public_permits_sum,total_drawn_sum,min_points,max_points,first_page,last_page,candidate_promotion_status
BI1000,BI1000,5000,5000,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,SPORTSMAN_PERMIT_NO_DRAW_ODDS,POINT_ROW,2,2026,2027,Bison - Statewide Permit,Bison,Hunters Choice,Statewide,Any Legal Weapon,Public,"Aug 1, 2026 - Jan 31, 2027",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
BI6527,BI6527,615,615,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Nine Mile,Bison,Hunters Choice,General Season,Any Legal Weapon,Public,"Aug 1, 2025 - Jan 31, 2026",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
BI6537,BI6537,889,889,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Nov 07 2026 - Jan 31 2027,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
BI6538,BI6538,615,615,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,"Nine Mile, Private Lands Only",Bison,Hunters Choice,General Season,Any Legal Weapon,Public,"Aug 1, 2025 - Jan 31, 2026",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
BI6539,BI6539,94,94,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Henry Mtns,Bison,Cow Only,Once-in-a-lifetime,Any Legal Weapon,Public,"Jan 6 - 17, 2027",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
BR1000,BR1000,5001,5001,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,SPORTSMAN_PERMIT_NO_DRAW_ODDS,POINT_ROW,2,2026,2027,Black Bear - Statewide Permit,Black Bear,Either Sex,Statewide,Any Legal Weapon,Public,,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
BR1001,BR1001,5002,5002,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Black Bear Harvest Objective Units,Black Bear,Either Sex,Harvest Objective,Any Legal Weapon,Public,,1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
BR1007,BR1007,5003,5003,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Black Bear Pursuit - Resident,Black Bear,Either Sex,Pursuit,Pursuit Only,Public,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
BR1018,BR1018,5013,5013,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Black Bear Pursuit - Nonresident,Black Bear,Either Sex,Pursuit,Pursuit Only,Public,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
BR7021,BR7021,108,108,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2026,DATABASE.csv,POINT_ROW,2,2026,2027,Dolores Triangle,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",1,1,0,0,0,0,0,0,0,0,,,CANDIDATE_REVIEW_ONLY
