hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,hunt_name,raw_hunt_name,species,sex_type,weapon,reported_draw_year,model_target_year,source_file,source_sha256,pdf_page_number,source_report_page,resident_eligible_applicants,resident_bonus_permits,resident_regular_permits,resident_total_permits,nonresident_eligible_applicants,nonresident_bonus_permits,nonresident_regular_permits,nonresident_total_permits,total_public_draw_permits,source_classification
DB1000,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1000,94,Henry Mtns,Premium Le Archery Buck Deer - Henry Mtns - Archery,Deer,Buck,Archery,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 LE Deer Draw Results.pdf,0f25dd31d99bfc4f38d14de504ea1e2ce7e71ae2a6cf3a68d31e9fd760d1dd5d,2,17,508,4,4,8,692,0,1,1,9,LIMITED_ENTRY_DEER_BONUS_DRAW
DB1001,163,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1001,163,Paunsaugunt,Premium Le Archery Buck Deer - Paunsaugunt - Archery,Deer,Buck,Archery,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 LE Deer Draw Results.pdf,0f25dd31d99bfc4f38d14de504ea1e2ce7e71ae2a6cf3a68d31e9fd760d1dd5d,3,18,760,13,12,25,910,2,1,3,28,LIMITED_ENTRY_DEER_BONUS_DRAW
DB1002,1,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1002,1,Antelope Island,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,Deer,Buck,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 LE Deer Draw Results.pdf,0f25dd31d99bfc4f38d14de504ea1e2ce7e71ae2a6cf3a68d31e9fd760d1dd5d,4,19,1801,0,1,1,0,0,0,0,1,LIMITED_ENTRY_DEER_BONUS_DRAW
DB1003,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1003,94,Henry Mtns,Premium Le Alw (rifle) Buck Deer - Henry Mtns - Any Legal Weapon,Deer,Buck,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 LE Deer Draw Results.pdf,0f25dd31d99bfc4f38d14de504ea1e2ce7e71ae2a6cf3a68d31e9fd760d1dd5d,5,20,2657,11,10,21,3411,2,1,3,24,LIMITED_ENTRY_DEER_BONUS_DRAW
DB1004,163,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1004,163,Paunsaugunt,Premium Le Alw (rifle) Buck Deer - Paunsaugunt - Any Legal Weapon,Deer,Buck,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 LE Deer Draw Results.pdf,0f25dd31d99bfc4f38d14de504ea1e2ce7e71ae2a6cf3a68d31e9fd760d1dd5d,6,21,3871,37,36,73,3492,4,3,7,80,LIMITED_ENTRY_DEER_BONUS_DRAW
DB1005,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1005,94,Muzzleloader Buck Deer -Henr y Mtns,Premium Le Muzzleloader Buck Deer -Henr y Mtns - Muzzleloader,Deer,Buck,Muzzleloader,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 LE Deer Draw Results.pdf,0f25dd31d99bfc4f38d14de504ea1e2ce7e71ae2a6cf3a68d31e9fd760d1dd5d,7,22,356,4,4,8,411,0,1,1,9,LIMITED_ENTRY_DEER_BONUS_DRAW
DB1006,163,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1006,163,Paunsaugunt,Premium Le Muzzleloader Buck Deer - Paunsaugunt - Muzzleloader,Deer,Buck,Muzzleloader,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 LE Deer Draw Results.pdf,0f25dd31d99bfc4f38d14de504ea1e2ce7e71ae2a6cf3a68d31e9fd760d1dd5d,8,23,517,13,12,25,406,2,1,3,28,LIMITED_ENTRY_DEER_BONUS_DRAW
DB1007,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1007,94,Multi-season Premium Limited-entry Buck Deer - Henry Mtns,Multi-season Premium Limited-entry Buck Deer - Henry Mtns - Any Legal Weapon,Deer,Buck,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 LE Deer Draw Results.pdf,0f25dd31d99bfc4f38d14de504ea1e2ce7e71ae2a6cf3a68d31e9fd760d1dd5d,9,24,488,0,1,1,0,0,0,0,1,LIMITED_ENTRY_DEER_BONUS_DRAW
DB1008,163,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1008,163,Multi-season Premium Limited-entry Buck Deer - Paunsaugunt,Multi-season Premium Limited-entry Buck Deer - Paunsaugunt - Any Legal Weapon,Deer,Buck,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 LE Deer Draw Results.pdf,0f25dd31d99bfc4f38d14de504ea1e2ce7e71ae2a6cf3a68d31e9fd760d1dd5d,10,25,570,2,1,3,374,0,1,1,4,LIMITED_ENTRY_DEER_BONUS_DRAW
DB1009,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1009,94,Henry Mtns,Management Alw (rifle) Buck Deer - Henry Mtns - Any Legal Weapon,Deer,Buck,Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 LE Deer Draw Results.pdf,0f25dd31d99bfc4f38d14de504ea1e2ce7e71ae2a6cf3a68d31e9fd760d1dd5d,11,26,198,5,5,10,102,0,1,1,11,LIMITED_ENTRY_DEER_BONUS_DRAW
