snapshot_utc,hunt_code,boundary_id,mapping_status,species,sex_type,hunt_type,hunt_unit,weapon,season_segment,database_weapon_candidate,database_hunt_name,database_weapon,database_season,permits_2026_total,source_file,source_sheet,source_row,source_text
2026-05-26T21:45:57+00:00,DB1056|DB1017,7|714,AMBIGUOUS_DATABASE_MATCH,Deer,Buck,Limited Entry,"Book Cliffs, North",Any Legal Weapon,,Any Legal Weapon,"Book Cliffs (North & South)|Book Cliffs, North",Any Legal Weapon|Any Legal Weapon,"Oct 17, 2026 - Oct 25, 2026|Oct 17 2026 - Oct 25 2026",4,pipeline/RAW/hunt_unit_database/2026/xlsx/expo permits 2026.xlsx,Sheet1,4,"Buck Deer - Limited Entry - Any Legal Weapon - Book Cliffs, North - Permits: 4"
2026-05-26T21:45:57+00:00,DB1018,15,MATCH_HIGH,Deer,Buck,Limited Entry,"Book Cliffs, South",Any Legal Weapon,,Any Legal Weapon,"Book Cliffs, South",Any Legal Weapon,Oct 17 2026 - Oct 25 2026,3,pipeline/RAW/hunt_unit_database/2026/xlsx/expo permits 2026.xlsx,Sheet1,10,"Buck Deer - Limited Entry - Any Legal Weapon - Book Cliffs, South - Permits: 3"
2026-05-26T21:45:57+00:00,DB1011|DB1075,7|7,AMBIGUOUS_DATABASE_MATCH,Deer,Buck,Limited Entry,Book Cliffs,Archery,,Archery,Book Cliffs|Book Cliffs (North & South),Archery|Archery,Aug 15 2026 - Sept 11 2026|Aug 16 2025 - Sept 12 2025,2,pipeline/RAW/hunt_unit_database/2026/xlsx/expo permits 2026.xlsx,Sheet1,15,Buck Deer - Limited Entry - Archery - Book Cliffs - Permits: 2
2026-05-26T21:45:57+00:00,DB1025|DB1076,7|7,AMBIGUOUS_DATABASE_MATCH,Deer,Buck,Limited Entry,Book Cliffs,Muzzleloader,,Muzzleloader,Book Cliffs|Book Cliffs (North & South),Muzzleloader|Muzzleloader,Sept 23 2026 - Oct 01 2026|Sept 24 2025 - Oct 02 2025,3,pipeline/RAW/hunt_unit_database/2026/xlsx/expo permits 2026.xlsx,Sheet1,19,Buck Deer - Limited Entry - Muzzleloader - Book Cliffs - Permits: 3
2026-05-26T21:45:57+00:00,DB1078|DB1026,29|32,AMBIGUOUS_DATABASE_MATCH,Deer,Buck,Limited Entry,"Cache, Crawford Mtn",Muzzleloader,,Muzzleloader,"Cache|Cache, Crawford Mtn",Muzzleloader|Muzzleloader,Oct 28 2026 - Nov 05 2026|Nov 07 2026 - Nov 22 2026,1,pipeline/RAW/hunt_unit_database/2026/xlsx/expo permits 2026.xlsx,Sheet1,24,"Buck Deer - Limited Entry - Muzzleloader - Cache, Crawford Mtn - Permits: 1"
2026-05-26T21:45:57+00:00,DB1079|DB1563|LO1563,619|619|619,AMBIGUOUS_DATABASE_MATCH,Deer,Buck,Limited Entry,Manti/San Rafael,Muzzleloader,Late,Muzzleloader,Manti/San Rafael|Manti/San Rafael|Manti/San Rafael,Muzzleloader|Muzzleloader|Muzzleloader,Oct 28 2026 - Nov 05 2026|Sept 23 2026 - Oct 01 2026|Sept 24 2025 - Oct 02 2025 - PRIVATE LAND ONLY,1,pipeline/RAW/hunt_unit_database/2026/xlsx/expo permits 2026.xlsx,Sheet1,27,Buck Deer - Limited Entry - Late-season Muzzleloader - Manti/San Rafael - Permits: 1
2026-05-26T21:45:57+00:00,DB1019|LD1019,85|85,AMBIGUOUS_DATABASE_MATCH,Deer,Buck,Limited Entry,"Fillmore, Oak Creek LE",Any Legal Weapon,,Any Legal Weapon,"Fillmore, Oak Creek LE|Fillmore, Oak Creek LE - Private Land Only",Any Legal Weapon|Any Legal Weapon,Oct 17 2026 - Oct 25 2026|Oct 18 2025 - Oct 26 2025 - Private Land Only,2,pipeline/RAW/hunt_unit_database/2026/xlsx/expo permits 2026.xlsx,Sheet1,30,"Buck Deer - Limited Entry - Any Legal Weapon - Fillmore, Oak Creek LE - Permits: 2"
2026-05-26T21:45:57+00:00,DB1003|DB1009,94|94,AMBIGUOUS_DATABASE_MATCH,Deer,Buck,Premium Limited Entry,Henry Mtns,Any Legal Weapon,Premium,Any Legal Weapon,Henry Mtns Premium|Henry Mtns Management,Any Legal Weapon|Any Legal Weapon,Oct 17 2026 - Oct 25 2026|Oct 26 2026 - Oct 30 2026,1,pipeline/RAW/hunt_unit_database/2026/xlsx/expo permits 2026.xlsx,Sheet1,34,Buck Deer - Premium Limited Entry - Premium Any Legal Weapon - Henry Mtns - Permits: 1
2026-05-26T21:45:57+00:00,DB1004|DB1010|DB1058|LD1004,163|163|163|163,AMBIGUOUS_DATABASE_MATCH,Deer,Buck,Premium Limited Entry,Paunsaugunt,Any Legal Weapon,Premium,Any Legal Weapon,Paunsaugunt Premium|Paunsaugunt Management|Paunsaugunt Cactus|Paunsaugunt - Private Land Only,Any Legal Weapon|Any Legal Weapon|Any Legal Weapon|Any Legal Weapon,Oct 17 2026 - Oct 31 2026|Nov 02 2026 - Nov 20 2026|Nov 02 2026 - Nov 20 2026|Oct 18 2025 - Oct 31 2025 - Private Land Only,3,pipeline/RAW/hunt_unit_database/2026/xlsx/expo permits 2026.xlsx,Sheet1,37,Buck Deer - Premium Limited Entry - Premium Any Legal Weapon - Paunsaugunt - Permits: 3
2026-05-26T21:45:57+00:00,DB1001|DB1073|LD1001,163|163|163,AMBIGUOUS_DATABASE_MATCH,Deer,Buck,Premium Limited Entry,Paunsaugunt,Archery,Premium,Archery,Paunsaugunt Premium|Paunsaugunt Management|Paunsaugunt - Private Land Only,Archery|Archery|Archery,Aug 15 2026 - Sept 11 2026|Aug 15 2026 - Sept 11 2026|Aug 16 2025 - Sept 12 2025 - Private Land Only,1,pipeline/RAW/hunt_unit_database/2026/xlsx/expo permits 2026.xlsx,Sheet1,42,Buck Deer - Premium Limited Entry - Premium Archery - Paunsaugunt - Permits: 1
2026-05-26T21:45:57+00:00,DB1006|DB1074|LD1006,163|163|163,AMBIGUOUS_DATABASE_MATCH,Deer,Buck,Premium Limited Entry,Paunsaugunt,Muzzleloader,Premium,Muzzleloader,Paunsaugunt Premium|Paunsaugunt Management|Paunsaugunt - Private Land Only,Muzzleloader|Muzzleloader|Muzzleloader,Sept 23 2026 - Oct 01 2026|Sept 23 2026 - Oct 01 2026|Sept 24 2025 - Oct 02 2025 - Private Land Only,1,pipeline/RAW/hunt_unit_database/2026/xlsx/expo permits 2026.xlsx,Sheet1,45,Buck Deer - Premium Limited Entry - Premium Muzzleloader - Paunsaugunt - Permits: 1
2026-05-26T21:45:57+00:00,DB1004|DB1010|DB1058|LD1004,163|163|163|163,AMBIGUOUS_DATABASE_MATCH,Deer,Buck,Limited Entry,Paunsaugunt,Any Legal Weapon,Management Buck,Any Legal Weapon,Paunsaugunt Premium|Paunsaugunt Management|Paunsaugunt Cactus|Paunsaugunt - Private Land Only,Any Legal Weapon|Any Legal Weapon|Any Legal Weapon|Any Legal Weapon,Oct 17 2026 - Oct 31 2026|Nov 02 2026 - Nov 20 2026|Nov 02 2026 - Nov 20 2026|Oct 18 2025 - Oct 31 2025 - Private Land Only,1,pipeline/RAW/hunt_unit_database/2026/xlsx/expo permits 2026.xlsx,Sheet1,48,"Buck Deer - Limited Entry - Management Buck, Any Legal Weapon - Paunsaugunt - Permits: 1"
2026-05-26T21:45:57+00:00,DB1034|DB1577|LO1577,636|636|636,AMBIGUOUS_DATABASE_MATCH,Deer,Buck,Limited Entry,Pine Valley,Muzzleloader,Late,Muzzleloader,Pine Valley|Pine Valley|Pine Valley,Muzzleloader|Muzzleloader|Muzzleloader,Oct 28 2026 - Nov 05 2026|Sept 23 2026 - Oct 01 2026|Sept 24 2025 - Oct 02 2025 - PRIVATE LAND ONLY,1,pipeline/RAW/hunt_unit_database/2026/xlsx/expo permits 2026.xlsx,Sheet1,51,Buck Deer - Limited Entry - Late-season Muzzleloader - Pine Valley - Permits: 1
2026-05-26T21:45:57+00:00,DB1022,185,MATCH_HIGH,Deer,Buck,Limited Entry,"San Juan, Elk Ridge",Any Legal Weapon,,Any Legal Weapon,"San Juan, Elk Ridge",Any Legal Weapon,Oct 17 2026 - Oct 25 2026,2,pipeline/RAW/hunt_unit_database/2026/xlsx/expo permits 2026.xlsx,Sheet1,54,"Buck Deer - Limited Entry - Any Legal Weapon - San Juan, Elk Ridge - Permits: 2"
2026-05-26T21:45:57+00:00,DB1023|LD1023|LO0009,206|206|206,AMBIGUOUS_DATABASE_MATCH,Deer,Buck,Limited Entry,Diamond Mtn,Any Legal Weapon,,Any Legal Weapon,Diamond Mtn|Diamond Mtn - Private Land Only|Diamond Mtn Landowner Association,Any Legal Weapon|Any Legal Weapon|Any Legal Weapon,Oct 17 2026 - Oct 25 2026|Oct 18 2025 - Oct 26 2025 - Private Land Only|Oct 17 2026 - Oct 25 2026 - Valid only on property enrolled in the Diamond Mtn LOA,3,pipeline/RAW/hunt_unit_database/2026/xlsx/expo permits 2026.xlsx,Sheet1,58,Buck Deer - Limited Entry - Any Legal Weapon - Diamond Mtn - Permits: 3
