hunt_code,hunt_name,raw_hunt_name,reported_draw_year,model_target_year,source_file,source_sha256,page_number,resident_eligible_applicants,resident_bonus_permits,resident_regular_permits,resident_total_permits,nonresident_eligible_applicants,nonresident_bonus_permits,nonresident_regular_permits,nonresident_total_permits,total_public_permits,source_classification
BR1008,Book Cliffs,Book Cliffs - Pursuit,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,3,97,13,13,26,2,1,1,2,28,BEAR_PURSUIT_BONUS_DRAW
BR1009,La Sal,La Sal - Pursuit,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,4,144,7,7,14,6,0,1,1,15,BEAR_PURSUIT_BONUS_DRAW
BR1010,San Juan,San Juan - Pursuit,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,5,58,7,7,14,3,0,1,1,15,BEAR_PURSUIT_BONUS_DRAW
BR1011,Book Cliffs,Book Cliffs - Pursuit,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,6,40,13,13,26,0,0,0,0,26,BEAR_PURSUIT_BONUS_DRAW
BR1012,La Sal,La Sal - Pursuit,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,7,103,7,7,14,4,0,1,1,15,BEAR_PURSUIT_BONUS_DRAW
BR1013,San Juan,San Juan - Pursuit,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,8,49,7,7,14,1,0,1,1,15,BEAR_PURSUIT_BONUS_DRAW
BR1015,Book Cliffs,Book Cliffs - Pursuit,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,9,0,0,0,0,8,1,1,2,2,BEAR_PURSUIT_BONUS_DRAW
BR1016,San Juan,San Juan - Pursuit,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,10,0,0,0,0,5,1,1,2,2,BEAR_PURSUIT_BONUS_DRAW
BR1017,La Sal,La Sal - Pursuit,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,11,0,0,0,0,15,1,1,2,2,BEAR_PURSUIT_BONUS_DRAW
BR7000,Beaver,Beaver - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,12,111,5,4,9,27,0,1,1,10,TRUE_BEAR_BONUS_DRAW
BR7001,"Book Cliffs, Bitter Creek/south","Book Cliffs, Bitter Creek/south - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,13,210,20,19,39,30,2,2,4,43,TRUE_BEAR_BONUS_DRAW
BR7003,Manti North,Manti North - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,14,130,9,8,17,4,0,1,1,18,TRUE_BEAR_BONUS_DRAW
BR7004,Manti South/san Rafael North,Manti South/san Rafael North - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,15,141,4,4,8,0,0,0,0,8,TRUE_BEAR_BONUS_DRAW
BR7005,Nebo,Nebo - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,16,119,4,4,8,0,0,0,0,8,TRUE_BEAR_BONUS_DRAW
BR7007,"Fillmore, Pahvant","Fillmore, Pahvant - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,17,16,0,1,1,0,0,0,0,1,TRUE_BEAR_BONUS_DRAW
BR7008,La Sal,La Sal - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,18,387,20,20,40,59,2,1,3,43,TRUE_BEAR_BONUS_DRAW
BR7009,Mt Dutton,Mt Dutton - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,19,11,2,1,3,0,0,0,0,3,TRUE_BEAR_BONUS_DRAW
BR7010,Panguitch Lake/zion,Panguitch Lake/zion - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,20,65,5,4,9,0,0,0,0,9,TRUE_BEAR_BONUS_DRAW
BR7011,Paunsaugunt,Paunsaugunt - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,21,22,2,2,4,0,0,0,0,4,TRUE_BEAR_BONUS_DRAW
BR7012,Boulder/kaiparowits,Boulder/kaiparowits - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,22,89,14,13,27,18,1,1,2,29,TRUE_BEAR_BONUS_DRAW
BR7013,Fishlake/thousand Lakes,Fishlake/thousand Lakes - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,23,57,4,3,7,0,0,0,0,7,TRUE_BEAR_BONUS_DRAW
BR7014,San Juan,San Juan - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,24,183,20,20,40,27,2,1,3,43,TRUE_BEAR_BONUS_DRAW
BR7015,Diamond Mtn/vernal/bonanza,Diamond Mtn/vernal/bonanza - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,25,61,6,5,11,9,0,1,1,12,TRUE_BEAR_BONUS_DRAW
BR7016,"Wasatch Mtns, West-central","Wasatch Mtns, West-central - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,26,193,20,20,40,8,2,2,4,44,TRUE_BEAR_BONUS_DRAW
BR7017,Cache/ogden,Cache/ogden - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,27,28,1,1,2,0,0,0,0,2,TRUE_BEAR_BONUS_DRAW
BR7018,"Kamas/north Slope, Summit","Kamas/north Slope, Summit - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,28,30,3,2,5,0,0,0,0,5,TRUE_BEAR_BONUS_DRAW
BR7019,Chalk Creek/east Canyon/morgan-south Rich,Chalk Creek/east Canyon/morgan-south Rich - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,29,37,3,2,5,0,0,0,0,5,TRUE_BEAR_BONUS_DRAW
BR7020,Monroe,Monroe - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,30,14,0,1,1,0,0,0,0,1,TRUE_BEAR_BONUS_DRAW
BR7100,Beaver,Beaver - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,31,164,5,4,9,11,0,1,1,10,TRUE_BEAR_BONUS_DRAW
BR7101,"Book Cliffs, Bitter Creek/south","Book Cliffs, Bitter Creek/south - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,32,133,5,4,9,5,0,1,1,10,TRUE_BEAR_BONUS_DRAW
BR7102,"Book Cliffs, Little Creek Roadless","Book Cliffs, Little Creek Roadless - Any Legal Weapon",2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,33,39,2,2,4,0,0,0,0,4,TRUE_BEAR_BONUS_DRAW
BR7104,Manti North,Manti North - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,34,207,6,6,12,7,0,1,1,13,TRUE_BEAR_BONUS_DRAW
BR7105,Manti South/san Rafael North,Manti South/san Rafael North - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,35,279,8,8,16,8,0,1,1,17,TRUE_BEAR_BONUS_DRAW
BR7106,Nebo,Nebo - Any Legal Weapon,2024,2025,pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24 bear draw odds complete.pdf,50a7d2a6b7278e4bd526746655a560567f4bd7f0cc77bab844025956a5f32299,36,400,5,4,9,0,0,0,0,9,TRUE_BEAR_BONUS_DRAW
