hunt_code,candidate_hunt_code,boundary_id,candidate_boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,database_hunt_code_status,source_datasets,source_files,record_kinds,source_record_count,reported_draw_year,model_target_year,hunt_name,species,sex_type,hunt_type,weapon,hunt_class,season,resident_point_rows,nonresident_point_rows,resident_eligible_applicants_sum,nonresident_eligible_applicants_sum,resident_total_permits_sum,nonresident_total_permits_sum,total_public_permits_sum,total_drawn_sum,min_points,max_points,first_page,last_page,candidate_promotion_status
BI1000,BI1000,5000,5000,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,sportsman_2022_23_draw_odds_model_target_2024,2022-23 Sportsman draw odds report.pdf,SUPPLEMENTAL_PERMIT_TOTAL_ROW,1,2023,2024,Sportsman Bison,Bison,Hunters Choice,Sportsman,Any Legal Weapon,Sportsman Permit,,0,0,0,0,0,0,1,0,,,,,CANDIDATE_REVIEW_ONLY
BI6500,BI6500,1,1,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2023,22_bg-odds.pdf,POINT_ROW,28,2023,2024,Antelope Island,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Dec 07 2026 - Dec 09 2026,28,0,2953,0,2,0,2,2,0,27,507,507,CANDIDATE_REVIEW_ONLY
BI6503,BI6503,94,94,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2023,22_bg-odds.pdf,POINT_ROW,53,2023,2024,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Oct 28 2026 - Nov 8 2026,27,26,4952,2111,7,1,8,8,0,26,508,508,CANDIDATE_REVIEW_ONLY
BI6504,BI6504,94,94,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2023,22_bg-odds.pdf,POINT_ROW,49,2023,2024,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Nov 11 2026 - Nov 22 2026,25,24,1608,1023,9,1,10,10,0,25,509,509,CANDIDATE_REVIEW_ONLY
BI6505,BI6505,94,94,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2023,22_bg-odds.pdf,POINT_ROW,37,2023,2024,Henry Mtns,Bison,Cow Only,Once-in-a-lifetime,Any Legal Weapon,Public,Dec 9 2026 - Dec 20 2026,21,16,301,115,8,1,9,9,0,21,510,510,CANDIDATE_REVIEW_ONLY
BI6506,BI6506,94,94,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2023,22_bg-odds.pdf,POINT_ROW,36,2023,2024,Henry Mtns,Bison,Cow Only,Once-in-a-lifetime,Any Legal Weapon,Public,"Dec 23, 2026 - Jan 3, 2027",19,17,258,132,9,1,10,10,0,21,511,511,CANDIDATE_REVIEW_ONLY
BI6509,BI6509,94,94,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2023,22_bg-odds.pdf,POINT_ROW,20,2023,2024,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Archery,Public,"Jan 18 - 31, 2027",20,0,352,0,5,0,5,5,0,21,512,512,CANDIDATE_REVIEW_ONLY
BI6516,BI6516,94,94,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2023,22_bg-odds.pdf,POINT_ROW,50,2023,2024,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Nov 25 2026 - Dec 6 2026,25,25,804,926,8,1,9,9,0,24,513,513,CANDIDATE_REVIEW_ONLY
BI6528,BI6528,889,889,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2023,22_bg-odds.pdf,POINT_ROW,41,2023,2024,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Once-in-a-lifetime,Archery,Public,Aug 15 2026 - Sept 11 2026,20,21,93,444,7,1,8,8,0,23,514,514,CANDIDATE_REVIEW_ONLY
BI6529,BI6529,889,889,REVIEWED_CURRENT_DATABASE_MATCH,REVIEWED_CURRENT_DATABASE_MATCH,PRESENT_IN_CURRENT_DATABASE,draw_results_long_year_2023,22_bg-odds.pdf,POINT_ROW,32,2023,2024,"Book Cliffs, Little Creek/South",Bison,Cow Only,Once-in-a-lifetime,Any Legal Weapon,Public,Oct 17 2026 - Oct 27 2026,14,18,141,90,18,2,20,20,0,19,515,515,CANDIDATE_REVIEW_ONLY
