reported_draw_year,model_target_year,source_family,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,hunt_name,species,sex_type,hunt_type,hunt_class,weapon,resident_total_permits,nonresident_total_permits,total_public_draw_permits,source_file,source_sha256,source_pdf_pages,source_row_count,permit_total_status
2023,2024,ANTLERLESS_BIG_GAME,DA1001,28,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,DA1001,28,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Deer,,Antlerless,Antlerless Deer,"Archery, Mzldr, Shotgn Only",16,1,17,2023 Antlerless big game draw results.pdf,bf701616eee76380516e6a86d56517657740ab61b38c86860044d31712ce139f,2,36,ROLLED_UP_FROM_POINT_ROWS
2023,2024,ANTLERLESS_BIG_GAME,DA1002,28,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,DA1002,28,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Deer,,Antlerless,Antlerless Deer,"Archery, Mzldr, Shotgn Only",16,0,16,2023 Antlerless big game draw results.pdf,bf701616eee76380516e6a86d56517657740ab61b38c86860044d31712ce139f,3,36,ROLLED_UP_FROM_POINT_ROWS
2023,2024,ANTLERLESS_BIG_GAME,DA1003,115,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,DA1003,115,"Antlerless Deer - Monroe/plateau, Sevier Valley - Archery, Mzldr, Shotgn Only",Deer,,Antlerless,Antlerless Deer,"Archery, Mzldr, Shotgn Only",7,0,7,2023 Antlerless big game draw results.pdf,bf701616eee76380516e6a86d56517657740ab61b38c86860044d31712ce139f,4,36,ROLLED_UP_FROM_POINT_ROWS
2023,2024,ANTLERLESS_BIG_GAME,DA1009,169,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,DA1009,169,"Antlerless Deer - Pine Valley, Enterprise - Any Legal Weapon",Deer,,Antlerless,Antlerless Deer,Any Legal Weapon,14,1,15,2023 Antlerless big game draw results.pdf,bf701616eee76380516e6a86d56517657740ab61b38c86860044d31712ce139f,5,36,ROLLED_UP_FROM_POINT_ROWS
2023,2024,ANTLERLESS_BIG_GAME,DA1011,806,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,DA1011,806,Cwmu Antlerless Deer - George Creek - Any Legal Weapon,Deer,,Antlerless,Antlerless Deer,Any Legal Weapon,2,0,2,2023 Antlerless big game draw results.pdf,bf701616eee76380516e6a86d56517657740ab61b38c86860044d31712ce139f,6,36,ROLLED_UP_FROM_POINT_ROWS
2023,2024,ANTLERLESS_BIG_GAME,DA1012,589,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,DA1012,589,Cwmu Two Doe Antlerless Deer - Junction Valley - Any Legal Weapon,Deer,Female Only,Antlerless,Antlerless Deer,Any Legal Weapon,9,0,9,2023 Antlerless big game draw results.pdf,bf701616eee76380516e6a86d56517657740ab61b38c86860044d31712ce139f,7,36,ROLLED_UP_FROM_POINT_ROWS
2023,2024,ANTLERLESS_BIG_GAME,DA1013,533,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,DA1013,533,Cwmu Antlerless Deer - Mt Carmel - Any Legal Weapon,Deer,,Antlerless,Antlerless Deer,Any Legal Weapon,2,0,2,2023 Antlerless big game draw results.pdf,bf701616eee76380516e6a86d56517657740ab61b38c86860044d31712ce139f,8,36,ROLLED_UP_FROM_POINT_ROWS
2023,2024,ANTLERLESS_BIG_GAME,DA1018,840,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,DA1018,840,"Two Doe Antlerless Deer - Pine Valley, New Harmony - Archery, Mzldr, Shotgn Only",Deer,Female Only,Antlerless,Antlerless Deer,"Archery, Mzldr, Shotgn Only",9,1,10,2023 Antlerless big game draw results.pdf,bf701616eee76380516e6a86d56517657740ab61b38c86860044d31712ce139f,9,36,ROLLED_UP_FROM_POINT_ROWS
2023,2024,ANTLERLESS_BIG_GAME,DA1027,77,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,DA1027,77,"Antlerless Deer - East Canyon, Davis-north Salt Lake - Any Legal Weapon",Deer,,Antlerless,Antlerless Deer,Any Legal Weapon,20,1,21,2023 Antlerless big game draw results.pdf,bf701616eee76380516e6a86d56517657740ab61b38c86860044d31712ce139f,10,36,ROLLED_UP_FROM_POINT_ROWS
2023,2024,ANTLERLESS_BIG_GAME,DA1030,11,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,DA1030,11,"Antlerless Deer - Nine Mile, Price River Valley - Archery",Deer,,Antlerless,Antlerless Deer,Archery,9,0,9,2023 Antlerless big game draw results.pdf,bf701616eee76380516e6a86d56517657740ab61b38c86860044d31712ce139f,11,36,ROLLED_UP_FROM_POINT_ROWS
2023,2024,ANTLERLESS_BIG_GAME,DA1031,21,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,DA1031,21,"Antlerless Deer - Oquirrh-stansbury, Settlement Cyn - Archery",Deer,,Antlerless,Antlerless Deer,Archery,13,0,13,2023 Antlerless big game draw results.pdf,bf701616eee76380516e6a86d56517657740ab61b38c86860044d31712ce139f,12,36,ROLLED_UP_FROM_POINT_ROWS
