hunt_code,hunt_name,raw_hunt_name,reported_draw_year,model_target_year,source_file,source_sha256,page_number,resident_eligible_applicants,resident_bonus_permits,resident_regular_permits,resident_total_permits,nonresident_eligible_applicants,nonresident_bonus_permits,nonresident_regular_permits,nonresident_total_permits,total_public_permits,source_classification
BR7311,Fishlake/thousand Lakes,Fishlake/thousand Lakes - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,87,59,2,1,3,0,0,0,0,3,TRUE_BEAR_BONUS_DRAW
BR7312,San Juan,San Juan - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,88,199,6,5,11,14,0,1,1,12,TRUE_BEAR_BONUS_DRAW
BR7313,Diamond Mtn/vernal/bonanza,Diamond Mtn/vernal/bonanza - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,89,79,3,2,5,0,0,0,0,5,TRUE_BEAR_BONUS_DRAW
BR7314,Yellowstone,Yellowstone - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,90,33,2,1,3,0,0,0,0,3,TRUE_BEAR_BONUS_DRAW
BR7315,"Wasatch Mtns, Avintaquin/currant Creek","Wasatch Mtns, Avintaquin/currant Creek - Any Legal Weapon",2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,91,122,2,1,3,0,0,0,0,3,TRUE_BEAR_BONUS_DRAW
BR7316,"Wasatch Mtns, West-central","Wasatch Mtns, West-central - Any Legal Weapon",2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,92,280,7,7,14,8,0,1,1,15,TRUE_BEAR_BONUS_DRAW
BR7317,Nine Mile,Nine Mile - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,93,54,5,4,9,0,0,0,0,9,TRUE_BEAR_BONUS_DRAW
BR7318,Beaver,Beaver -Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,94,127,0,1,1,0,0,0,0,1,TRUE_BEAR_BONUS_DRAW
BR7320,Cache/ogden,Cache/ogden - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,95,91,2,2,4,0,0,0,0,4,TRUE_BEAR_BONUS_DRAW
BR7321,"Kamas/north Slope, Summit","Kamas/north Slope, Summit - Any Legal Weapon",2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,96,63,3,2,5,0,0,0,0,5,TRUE_BEAR_BONUS_DRAW
BR7322,Mt Dutton,Mt Dutton - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,97,18,0,1,1,0,0,0,0,1,TRUE_BEAR_BONUS_DRAW
BR7323,Paunsaugunt,Paunsaugunt - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,98,17,0,1,1,0,0,0,0,1,TRUE_BEAR_BONUS_DRAW
BR7325,Chalk Creek/east Canyon/morgan-south Rich,Chalk Creek/east Canyon/morgan-south Rich -Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,99,32,0,1,1,0,0,0,0,1,TRUE_BEAR_BONUS_DRAW
