reported_hunt_year,model_target_year,hunt_code,boundary_id,hunt_name,species,sex_type,hunt_type,hunt_class,weapon,source_permits,hunters,harvest,percent_success,avg_days,satisfaction,source_file,source_sha256,source_page,source_row,canonical_match_status,validation_status,validation_notes,calculated_percent_success,percent_success_delta
2025,2026,BI6534,667,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Once-in-a-lifetime,,Any Legal Weapon,5,4,4,100.0,2.5,3.8,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,16,DATABASE_MATCHED,VALID,,100.0,0.0
2025,2026,BI6535,667,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Once-in-a-lifetime,,Any Legal Weapon,5,5,5,100.0,4.2,4.4,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,17,DATABASE_MATCHED,VALID,,100.0,0.0
2025,2026,BI6536,667,"Book Cliffs, Bitter Creek",Bison,Cow Only,Once-in-a-lifetime,,Any Legal Weapon,3,3,2,66.7,4.3,4.7,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,18,DATABASE_MATCHED,VALID,,66.667,0.033
2025,2026,BI6537,889,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Once-in-a-lifetime,,Any Legal Weapon,11,11,10,90.9,3.7,4.6,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,19,DATABASE_MATCHED,VALID,,90.909,0.009
2025,2026,DA1001,28,"Box Elder, West Bear River",Deer,Antlerless,General Season,,"Archery, Muzzleloader, Shotgun",29,22,5,22.7,4.4,3.0,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,20,DATABASE_MATCHED,VALID,,22.727,0.027
2025,2026,DA1002,28,"Box Elder, West Bear River",Deer,Antlerless,General Season,,"Archery, Muzzleloader, Shotgun",29,17,3,17.6,2.4,2.8,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,21,DATABASE_MATCHED,VALID,,17.647,0.047
2025,2026,DA1003,115,"Monroe/Plateau, Sevier Valley",Deer,Antlerless,General Season,,"Archery, Muzzleloader, Shotgun",14,7,1,14.3,2.7,3.8,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,22,DATABASE_MATCHED,VALID,,14.286,0.014
2025,2026,DA1009,169,"Pine Valley, Enterprise",Deer,Antlerless,General Season,,Any Legal Weapon,25,23,23,100.0,1.6,4.6,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,23,DATABASE_MATCHED,VALID,,100.0,0.0
2025,2026,DA1011,806,George Creek CWMU,Deer,Antlerless,CWMU,,Any Legal Weapon,5,5,4,80.0,1.4,4.6,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,24,DATABASE_MATCHED,VALID,,80.0,0.0
2025,2026,DA1012,589,Junction Valley CWMU,Deer,Antlerless,CWMU,,Any Legal Weapon,15,14,14,100.0,1.8,5.0,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,25,DATABASE_MATCHED,VALID,,100.0,0.0
2025,2026,DA1013,533,Mt Carmel CWMU,Deer,Antlerless,CWMU,,Any Legal Weapon,5,4,3,75.0,2.0,4.8,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,26,DATABASE_MATCHED,VALID,,75.0,0.0
2025,2026,DA1018,840,"Pine Valley, New Harmony",Deer,Antlerless,General Season,,"Archery, Muzzleloader, Shotgun",18,15,8,53.3,5.1,3.4,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,27,DATABASE_MATCHED,VALID,,53.333,0.033
2025,2026,DA1027,77,"East Canyon, Davis-North Salt Lake",Deer,Antlerless,General Season,,Any Legal Weapon,30,27,19,70.4,2.7,4.2,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,28,DATABASE_MATCHED,VALID,,70.37,0.03
2025,2026,DA1030,11,"Nine Mile, Price River Valley",Deer,Antlerless,General Season,,Archery,24,14,2,14.3,3.8,2.8,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,29,DATABASE_MATCHED,VALID,,14.286,0.014
2025,2026,DA1031,21,"Oquirrh-Stansbury, Settlement Cyn",Deer,Antlerless,General Season,,Archery,20,15,11,73.3,4.7,3.5,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,30,DATABASE_MATCHED,VALID,,73.333,0.033
2025,2026,DA1033,23,"San Juan, Monticello",Deer,Antlerless,General Season,,Archery,5,5,4,80.0,1.8,4.6,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,31,DATABASE_MATCHED,VALID,,80.0,0.0
2025,2026,DA1041,6,"Nine Mile, Green River Valley",Deer,Antlerless,General Season,,Any Legal Weapon,15,10,6,60.0,2.3,3.8,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,32,DATABASE_MATCHED,VALID,,60.0,0.0
2025,2026,DA1042,23,"San Juan, Monticello",Deer,Antlerless,General Season,,Archery,5,4,4,100.0,1.7,4.0,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,33,DATABASE_MATCHED,VALID,,100.0,0.0
2025,2026,DA1045,474,"Fillmore, Oak City",Deer,Antlerless,General Season,,Archery,18,12,5,41.7,4.2,3.8,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,34,DATABASE_MATCHED,VALID,,41.667,0.033
2025,2026,DA1046,11,"Nine Mile, Price River Valley",Deer,Antlerless,General Season,,"Archery, Muzzleloader, Shotgun",25,20,10,50.0,5.2,3.0,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,35,DATABASE_MATCHED,VALID,,50.0,0.0
2025,2026,DA1047,895,Vernal-Ouray Valley,Deer,Antlerless,General Season,,Any Legal Weapon,23,15,4,26.7,3.5,1.6,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,36,DATABASE_MATCHED,VALID,,26.667,0.033
