hunt_code,canonical_match_status,reported_hunt_year,model_target_year,normalized_hunt_name,database_hunt_name,database_boundary_id,database_species,database_hunt_type,database_weapon,source_permits,hunters,harvest,percent_success,avg_days,satisfaction,source_page,source_row,validation_status,validation_notes
BI0001,HUNT_CODE_NOT_IN_2026_DATABASE,2025,2026,Antelope Island,,,,,,7,7,7,100.0,1.0,4.8,1,2,VALID,
BI1000,DATABASE_MATCHED,2025,2026,Bison - Statewide Permit,Bison - Statewide Permit,5000,Bison,Statewide,Any Legal Weapon,2,2,2,100.0,1.0,5.0,1,3,VALID,
BI6500,DATABASE_MATCHED,2025,2026,Antelope Island,Antelope Island,1,Bison,Once-in-a-lifetime,Any Legal Weapon,2,2,2,100.0,1.0,5.0,1,4,VALID,
BI6503,DATABASE_MATCHED,2025,2026,Henry Mtns,Henry Mtns,94,Bison,Once-in-a-lifetime,Any Legal Weapon,15,15,14,93.3,2.4,4.6,1,5,VALID,
BI6504,DATABASE_MATCHED,2025,2026,Henry Mtns,Henry Mtns,94,Bison,Once-in-a-lifetime,Any Legal Weapon,13,13,13,100.0,4.5,4.2,1,6,VALID,
BI6505,DATABASE_MATCHED,2025,2026,Henry Mtns,Henry Mtns,94,Bison,Once-in-a-lifetime,Any Legal Weapon,28,28,22,78.6,4.0,4.0,1,7,VALID,
BI6506,DATABASE_MATCHED,2025,2026,Henry Mtns,Henry Mtns,94,Bison,Once-in-a-lifetime,Any Legal Weapon,29,29,27,93.1,5.5,4.3,1,8,VALID,
BI6509,DATABASE_MATCHED,2025,2026,Henry Mtns,Henry Mtns,94,Bison,Once-in-a-lifetime,Archery,3,3,2,66.7,7.0,4.3,1,9,VALID,
BI6516,DATABASE_MATCHED,2025,2026,Henry Mtns,Henry Mtns,94,Bison,Once-in-a-lifetime,Any Legal Weapon,13,13,13,100.0,3.5,4.5,1,10,VALID,
BI6527,DATABASE_MATCHED,2025,2026,Nine Mile,Nine Mile,615,Bison,General Season,Any Legal Weapon,18,15,0,0.0,9.0,3.6,1,11,VALID,
BI6528,DATABASE_MATCHED,2025,2026,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",889,Bison,Once-in-a-lifetime,Archery,5,5,5,100.0,2.0,5.0,1,12,VALID,
BI6529,DATABASE_MATCHED,2025,2026,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",889,Bison,Once-in-a-lifetime,Any Legal Weapon,5,5,4,80.0,1.8,4.8,1,13,VALID,
BI6531,DATABASE_MATCHED,2025,2026,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",889,Bison,Once-in-a-lifetime,Any Legal Weapon,8,7,6,85.7,3.7,3.7,1,14,VALID,
BI6532,DATABASE_MATCHED,2025,2026,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",667,Bison,Once-in-a-lifetime,Archery,4,3,3,100.0,2.0,5.0,1,15,VALID,
BI6534,DATABASE_MATCHED,2025,2026,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",667,Bison,Once-in-a-lifetime,Any Legal Weapon,5,4,4,100.0,2.5,3.8,1,16,VALID,
BI6535,DATABASE_MATCHED,2025,2026,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",667,Bison,Once-in-a-lifetime,Any Legal Weapon,5,5,5,100.0,4.2,4.4,1,17,VALID,
BI6536,DATABASE_MATCHED,2025,2026,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",667,Bison,Once-in-a-lifetime,Any Legal Weapon,3,3,2,66.7,4.3,4.7,1,18,VALID,
BI6537,DATABASE_MATCHED,2025,2026,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",889,Bison,Once-in-a-lifetime,Any Legal Weapon,11,11,10,90.9,3.7,4.6,1,19,VALID,
DA1001,DATABASE_MATCHED,2025,2026,"Box Elder, West Bear River","Box Elder, West Bear River",28,Deer,General Season,"Archery, Muzzleloader, Shotgun",29,22,5,22.7,4.4,3.0,1,20,VALID,
DA1002,DATABASE_MATCHED,2025,2026,"Box Elder, West Bear River","Box Elder, West Bear River",28,Deer,General Season,"Archery, Muzzleloader, Shotgun",29,17,3,17.6,2.4,2.8,1,21,VALID,
DA1003,DATABASE_MATCHED,2025,2026,"Monroe/Plateau, Sevier Valley","Monroe/Plateau, Sevier Valley",115,Deer,General Season,"Archery, Muzzleloader, Shotgun",14,7,1,14.3,2.7,3.8,1,22,VALID,
DA1009,DATABASE_MATCHED,2025,2026,"Pine Valley, Enterprise","Pine Valley, Enterprise",169,Deer,General Season,Any Legal Weapon,25,23,23,100.0,1.6,4.6,1,23,VALID,
DA1011,DATABASE_MATCHED,2025,2026,George Creek CWMU,George Creek CWMU,806,Deer,CWMU,Any Legal Weapon,5,5,4,80.0,1.4,4.6,1,24,VALID,
DA1012,DATABASE_MATCHED,2025,2026,Junction Valley CWMU,Junction Valley CWMU,589,Deer,CWMU,Any Legal Weapon,15,14,14,100.0,1.8,5.0,1,25,VALID,
DA1013,DATABASE_MATCHED,2025,2026,Mt Carmel CWMU,Mt Carmel CWMU,533,Deer,CWMU,Any Legal Weapon,5,4,3,75.0,2.0,4.8,1,26,VALID,
DA1018,DATABASE_MATCHED,2025,2026,"Pine Valley, New Harmony","Pine Valley, New Harmony",840,Deer,General Season,"Archery, Muzzleloader, Shotgun",18,15,8,53.3,5.1,3.4,1,27,VALID,
DA1027,DATABASE_MATCHED,2025,2026,"East Canyon, Davis-North Salt Lake","East Canyon, Davis-North Salt Lake",77,Deer,General Season,Any Legal Weapon,30,27,19,70.4,2.7,4.2,1,28,VALID,
DA1030,DATABASE_MATCHED,2025,2026,"Nine Mile, Price River Valley","Nine Mile, Price River Valley",11,Deer,General Season,Archery,24,14,2,14.3,3.8,2.8,1,29,VALID,
DA1031,DATABASE_MATCHED,2025,2026,"Oquirrh-Stansbury, Settlement Cyn","Oquirrh-Stansbury, Settlement Cyn",21,Deer,General Season,Archery,20,15,11,73.3,4.7,3.5,1,30,VALID,
DA1033,DATABASE_MATCHED,2025,2026,"San Juan, Monticello","San Juan, Monticello",23,Deer,General Season,Archery,5,5,4,80.0,1.8,4.6,1,31,VALID,
DA1041,DATABASE_MATCHED,2025,2026,"Nine Mile, Green River Valley","Nine Mile, Green River Valley",6,Deer,General Season,Any Legal Weapon,15,10,6,60.0,2.3,3.8,1,32,VALID,
DA1042,DATABASE_MATCHED,2025,2026,"San Juan, Monticello","San Juan, Monticello",23,Deer,General Season,Archery,5,4,4,100.0,1.7,4.0,1,33,VALID,
DA1045,DATABASE_MATCHED,2025,2026,"Fillmore, Oak City","Fillmore, Oak City",474,Deer,General Season,Archery,18,12,5,41.7,4.2,3.8,1,34,VALID,
DA1046,DATABASE_MATCHED,2025,2026,"Nine Mile, Price River Valley","Nine Mile, Price River Valley",11,Deer,General Season,"Archery, Muzzleloader, Shotgun",25,20,10,50.0,5.2,3.0,1,35,VALID,
DA1047,DATABASE_MATCHED,2025,2026,Vernal-Ouray Valley,Vernal-Ouray Valley,895,Deer,General Season,Any Legal Weapon,23,15,4,26.7,3.5,1.6,1,36,VALID,
DA1048,DATABASE_MATCHED,2025,2026,Fillmore City,Fillmore City,910,Deer,General Season,Archery,14,8,2,25.0,4.7,2.4,1,37,VALID,
