source_file,source_sha256,inferred_species,inferred_year,source_class,report_type,file_size_bytes,page_count,extraction_priority,extraction_strategy,confidence,reason
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/04F508BD__2013_all_species_hr.pdf,4f057c9514c0d883c9374a23392ad3b71e304b21117ebec43323ad143e578bd2,Unknown,2013,harvest_results,harvest_result,123547,18,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage | Step1C strategy=structured_table; priority=HIGH; confidence=HIGH
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/1400385D__2013_moose_hr.pdf,019c4dfef9adaacc1cab5c6c8def5332ffc73c649843665ad8452d17feb214a0,Moose,2013,harvest_results,harvest_result,27835,2,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage | Step1C strategy=structured_table; priority=HIGH; confidence=HIGH
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/31B5012A__2013_mg_hr.pdf,914ff2990b1252cfde833e4d79bc4ad96968941df05534193357bf0c1b0d9faf,Unknown,2013,harvest_results,harvest_result,14975,1,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage | Step1C strategy=structured_table; priority=HIGH; confidence=HIGH
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/3C5A3350__2013_rmbs_hr.pdf,74009a0daf697b6906c93360828c8188433588fd30d13d5546f498ca5e5d8785,Unknown,2013,harvest_results,harvest_result,13617,1,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage | Step1C strategy=structured_table; priority=HIGH; confidence=HIGH
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/58DF2D11__2013_gs_deer_hr.pdf,9c1aeb78c2f0d67eef6ed12888450948de84451a8d9f4c029bdcc363fafc18d4,Deer,2013,harvest_results,harvest_result,48461,4,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage | Step1C strategy=structured_table; priority=HIGH; confidence=HIGH
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/8949AE45__2013_le_elk_hr.pdf,2111a8f283a038e269b6c2b282c18233ce8c3810d8008af7f5953018c984ac04,Elk,2013,harvest_results,harvest_result,66974,6,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage | Step1C strategy=structured_table; priority=HIGH; confidence=HIGH
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/8995B15E__2013_bison_hr.pdf,d0942da4e361244e6e468c64fb7b6b72c8cd8132219c8b50d04cfdf6a071dfd7,Bison,2013,harvest_results,harvest_result,13266,1,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage | Step1C strategy=structured_table; priority=HIGH; confidence=HIGH
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/BA46974B__2013_le_pronghorn_hr.pdf,815cfa5795074ebd856575ac4416217af38c074bf964a10c035497d8fb54bda7,Pronghorn,2013,harvest_results,harvest_result,32339,2,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage | Step1C strategy=structured_table; priority=HIGH; confidence=HIGH
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/FA55B0D7__2013_le_deer_hr.pdf,d3f5a06b5610117c78dfbcf34bc45522784e014f95d272ab390c27c64cff4dbf,Deer,2013,harvest_results,harvest_result,51732,4,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage | Step1C strategy=structured_table; priority=HIGH; confidence=HIGH
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/FB91F4A9__2013_dbs_hr.pdf,6b38331886867e29a1d2e7634a056a59b3af8cc6abd446fe5914b8b6b192658d,Unknown,2013,harvest_results,harvest_result,14290,1,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage | Step1C strategy=structured_table; priority=HIGH; confidence=HIGH
pipeline/RAW/hunt_unit_database/2014/pdf/harvest_report/0AD0E19F__escalante_bighorn_2014.pdf,fe37cd4abc97dab69cad2630419b0945d2a35faa92d9bead50c45a8a9958138f,Unknown,2014,harvest_results,harvest_result,7800,1,HIGH,structured_table,HIGH,canonical copy selected for duplicate sha256 set | meets promotion criteria for current inventory stage | Step1C strategy=structured_table; priority=HIGH; confidence=HIGH
