species,reported_hunt_year,model_target_year,feature_scope,harvest_family,hunt_code,hunt_name,region,county_or_area,permits_or_permits_sold,hunters_afield_or_total_hunters,total_harvest,male_harvest,female_harvest,unknown_harvest,percent_success,mean_days_afield,mean_public_days_afield,mean_private_days_afield,data_quality_grade,source_file,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,reason_codes
Turkey,2023,2024,county_or_area,Turkey Fall Management,,Box Elder,Northern,Box Elder,,244.0,98.0,33.0,65.0,0.0,40.2,4.0,,,B,2023-24 turkey.pdf,True,True,True,TURKEY_HARVEST_HISTORY|QUALITY_FEATURE_ONLY|NO_DIRECT_P_DRAW
Turkey,2023,2024,county_or_area,Turkey Fall Management,,Cache,Northern,Cache,,579.0,295.0,94.0,197.0,4.0,51.0,4.6,,,B,2023-24 turkey.pdf,True,True,True,TURKEY_HARVEST_HISTORY|QUALITY_FEATURE_ONLY|NO_DIRECT_P_DRAW
Turkey,2023,2024,county_or_area,Turkey Fall Management,,East Canyon,Northern,East Canyon,,181.0,77.0,35.0,42.0,0.0,42.9,2.8,,,B,2023-24 turkey.pdf,True,True,True,TURKEY_HARVEST_HISTORY|QUALITY_FEATURE_ONLY|NO_DIRECT_P_DRAW
Turkey,2023,2024,county_or_area,Turkey Fall Management,,Mantua,Northern,Mantua,,68.0,22.0,7.0,15.0,0.0,32.4,4.5,,,B,2023-24 turkey.pdf,True,True,True,TURKEY_HARVEST_HISTORY|QUALITY_FEATURE_ONLY|NO_DIRECT_P_DRAW
Turkey,2023,2024,county_or_area,Turkey Fall Management,,Ogden Valley,Northern,Ogden Valley,,251.0,94.0,26.0,68.0,0.0,37.5,5.0,,,B,2023-24 turkey.pdf,True,True,True,TURKEY_HARVEST_HISTORY|QUALITY_FEATURE_ONLY|NO_DIRECT_P_DRAW
Turkey,2023,2024,county_or_area,Turkey Fall Management,,Unknown,Northern,Unknown,,54.0,13.0,6.0,6.0,2.0,24.1,2.2,,,B,2023-24 turkey.pdf,True,True,True,TURKEY_HARVEST_HISTORY|QUALITY_FEATURE_ONLY|NO_DIRECT_P_DRAW
Turkey,2023,2024,regional_total,Turkey Fall Management,,Regional total,Northern,Regional total,,1290.0,599.0,201.0,393.0,6.0,46.4,4.5,,,B,2023-24 turkey.pdf,True,True,True,TURKEY_HARVEST_HISTORY|QUALITY_FEATURE_ONLY|NO_DIRECT_P_DRAW
Turkey,2023,2024,county_or_area,Turkey Fall Management,,Juab,Central,Juab,,49.0,16.0,7.0,9.0,0.0,33.3,3.3,,,B,2023-24 turkey.pdf,True,True,True,TURKEY_HARVEST_HISTORY|QUALITY_FEATURE_ONLY|NO_DIRECT_P_DRAW
Turkey,2023,2024,county_or_area,Turkey Fall Management,,Salt Lake,Central,Salt Lake,,14.0,5.0,5.0,0.0,0.0,37.5,6.0,,,B,2023-24 turkey.pdf,True,True,True,TURKEY_HARVEST_HISTORY|QUALITY_FEATURE_ONLY|NO_DIRECT_P_DRAW
Turkey,2023,2024,county_or_area,Turkey Fall Management,,Sanpete,Central,Sanpete,,180.0,83.0,23.0,58.0,2.0,46.0,5.9,,,B,2023-24 turkey.pdf,True,True,True,TURKEY_HARVEST_HISTORY|QUALITY_FEATURE_ONLY|NO_DIRECT_P_DRAW
