reported_hunt_year,species,hunt_family,all_row_count,hunt_code_row_count,unique_hunt_codes,harvest_sum_all_rows,harvest_sum_hunt_code_rows,permits_sum_hunt_code_rows,hunters_afield_sum_hunt_code_rows,weighted_success_pct_hunt_code_rows,source_labels
1967,Black Bear,Black Bear,1,0,0,15.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1968,Black Bear,Black Bear,1,0,0,12.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1969,Black Bear,Black Bear,1,0,0,25.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1970,Black Bear,Black Bear,1,0,0,9.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1971,Black Bear,Black Bear,1,0,0,17.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1972,Black Bear,Black Bear,1,0,0,19.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1973,Black Bear,Black Bear,1,0,0,25.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1974,Black Bear,Black Bear,1,0,0,29.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1975,Black Bear,Black Bear,1,0,0,22.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1976,Black Bear,Black Bear,1,0,0,10.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1977,Black Bear,Black Bear,1,0,0,26.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1978,Black Bear,Black Bear,1,0,0,40.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1979,Black Bear,Black Bear,1,0,0,26.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1980,Black Bear,Black Bear,1,0,0,26.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1981,Black Bear,Black Bear,1,0,0,39.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1982,Black Bear,Black Bear,1,0,0,38.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1983,Black Bear,Black Bear,1,0,0,18.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1984,Black Bear,Black Bear,1,0,0,26.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1985,Black Bear,Black Bear,1,0,0,29.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1986,Black Bear,Black Bear,1,0,0,72.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1987,Black Bear,Black Bear,1,0,0,44.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1988,Black Bear,Black Bear,1,0,0,69.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1989,Black Bear,Black Bear,1,0,0,97.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1990,Black Bear,Black Bear,15,0,0,51.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1991,Black Bear,Black Bear,15,0,0,68.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1991,Turkey,Turkey,2,0,0,140.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
1992,Black Bear,Black Bear,15,0,0,60.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1992,Turkey,Turkey,2,0,0,136.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
1993,Black Bear,Black Bear,15,0,0,69.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1993,Turkey,Turkey,2,0,0,200.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
1994,Black Bear,Black Bear,15,0,0,78.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1994,Turkey,Turkey,2,0,0,272.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
1995,Black Bear,Black Bear,15,0,0,105.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1995,Turkey,Turkey,2,0,0,286.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
1996,Black Bear,Black Bear,15,0,0,133.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1996,Turkey,Turkey,2,0,0,382.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
1997,Black Bear,Black Bear,15,0,0,97.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1997,Turkey,Turkey,2,0,0,416.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
1998,Black Bear,Black Bear,16,0,0,90.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1998,Turkey,Turkey,2,0,0,512.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
1999,Black Bear,Black Bear,16,0,0,106.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
1999,Turkey,Turkey,2,0,0,600.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2000,Black Bear,Black Bear,17,0,0,139.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2000,Turkey,Turkey,2,0,0,1398.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2001,Black Bear,Black Bear,19,0,0,136.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2001,Turkey,Turkey,2,0,0,1782.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2002,Black Bear,Black Bear,21,0,0,166.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2002,Turkey,Turkey,2,0,0,1570.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2003,Black Bear,Black Bear,22,0,0,171.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2003,Turkey,Turkey,2,0,0,1416.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2004,Black Bear,Black Bear,21,0,0,209.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2004,Turkey,Turkey,2,0,0,1382.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2005,Black Bear,Black Bear,21,0,0,157.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2005,Turkey,Turkey,2,0,0,1906.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2006,Black Bear,Black Bear,21,0,0,170.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2006,Turkey,Turkey,2,0,0,2792.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2007,Black Bear,Black Bear,21,0,0,251.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2007,Turkey,Turkey,2,0,0,3200.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2008,Black Bear,Black Bear,22,0,0,277.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2008,Turkey,Turkey,2,0,0,4748.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2009,Black Bear,Black Bear,22,0,0,297.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2009,Turkey,Turkey,2,0,0,5540.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2010,Black Bear,Black Bear,24,0,0,323.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2010,Turkey,Turkey,4,0,0,4576.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
2011,Black Bear,Black Bear,24,0,0,343.0,0.0,0.0,0.0,,2024_for_2025_enhanced_v3
2011,Turkey,Turkey,4,0,0,4002.0,0.0,0.0,0.0,,turkey_2023_24_for_2025_all_long|turkey_2024_25_for_2026_all_long
