hunt_code,reported_hunt_year,model_target_years,species,hunt_family,hunt_names,row_count,harvest_sum,permits_sum,hunters_afield_sum,weighted_success_pct,average_reported_success_pct,row_scopes,source_families,source_labels,source_files
DA1000,2021,2022,Antlerless Deer,Antlerless Deer,"Beaver, Circleville North",1,1.0,10.0,9.0,11.11,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1001,2021,2022,Antlerless Deer,Antlerless Deer,"Box Elder, West Bear River",1,7.0,30.0,23.0,30.43,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1002,2021,2022,Antlerless Deer,Antlerless Deer,"Box Elder, West Bear River",1,5.0,30.0,17.0,29.41,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1003,2021,2022,Antlerless Deer,Antlerless Deer,"Monroe/Plateau, Sevier Valley",1,19.0,49.0,33.0,57.58,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1004,2021,2022,Antlerless Deer,Antlerless Deer,"Mt Dutton, Circleville South",1,2.0,10.0,8.0,25.0,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1007,2021,2022,Antlerless Deer,Antlerless Deer,"Panguitch Lake, Panguitch Valley",1,4.0,10.0,8.0,50.0,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1009,2021,2022,Antlerless Deer,Antlerless Deer,"Pine Valley, Enterprise",1,28.0,35.0,35.0,80.0,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1011,2021,2022,Antlerless Deer,Antlerless Deer,George Creek,1,4.0,5.0,5.0,80.0,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1012,2021,2022,Antlerless Deer,Antlerless Deer,* Junction Valley,1,25.0,14.0,14.0,178.57,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1013,2021,2022,Antlerless Deer,Antlerless Deer,Mt Carmel,1,3.0,5.0,3.0,100.0,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1017,2021,2022,Antlerless Deer,Antlerless Deer,"Pine Valley, Enterprise",1,16.0,25.0,20.0,80.0,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1018,2021,2022,Antlerless Deer,Antlerless Deer,"Pine Valley, New Harmony",1,19.0,34.0,25.0,76.0,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1026,2021,2022,Antlerless Deer,Antlerless Deer,Chalk Creek,1,28.0,49.0,32.0,87.5,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1027,2021,2022,Antlerless Deer,Antlerless Deer,"East Canyon, Davis-North Salt Lake",1,70.0,98.0,88.0,79.55,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1028,2021,2022,Antlerless Deer,Antlerless Deer,"East Canyon, Davis-North Salt Lake",1,57.0,99.0,87.0,65.52,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1029,2021,2022,Antlerless Deer,Antlerless Deer,"Nine Mile, Green River Valley",1,2.0,10.0,8.0,25.0,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1030,2021,2022,Antlerless Deer,Antlerless Deer,"Nine Mile, Price River Valley",1,13.0,20.0,17.0,76.47,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1031,2021,2022,Antlerless Deer,Antlerless Deer,"Oquirrh-Stansbury, Settlement Cyn",1,18.0,25.0,25.0,72.0,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1033,2021,2022,Antlerless Deer,Antlerless Deer,"San Juan, Monticello",1,3.0,5.0,3.0,100.0,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1039,2021,2022,Antlerless Deer,Antlerless Deer,East Canyon,1,19.0,50.0,22.0,86.36,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1040,2021,2022,Antlerless Deer,Antlerless Deer,East Canyon,1,15.0,50.0,28.0,53.57,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1041,2021,2022,Antlerless Deer,Antlerless Deer,"Nine Mile, Green River Valley",1,16.0,30.0,24.0,66.67,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1042,2021,2022,Antlerless Deer,Antlerless Deer,"San Juan, Monticello",1,0.0,5.0,0.0,,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1043,2021,2022,Antlerless Deer,Antlerless Deer,"Southwest Desert, Cedar Valley",1,4.0,15.0,15.0,26.67,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1044,2021,2022,Antlerless Deer,Antlerless Deer,"South Slope, Myton",1,50.0,189.0,109.0,45.87,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1045,2021,2022,Antlerless Deer,Antlerless Deer,"Fillmore, Oak City",1,4.0,15.0,11.0,36.36,,hunt_code,,2021_for_2022_hunt_code_keyed,
DA1046,2021,2022,Antlerless Deer,Antlerless Deer,"Nine Mile, Price River Valley",1,12.0,23.0,16.0,75.0,,hunt_code,,2021_for_2022_hunt_code_keyed,
EA1004,2021,2022,Antlerless Elk,Antlerless Elk,"Book Cliffs, Little Creek Roadless",1,7.0,33.0,26.0,26.92,,hunt_code,,2021_for_2022_hunt_code_keyed,
EA1007,2021,2022,Antlerless Elk,Antlerless Elk,"Box Elder, Grouse Creek",1,3.0,5.0,5.0,60.0,,hunt_code,,2021_for_2022_hunt_code_keyed,
EA1008,2021,2022,Antlerless Elk,Antlerless Elk,"Box Elder, Grouse Creek",1,0.0,5.0,3.0,0.0,,hunt_code,,2021_for_2022_hunt_code_keyed,
EA1009,2021,2022,Antlerless Elk,Antlerless Elk,"Cache, East",1,112.0,477.0,440.0,25.45,,hunt_code,,2021_for_2022_hunt_code_keyed,
EA1010,2021,2022,Antlerless Elk,Antlerless Elk,"Cache, Rich",1,14.0,70.0,65.0,21.54,,hunt_code,,2021_for_2022_hunt_code_keyed,
EA1011,2021,2022,Antlerless Elk,Antlerless Elk,"Cache, Richards Hollow",1,9.0,44.0,37.0,24.32,,hunt_code,,2021_for_2022_hunt_code_keyed,
EA1012,2021,2022,Antlerless Elk,Antlerless Elk,"Cache, Richmond Hyde Park",1,2.0,14.0,12.0,16.67,,hunt_code,,2021_for_2022_hunt_code_keyed,
EA1013,2021,2022,Antlerless Elk,Antlerless Elk,"Central Mtns, Central Manti",1,1.0,11.0,11.0,9.09,,hunt_code,,2021_for_2022_hunt_code_keyed,
EA1015,2021,2022,Antlerless Elk,Antlerless Elk,"Central Mtns, Ferron Canyon",1,6.0,10.0,10.0,60.0,,hunt_code,,2021_for_2022_hunt_code_keyed,
EA1017,2021,2022,Antlerless Elk,Antlerless Elk,"Central Mtns, Gordon Creek-Price Canyon",1,3.0,9.0,8.0,37.5,,hunt_code,,2021_for_2022_hunt_code_keyed,
EA1018,2021,2022,Antlerless Elk,Antlerless Elk,"Central Mtns, Horn Mtn",1,1.0,5.0,5.0,20.0,,hunt_code,,2021_for_2022_hunt_code_keyed,
EA1020,2021,2022,Antlerless Elk,Antlerless Elk,"Central Mtns, Mohrland-Stump Flat",1,10.0,14.0,14.0,71.43,,hunt_code,,2021_for_2022_hunt_code_keyed,
EA1021,2021,2022,Antlerless Elk,Antlerless Elk,"Central Mtns, Nebo",1,32.0,78.0,70.0,45.71,,hunt_code,,2021_for_2022_hunt_code_keyed,
EA1022,2021,2022,Antlerless Elk,Antlerless Elk,"Central Mtns, North Manti",1,42.0,157.0,143.0,29.37,,hunt_code,,2021_for_2022_hunt_code_keyed,
