conservation_area_id,permit_year,permit_class,species,area,primary_hunt_code,component_hunt_code,component_type,component_boundary_ids,permit_count_at_area_level,allocation_rule,source_file,species_original
CONSERVATION_ANTLERLESS_ELK_MANTI_2026,2026,conservation,Antlerless Elk,Manti,EA1271,EA1013;EA1015;EA1017;EA1018;EA1020;EA1022;EA1023;EA1024;EA1025;EA1278;EA1279;EA2011,included_hunt_code,43;45;47;49;51;55;58;861;862;938,4,boundary_overlay_not_duplicate_per_component,conservation_area_crosswalk_2026.csv,Antlerless Elk
CONSERVATION_ANTLERLESS_ELK_FISHLAKE_2026,2026,conservation,Antlerless Elk,Fishlake,EA1270,EA1078;EA1079;EA1080,included_hunt_code,175;698;699,4,boundary_overlay_not_duplicate_per_component,conservation_area_crosswalk_2026.csv,Antlerless Elk
CONSERVATION_ANTLERLESS_ELK_WASATCH_MTNS_2026,2026,conservation,Antlerless Elk,Wasatch Mtns,EA2045,EA1106;EA1110;EA1111;EA1112;EA1113;EA1114;EA1189;EA1217;EA1264;EA1265;EA1276;EA2012;EA2013;EA2014;EA2038,included_hunt_code,222;224;225;227;234;238;240;480;817;845;920;921,4,boundary_overlay_not_duplicate_per_component,conservation_area_crosswalk_2026.csv,Antlerless Elk
CONSERVATION_ANTLERLESS_ELK_LA_SAL_2026,2026,conservation,Antlerless Elk,La Sal,EA1180,EA1037;EA1038;EA1039;EA1237;EA1280;EA2009,included_hunt_code,108;617;684;879,4,boundary_overlay_not_duplicate_per_component,conservation_area_crosswalk_2026.csv,Antlerless Elk
CONSERVATION_ANTLERLESS_ELK_CACHE_2026,2026,conservation,Antlerless Elk,Cache,EA2041,EA1010;EA1011;EA1012;EA1193;EA1206;EA1267;EA2027,included_hunt_code,29;33;38;39;40;302;303,4,boundary_overlay_not_duplicate_per_component,conservation_area_crosswalk_2026.csv,Antlerless Elk
