species,raw_rows,raw_permit_count,grouped_rows,grouped_permit_count,difference_raw_minus_grouped,status
Antlerless Elk,20,20,13,20,0,RECONCILED
Bison,6,6,6,6,0,RECONCILED
Black Bear,44,44,31,44,0,RECONCILED
Deer,39,39,36,39,0,RECONCILED
Desert Bighorn Sheep,8,8,8,8,0,RECONCILED
Elk,91,91,88,91,0,RECONCILED
Moose,5,5,5,5,0,RECONCILED
Mountain Goat,7,7,7,7,0,RECONCILED
Pronghorn,69,69,53,69,0,RECONCILED
Rocky Mountain Bighorn Sheep,6,6,6,6,0,RECONCILED
Turkey,41,41,18,41,0,RECONCILED
