overlay_id,permit_class,source_cycle,permit_year_rule,species,sex,huntType,huntClass,area,unitCode,unitNames,weapon,conditions,permit_count_per_year,organizations,averageValue,sourceSpecies,sourceRowStart,sourceRowNumbers,match_key,assignment_type,selected_hunt_code,component_hunt_codes,component_boundary_ids,conservation_area_id,primary_hunt_code,bundle_conservation_hunt_codes,bundle_expo_hunt_codes,boundary_reference_hunt_codes,database_hunt_codes,database_hunt_names,database_match_statuses,active_hunt_codes,active_permit_count,extracted_permit_count,compare_status,geometry_mapping_status,reconciliation_status,classification_note,review_status,source_file,do_not_use_directly_for_p_draw,do_not_merge_into_public_draw_quota,permit_year,permit_count,species_original
CP-BLACK-BEAR-CHALK-CREEK-EAST-CANYON-MORGAN-SOUTH-RICH-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,DSC,Chalk Creek/East Canyon/Morgan-South Rich,chalk-creek-east-canyon-morgan-south-rich,System.Object[],ALW,ALW,1,System.Object[],2850.0,Bear,31,System.Object[],black bear|chalk creek east canyon morgan south rich|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-DIAMOND-MTN-VERNAL-BONANZA-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,MDF,Diamond Mtn/Vernal/Bonanza,diamond-mtn-vernal-bonanza,System.Object[],ALW,ALW,1,System.Object[],4875.0,Bear,32,System.Object[],black bear|diamond mtn vernal bonanza|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-DIAMOND-MTN-VERNAL-BONANZA-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,SFW,Diamond Mtn/Vernal/Bonanza,diamond-mtn-vernal-bonanza,System.Object[],ALW,ALW,1,System.Object[],4875.0,Bear,33,System.Object[],black bear|diamond mtn vernal bonanza|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-FISHLAKE-THOUSAND-LAKES-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,SFW,Fishlake/Thousand Lakes,fishlake-thousand-lakes,System.Object[],ALW,ALW,1,System.Object[],13833.33,Bear,34,System.Object[],black bear|fishlake thousand lakes|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-KAMAS-NORTH-SLOPE-SUMMIT-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,MDF,"Kamas/North Slope, Summit",kamas-north-slope-summit,System.Object[],ALW,ALW,1,System.Object[],4750.0,Bear,35,System.Object[],black bear|kamas north slope summit|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-LA-SAL-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,MDF,La Sal,la-sal,System.Object[],ALW,ALW,1,System.Object[],8370.83,Bear,38,System.Object[],black bear|la sal|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-LA-SAL-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,SFW,La Sal,la-sal,System.Object[],ALW,ALW,2,System.Object[],8370.83,Bear,37,System.Object[],black bear|la sal|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,2,Black Bear
CP-BLACK-BEAR-LA-SAL-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,UHA,La Sal,la-sal,System.Object[],ALW,ALW,1,System.Object[],8370.83,Bear,36,System.Object[],black bear|la sal|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-MANTI-NORTH-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,MDF,Manti-North,manti-north,System.Object[],ALW,ALW,1,System.Object[],5133.33,Bear,41,System.Object[],black bear|manti north|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-MANTI-NORTH-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,SFW,Manti-North,manti-north,System.Object[],ALW,ALW,1,System.Object[],5133.33,Bear,42,System.Object[],black bear|manti north|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
