species,rows,permit_count_2026,selected_hunt_code_rows,combined_or_statewide_overlay_rows
Antlerless Elk,13,20,0,13
Bison,6,6,1,6
Black Bear,31,44,0,31
Deer,36,39,4,32
Desert Bighorn Sheep,8,8,8,1
Elk,88,91,22,67
Moose,5,5,5,1
Mountain Goat,7,7,2,5
Pronghorn,53,69,29,25
Rocky Mountain Bighorn Sheep,6,6,4,2
Turkey,18,41,1,18
