Unit,Unit name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,source_page
22,Beaver,149,178,134,182,146,77,112,130,158,172,1
10,Book Cliffs,312,412,385,305,261,194,207,157,215,215,1
25C/26,Boulder/Kaiparowits,142,133,116,74,114,95,158,142,148,172,1
1,Box Elder,68,96,79,93,120,94,138,104,81,122,1
2,Cache,309,284,263,285,254,237,253,241,226,171,1
6,Chalk Creek,320,344,312,331,307,342,343,437,338,342,1
9C,Diamond Mtn,65,69,76,64,71,67,73,88,128,108,1
5,East Canyon,219,279,184,191,183,182,186,198,132,185,1
21,Fillmore,147,213,157,193,181,151,145,152,193,155,1
25AB,Fishlake/Thousand Lakes,452,324,345,492,355,466,506,430,467,524,1
15,Henry Mtns,0,4,13,8,0,4,0,4,0,3,1
7,Kamas,141,142,147,183,108,133,92,127,59,101,1
13B,"La Sal, Dolores Triangle",4,0,0,5,5,13,4,4,6,6,1
13A,"La Sal, La Sal Mtns",204,193,190,207,193,152,182,191,143,183,1
16B,Manti,769,832,684,755,694,731,869,907,928,1030,1
23,Monroe,94,66,60,80,106,150,198,143,175,157,1
4,Morgan-South Rich,380,366,310,394,297,304,331,355,232,332,1
24,Mt Dutton,140,147,110,102,66,42,57,68,96,91,1
16A,Nebo,166,236,213,193,116,178,238,208,324,231,1
11A,"Nine Mile, Anthro",23,32,34,20,30,22,24,24,164,129,1
11B,"Nine Mile, Range Creek",173,190,172,191,150,145,197,162,181,203,1
8A,"North Slope, Summit",384,362,300,286,349,281,401,382,319,281,1
8C,"North Slope, Three Corners",26,22,22,25,19,26,20,21,24,20,1
8B,"North Slope, West Daggett",246,295,191,215,189,193,208,198,141,149,1
3,Ogden,231,223,178,256,165,166,196,191,144,155,1
18,Oquirrh-Stansbury,60,60,68,71,58,63,77,75,176,119,1
28,Panguitch Lake,141,160,107,115,113,114,192,149,127,147,1
27,Paunsaugunt,62,53,74,49,66,48,62,43,56,56,2
30,Pine Valley,20,16,33,61,20,4,21,31,12,22,2
14,San Juan,88,86,115,98,100,135,137,150,119,131,2
12,San Rafael,0,4,0,0,20,12,9,11,12,5,2
20,Southwest Desert,260,162,167,195,142,150,167,125,198,187,2
9BD,Vernal/Bonanza,557,522,470,465,369,424,467,519,389,397,2
17,Wasatch Mtns,944,800,721,897,807,853,858,869,826,833,2
19,West Desert,102,73,84,80,97,73,58,76,109,114,2
9A,Yellowstone,512,534,632,562,448,471,514,432,398,501,2
29,Zion,178,172,193,129,134,88,111,84,110,88,2
