file,rows,unit_col,unit_rows_checked,unit_name_matches_in_master,unit_name_match_rate,note
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_by_unit_historical_2015_2024_extract/ELK_BULL_BY_UNIT_2015_2024.csv,37,Unit name,37,37,100.0,
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_bull_by_unit_2024_extract/ELK_TOTAL_HARVEST_BY_UNIT_2024.csv,38,Unit name,38,38,100.0,
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_bull_by_unit_2024_extract/ELK_GENERAL_SEASON_ARCHERY_HARVEST_BY_UNIT_2024.csv,35,Unit name,35,35,100.0,
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_cwmu_bull_harvest_2024_extract/ELK_CWMU_BULL_HARVEST_2024.csv,68,CWMU name,68,68,100.0,
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_general_extended_archery_2024_extract/ELK_GENERAL_EXTENDED_ARCHERY_HARVEST_2024.csv,6,Unit name,6,6,100.0,
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,184,,0,0,,no_unit_name_column
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_youth_any_bull_hunters_choice_2024_extract/ELK_YOUTH_ANY_BULL_HUNTERS_CHOICE_2024.csv,61,Unit name,61,61,100.0,
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_statewide_stats_1931_2024_extract/ELK_STATEWIDE_HARVEST_STATS_1931_2024.csv,94,,0,0,,no_unit_name_column
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_winter_population_2020_2024_extract/ELK_WINTER_POPULATION_ESTIMATES_2020_2024.csv,39,Unit name,39,39,100.0,
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_preseason_calf_per_100_cows_2015_2024_extract/ELK_PRESEASON_CALF_PER_100_COWS_2015_2024.csv,30,Unit name,30,30,100.0,
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_winter_trend_2015_2024_extract/ELK_WINTER_TREND_2015_2024.csv,357,Unit name,357,357,100.0,
