source_rel,archive_rel
elk_average_age_2024_extract/elk_average_age_2024_extract_manifest.csv,_archive_nonfinal_20260510/elk_average_age_2024_extract/elk_average_age_2024_extract_manifest.csv
elk_average_age_2024_extract/elk_average_age_2024_extract_manifest.json,_archive_nonfinal_20260510/elk_average_age_2024_extract/elk_average_age_2024_extract_manifest.json
elk_average_age_2024_extract/elk_average_age_2024_extract_report.txt,_archive_nonfinal_20260510/elk_average_age_2024_extract/elk_average_age_2024_extract_report.txt
elk_average_age_2024_extract/ELK_AVERAGE_AGE_HARVEST_2024_hunt_code_fill_report.csv,_archive_nonfinal_20260510/elk_average_age_2024_extract/ELK_AVERAGE_AGE_HARVEST_2024_hunt_code_fill_report.csv
elk_average_age_2024_extract/ELK_AVERAGE_AGE_HARVEST_2024_hunt_code_fill_report.json,_archive_nonfinal_20260510/elk_average_age_2024_extract/ELK_AVERAGE_AGE_HARVEST_2024_hunt_code_fill_report.json
elk_average_age_2024_extract/ELK_AVERAGE_AGE_HARVEST_2024_raw_lines.csv,_archive_nonfinal_20260510/elk_average_age_2024_extract/ELK_AVERAGE_AGE_HARVEST_2024_raw_lines.csv
elk_general_season_2024_extract/ELK_GENERAL_SEASON.tmp.csv,_archive_nonfinal_20260510/elk_general_season_2024_extract/ELK_GENERAL_SEASON.tmp.csv
elk_general_season_2024_extract/ELK_GENERAL_SEASON_2024_ALL_PAGES_MASTER.csv,_archive_nonfinal_20260510/elk_general_season_2024_extract/ELK_GENERAL_SEASON_2024_ALL_PAGES_MASTER.csv
elk_general_season_2024_extract/ELK_GENERAL_SEASON_2024_ALL_PAGES_MASTER.xlsx,_archive_nonfinal_20260510/elk_general_season_2024_extract/ELK_GENERAL_SEASON_2024_ALL_PAGES_MASTER.xlsx
elk_general_season_2024_extract/ELK_GENERAL_SEASON_ADOBE_modifiec.csv,_archive_nonfinal_20260510/elk_general_season_2024_extract/ELK_GENERAL_SEASON_ADOBE_modifiec.csv
