unit,unit_name,harvest_objective_age_range,hunt_code,avg_age_2015,avg_age_2016,avg_age_2017,avg_age_2018,avg_age_2019,avg_age_2020,avg_age_2021,avg_age_2022,avg_age_2023,avg_age_2024,avg_age_3_year_average,table_title,source_file,source_page,hunt_codes_2026_elk,hunt_code_count_2026,matched_hunt_names_2026,match_basis,mapping_status
25C/26,Barney Top/Kaiparowits,3.5–4.5,EB3135;EB3142,,,,,,,9.3,8.2,5.7,9.4,7.8,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3135;EB3142,2,Barney Top/Kaiparowits | Barney Top/Kaiparowits,existing_hunt_code_column,mapped_to_2026_codes
22B,"Beaver, East",6.5–7.0,EB3000;EB3024;EB3025;EB3077;EB3102;EB3158;EB3159,6.9,7.7,8,7.6,7.9,8.3,8.4,8.6,9.1,9.6,9.1,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3000;EB3024;EB3025;EB3077;EB3102;EB3158;EB3159,7,Beaver East | Beaver East | Beaver East | Beaver East | Beaver East | Beaver East | Beaver East,existing_hunt_code_column,mapped_to_2026_codes
10AB,"Book Cliffs, Bitter Creek/East",6.0–6.5,EB3160;EB3161;EB3162;EB3163;EB3164;EB3165;EB3166,7.5,7.8,6.2,6.4,6,5.9,5.2,6.2,6.5,6.3,6.3,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3160;EB3161;EB3162;EB3163;EB3164;EB3165;EB3166,7,Book Cliffs Bitter Creek/East | Book Cliffs Bitter Creek/East | Book Cliffs Bitter Creek/East | Book Cliffs Bitter Creek/East | Book Cliffs Bitter Creek/East | Book Cliffs Bitter Creek/East | Book Cliffs Bitter Creek/East,existing_hunt_code_column,mapped_to_2026_codes
10C,"Book Cliffs, Little Creek Roadless",6.5–7.0,EB3002;EB3028;EB3079;EB3104;EB3167,7.5,7.3,7.1,7,7,7,8.3,6.3,8.1,8.7,7.7,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3002;EB3028;EB3079;EB3104;EB3167,5,Book Cliffs Little Creek Roadless | Book Cliffs Little Creek Roadless | Book Cliffs Little Creek Roadless | Book Cliffs Little Creek Roadless | Book Cliffs Little Creek Roadless,existing_hunt_code_column,mapped_to_2026_codes
25C,Boulder,6.5–7.0,EB3145;EB3148;EB3151;EB3154;EB3156;EB3190;EB3191,7.3,8.2,7.3,8.2,7.5,7.2,7.8,8.4,8.4,7.4,8.1,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3145;EB3148;EB3151;EB3154;EB3156;EB3190;EB3191,7,Boulder | Boulder | Boulder | Boulder | Boulder | Boulder | Boulder,existing_hunt_code_column,mapped_to_2026_codes
1A,"Box Elder, Grouse Creek",5.5–6.0,EB3147;EB3150;EB3153,5.5,5.7,5.2,6,5.5,5.3,6.4,5,5.6,5.3,5.3,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3147;EB3150;EB3153,3,Box Elder Grouse Creek | Box Elder Grouse Creek | Box Elder Grouse Creek,existing_hunt_code_column,mapped_to_2026_codes
1C,"Box Elder, Pilot Mtn",5.5–6.0,EB3031;EB3130,6.5,6.1,6.7,5.3,7.7,7.2,5.7,8.2,6,6.5,6.9,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3031;EB3130,2,Box Elder Pilot Mtn | Box Elder Pilot Mtn,existing_hunt_code_column,mapped_to_2026_codes
2C,"Cache, Meadowville",6.0–6.5,EB3003;EB3032;EB3033;EB3081;EB3105;EB3168;EB3169,4.8,4.7,4.9,5.1,5.5,5.3,7,,5.6,5.2,5.5,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3003;EB3032;EB3033;EB3081;EB3105;EB3168;EB3169,7,Cache Meadowville | Cache Meadowville | Cache Meadowville | Cache Meadowville | Cache Meadowville | Cache Meadowville | Cache Meadowville,existing_hunt_code_column,mapped_to_2026_codes
2A,"Cache, North",3.5–4.5,EB3132;EB3139,3.5,5,4.3,4.6,4.4,4.7,5.3,5.3,6.4,8.3,6.7,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3132;EB3139,2,Cache North | Cache North,existing_hunt_code_column,mapped_to_2026_codes
2B,"Cache, South",6.0–6.5,EB3005;EB3036;EB3037;EB3083;EB3107;EB3170;EB3171,5.5,4.7,5,5.7,5.9,6,7.1,6,6.4,7.2,6.7,"Average age of harvested bull elk on limited-entry units, Utah 2015â€“2024.",C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\2024 ELK AVERAGE AGE HARVEST.pdf,1,EB3005;EB3036;EB3037;EB3083;EB3107;EB3170;EB3171,7,Cache South | Cache South | Cache South | Cache South | Cache South | Cache South | Cache South,existing_hunt_code_column,mapped_to_2026_codes
