record_no,reported_hunt_year,model_target_year,source_class,species,sheep_type,hunt_code,selected_hunt_code,possible_hunt_codes,matched_hunt_name,matched_species,matched_unit_name,unit_crosswalk_status,unit_crosswalk_confidence,unit_crosswalk_method,unit_crosswalk_notes,database_match_status,location_of_kill,days_hunted,wound,hunter_satisfaction,horn_length_left_raw,horn_length_left_decimal,horn_length_right_raw,horn_length_right_decimal,base_circumference_left_raw,base_circumference_left_decimal,base_circumference_right_raw,base_circumference_right_decimal,age_of_sheep_raw,age_of_sheep_decimal,source_file,source_file_sha256,source_page,source_row_id,extraction_method,data_quality_flags,recommended_use
1,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6600,DS6600 Henry Mtns,Desert Bighorn Sheep,Henry Mtns,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Henry Mountains area/location; review before selected-code promotion.,NO_HUNT_CODE_IN_SOURCE,Middle Warm Creek,5,,5,30 5/8,30.625,31 2/8,31.25,14 1/8,14.125,13 6/8,13.75,7,7.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,1,manual_first_row_from_pdf_text,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
2,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6601|DS6602|DS6603,"DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.,NO_HUNT_CODE_IN_SOURCE,Paria,1,,5,33,33.0,33,33.0,15.375,15.375,15.25,15.25,9.5,9.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,2,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
3,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,trachyte,2,,5,29.625,29.625,28.625,28.625,13.75,13.75,13.625,13.625,10.5,10.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,3,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
4,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6601|DS6602|DS6603,"DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.,NO_HUNT_CODE_IN_SOURCE,Alstrom point,8,,5,26.25,26.25,25.5,25.5,13.75,13.75,13.75,13.75,7.5,7.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,4,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
5,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,,2,,5,26.5,26.5,26,26.0,14.5,14.5,14.5,14.5,7.5,7.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,5,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|BLANK_LOCATION|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
6,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6601|DS6602|DS6603,"DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.,NO_HUNT_CODE_IN_SOURCE,Sam's Basin,2,,5,26.5,26.5,27,27.0,12.75,12.75,12.75,12.75,12,12.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,6,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
7,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Cow Calf Pine,14,,5,27 4/8,27.5,27,27.0,12 5/8,12.625,12 5/8,12.625,11.5,11.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,7,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
8,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6601|DS6602|DS6603,"DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.,NO_HUNT_CODE_IN_SOURCE,Paria,30,,3,30 3/8,30.375,31,31.0,14 7/8,14.875,15,15.0,6,6.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,8,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
9,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Muddy Creek,2,,5,26,26.0,25.25,25.25,13.5,13.5,13.25,13.25,8,8.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,9,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
10,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6601|DS6602|DS6603,"DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.,NO_HUNT_CODE_IN_SOURCE,TRAIL CANYON,7,,5,29.5,29.5,30.5,30.5,13.75,13.75,14,14.0,10.5,10.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,1,10,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
