reported_hunt_year,model_target_year,hunt_code,species,hunt_name,hunt_type,weapon,permits,harvest_hunters,harvest,harvest_average_days,harvest_success_percent,harvest_satisfaction,source_file,source_page,parse_status,do_not_use_for_permit_quota,do_not_use_for_p_draw_directly
2023,2024,DS6600,Desert Bighorn Sheep,Henry Mtns,OIAL,Any Legal Weapon,2,2,1,9.5,50.0,3.0,2023 Hunt Success.pdf,7,OK,True,True
2023,2024,DS6601,Desert Bighorn Sheep,"Kaiparowits, East",OIAL,Any Legal Weapon,9,9,9,3.8,100.0,4.8,2023 Hunt Success.pdf,7,OK,True,True
2023,2024,DS6602,Desert Bighorn Sheep,"Kaiparowits, Escalante",OIAL,Any Legal Weapon,8,8,7,11.9,87.5,4.3,2023 Hunt Success.pdf,7,OK,True,True
2023,2024,DS6603,Desert Bighorn Sheep,"Kaiparowits, West",OIAL,Any Legal Weapon,5,5,5,2.4,100.0,4.8,2023 Hunt Success.pdf,7,OK,True,True
2023,2024,DS6604,Desert Bighorn Sheep,"La Sal, Potash/South Cisco",OIAL,Any Legal Weapon,3,3,3,10.3,100.0,4.0,2023 Hunt Success.pdf,7,OK,True,True
2023,2024,DS6621,Desert Bighorn Sheep,"Pine Valley, Beaver Dam",OIAL,Any Legal Weapon,6,6,5,5.7,83.3,4.7,2023 Hunt Success.pdf,7,OK,True,True
2023,2024,DS6620,Desert Bighorn Sheep,"Pine Valley, Virgin River",OIAL,Any Legal Weapon,2,2,2,3.5,100.0,4.5,2023 Hunt Success.pdf,7,OK,True,True
2023,2024,DS6606,Desert Bighorn Sheep,"San Juan, Lockhart",OIAL,Any Legal Weapon,3,3,2,14.7,66.7,4.7,2023 Hunt Success.pdf,7,OK,True,True
2023,2024,DS6622,Desert Bighorn Sheep,"San Juan, North",OIAL,Any Legal Weapon,3,3,3,13.0,100.0,5.0,2023 Hunt Success.pdf,7,OK,True,True
2023,2024,DS6623,Desert Bighorn Sheep,"San Juan, San Juan River",OIAL,Any Legal Weapon,1,1,1,1.0,100.0,5.0,2023 Hunt Success.pdf,7,OK,True,True
2023,2024,DS6607,Desert Bighorn Sheep,"San Juan, South",OIAL,Any Legal Weapon,2,2,2,9.5,100.0,3.5,2023 Hunt Success.pdf,7,OK,True,True
2023,2024,DS6608,Desert Bighorn Sheep,"San Rafael, Dirty Devil",OIAL,Any Legal Weapon,10,10,9,8.7,90.0,4.3,2023 Hunt Success.pdf,7,OK,True,True
2023,2024,DS6609,Desert Bighorn Sheep,"San Rafael, North",OIAL,Any Legal Weapon,4,4,4,4.5,100.0,5.0,2023 Hunt Success.pdf,7,OK,True,True
2023,2024,DS6610,Desert Bighorn Sheep,"San Rafael, South",OIAL,Any Legal Weapon,12,12,11,9.5,91.7,4.5,2023 Hunt Success.pdf,7,OK,True,True
