hunt_code,species_category,hunt_name_draw,draw_res_permits,draw_nr_permits,draw_total_permits,harvest_permits,harvest_source_file,comparison_status,harvest_hunt_name
EA1056,Antlerless Elk,"Antlerless Elk - North Slope, Greendale - Any Legal Weapon",5,0,5,5,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,matched,"North Slope, Greendale"
EA1084,Antlerless Elk,"Antlerless Elk - San Rafael, North - Any Legal Weapon",4,0,4,4,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,matched,"San Rafael, North"
EA1153,Antlerless Elk,Cwmu Antlerless Elk - Old Woman Plateau - Any Legal Weapon,4,0,4,4,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,matched,Old Woman Plateau
EA1156,Antlerless Elk,Cwmu Antlerless Elk - Preston Nutter Ranch - Any Legal Weapon,7,0,7,7,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,matched,Preston Nutter Ranch
EA1165,Antlerless Elk,Cwmu Antlerless Elk - Skull Crack - Any Legal Weapon,12,0,12,12,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,matched,Skull Crack
EA1198,Antlerless Elk,Cwmu Antlerless Elk - Bear Springs - Any Legal Weapon,2,0,2,2,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,matched,Bear Springs
EA1203,Antlerless Elk,"Antlerless Elk - Box Elder, Pilot Mtn - Any Legal Weapon",4,1,5,5,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,matched,"Box Elder, Pilot Mtn"
EA1204,Antlerless Elk,"Antlerless Elk - Box Elder, Pilot Mtn - Any Legal Weapon",4,1,5,5,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,matched,"Box Elder, Pilot Mtn"
EA1235,Antlerless Elk,Cwmu Antlerless Elk - Sharp Mountain - Any Legal Weapon,8,0,8,8,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,matched,Sharp Mountain
EA1252,Antlerless Elk,"Antlerless Elk - Southwest Desert, Burbank/garrison - Any Legal Weapon",4,1,5,5,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,matched,"Southwest Desert, Burbank/Garrison"
EA1254,Antlerless Elk,Antlerless Elk - Pine Valley - Any Legal Weapon,15,2,17,17,pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_antlerless_general_season_2024_extract/ELK_ANTLERLESS_GENERAL_SEASON_2024.csv,matched,Pine Valley
