source_document,source_file,section,hunt_name,weapon,hunt_code,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,﻿Paunsaugunt Cactus,,Any Legal Weapon,DB1058,27,3,30,18,2,20
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,Book Cliffs,Book Cliffs,Archery,DB1011,45,5,50,55,6,61
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,Book Cliffs,Book Cliffs,Multiseason,DB1044,6,1,7,8,1,9
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,Book Cliffs,Book Cliffs,Muzzleloader,DB1025,45,5,50,55,6,61
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,Book Cliffs,"Book Cliffs, North",Any Legal Weapon,DB1017,114,13,127,137,15,152
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,Book Cliffs,"Book Cliffs, South",Any Legal Weapon,DB1018,29,3,32,34,4,38
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,Book Cliffs,"Cache, Crawford Mtn",Muzzleloader,DB1026,7,1,8,8,1,9
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,Book Cliffs,Castle Valley,Any Legal Weapon,DB1120,13,2,15,13,2,15
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,Book Cliffs,Diamond Mtn,Any Legal Weapon,DB1023,57,6,63,61,7,68
2026-04-rac-packet.pdf,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_supplemental_user_paste_raw.txt,Book Cliffs,Diamond Mtn,Archery,DB1015,20,2,22,22,2,24
